,Player,#,Nation,Pos,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR
7,Jorginho,5,it ITA,CM,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,2,1,0
8,N'Golo Kanté,7,fr FRA,CM,90.0,1,0,0.1,0.1,0.1,1,1,1,1,0,0,1,0,0
9,Marcos Alonso,3,es ESP,LB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,4,0,0
10,David Luiz,30,br BRA,CB,90.0,1,0,0.1,0.1,0.0,1,1,1,2,0,1,1,0,0
11,Antonio Rüdiger,2,de GER,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0
12,César Azpilicueta,28,es ESP,RB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,1,2,5,0,0
13,Kepa Arrizabalaga,1,es ESP,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Leroy Sané,19,de GER,LW,53.0,0,0,0.1,0.1,0.2,1,0,1,0,2,1,0,0,0
1,Gabriel Jesus,33,br BRA,FW,37.0,0,0,0.3,0.3,0.0,2,1,0,0,0,0,0,0,0
2,Raheem Sterling,7,eng ENG,FW,90.0,0,0,0.4,0.4,0.3,2,1,1,2,6,0,0,0,0
3,Riyad Mahrez,26,dz ALG,RW,84.0,0,0,0.0,0.0,0.0,1,0,1,1,2,0,0,0,0
4,Phil Foden,47,eng ENG,CM,6.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
5,David Silva,21,es ESP,CM,68.0,0,0,0.2,0.2,0.1,1,0,1,2,7,0,0,0,0
6,İlkay Gündoğan,8,de GER,CM,22.0,0,0,0.0,0.0,0.1,1,0,0,0,0,0,0,0,0
7,Bernardo Silva,20,pt POR,CM,90.0,0,0,0.1,0.1,0.0,1,0,2,1,4,1,3,0,0
8,Fernandinho,25,br BRA,DM,90.0,0,0,0.1,0.1,0.0,1,0,2,1,0,5,1,0,0
9,Fabian Delph,18,eng ENG,LB,90.0,0,0,0.0,0.0,0.0,0,0,1,3,0,0,1,0,0
10,Aymeric Laporte,14,fr FRA,CB,90.0,0,0,0.0,0.0,0.0,1,1,1,0,0,1,0,0,0
11,John Stones,5,eng ENG,CB,90.0,0,0,0.1,0.1,0.0,1,0,1,0,0,1,2,0,0
12,Kyle Walker,2,eng ENG,RB,90.0,0,0,0.1,0.1,0.0,2,1,0,1,2,2,0,0,0
13,Ederson,31,br BRA,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Kelechi Iheanacho,8,ng NGA,FW,56.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0
1,Rachid Ghezzal,31,dz ALG,RW,34.0,0,0,0.1,0.1,0.0,2,2,1,0,0,0,0,0,0
2,James Maddison,10,eng ENG,LW,90.0,0,0,0.0,0.0,0.1,2,0,0,2,8,1,1,0,0
3,Demarai Gray,7,eng ENG,RW,90.0,0,0,0.1,0.1,0.0,2,1,1,1,3,1,0,1,0
4,Wilfred Ndidi,25,ng NGA,CM,90.0,0,0,0.1,0.1,0.0,3,0,1,0,1,2,2,0,0
5,Nampalys Mendy,24,fr FRA,CM,79.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,1,1,0
6,Shinji Okazaki,20,jp JPN,CM,11.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
7,Vicente Iborra,21,es ESP,DM,56.0,0,0,0.0,0.0,0.1,0,0,2,0,0,1,1,0,0
8,Marc Albrighton,11,eng ENG,LW,34.0,0,0,0.0,0.0,0.0,0,0,2,0,5,1,0,1,0
9,Ben Chilwell,3,eng ENG,LB,90.0,0,0,0.0,0.0,0.0,1,0,0,2,5,0,1,0,0
10,Jonny Evans,6,nir NIR,CB,90.0,0,0,0.0,0.0,0.0,1,0,3,0,0,0,4,0,0
11,Wes Morgan,5,jm JAM,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
12,Ricardo Pereira,14,pt POR,RB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,2,4,3,0,0
13,Kasper Schmeichel,1,dk DEN,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Lucas Moura,27,br BRA,FW,67.0,0,0,0.0,0.0,0.0,0,0,0,3,0,1,1,0,0
1,Christian Eriksen,23,dk DEN,LW,23.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2,Son Heung-min,7,kr KOR,LW,74.0,1,1,0.1,0.1,0.3,4,1,0,1,8,0,0,0,0
3,Harry Kane,10,eng ENG,FW,16.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4,Moussa Sissoko,17,fr FRA,RW,90.0,0,0,0.0,0.0,0.0,0,0,2,2,0,3,1,0,0
5,Dele Alli,20,eng ENG,AM,90.0,1,0,0.2,0.2,0.1,1,1,1,1,1,1,2,0,0
6,Harry Winks,8,eng ENG,CM,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,2,0,0
