,Player,Nation,Min,GA,Saves,Save%
0,David Button,eng ENG,90.0,2,4,66.7
0,Kepa Arrizabalaga,es ESP,90.0,0,2,100.0
0,Angus Gunn,eng ENG,90.0,0,6,100.0
0,Martin Dúbravka,sk SVK,90.0,2,6,75.0
0,David de Gea,es ESP,90.0,0,3,100.0
0,Ederson,br BRA,90.0,1,3,75.0
0,Alisson,br BRA,90.0,2,2,50.0
0,Łukasz Fabiański,pl POL,90.0,0,2,100.0
0,Bernd Leno,de GER,90.0,1,2,66.7
0,Tom Heaton,eng ENG,90.0,1,3,75.0
0,Sergio Rico,es ESP,90.0,2,0,0.0
0,Neil Etheridge,ph PHI,90.0,0,2,100.0
0,Jonas Lössl,dk DEN,90.0,0,0,
0,Vicente Guaita,es ESP,45.0,0,0,
1,Wayne Hennessey,wal WAL,45.0,2,0,0.0
0,Ben Foster,eng ENG,90.0,1,6,85.7
0,David Button,eng ENG,90.0,1,2,66.7
0,Alisson,br BRA,90.0,0,1,100.0
0,Kasper Schmeichel,dk DEN,90.0,2,1,33.3
0,Alex McCarthy,eng ENG,90.0,1,4,80.0
0,Kepa Arrizabalaga,es ESP,90.0,1,1,50.0
0,Martin Dúbravka,sk SVK,90.0,2,4,66.7
0,Jordan Pickford,eng ENG,90.0,0,5,100.0
0,Asmir Begović,ba BIH,90.0,2,0,0.0
0,Hugo Lloris,fr FRA,90.0,1,7,87.5
0,David de Gea,es ESP,90.0,0,11,100.0
0,Ederson,br BRA,90.0,0,0,
0,Rui Patrício,pt POR,90.0,3,7,70.0
0,Rui Patrício,pt POR,90.0,3,4,57.1
0,Kasper Schmeichel,dk DEN,90.0,4,4,50.0
0,Martin Dúbravka,sk SVK,90.0,0,1,100.0
0,Neil Etheridge,ph PHI,90.0,3,3,50.0
0,Alisson,br BRA,90.0,3,0,0.0
0,Julián Speroni,ar ARG,90.0,4,5,55.6
0,David de Gea,es ESP,90.0,1,2,66.7
0,David Button,eng ENG,90.0,2,3,60.0
0,Ben Foster,eng ENG,90.0,0,3,100.0
0,Tom Heaton,eng ENG,90.0,0,3,100.0
0,Artur Boruc,pl POL,90.0,0,1,100.0
0,Łukasz Fabiański,pl POL,90.0,2,1,33.3
0,Alex McCarthy,eng ENG,90.0,1,1,50.0
0,Jordan Pickford,eng ENG,90.0,2,3,60.0
0,Bernd Leno,de GER,90.0,0,1,100.0
0,Kepa Arrizabalaga,es ESP,90.0,2,3,60.0
0,Jonas Lössl,dk DEN,90.0,3,1,25.0
0,Ederson,br BRA,90.0,0,2,100.0
0,Sergio Rico,es ESP,90.0,2,3,60.0
0,Hugo Lloris,fr FRA,90.0,1,4,80.0
0,Bernd Leno,de GER,90.0,1,2,66.7
0,Neil Etheridge,ph PHI,90.0,2,2,50.0
0,Sergio Rico,es ESP,90.0,2,4,66.7
0,Mathew Ryan,au AUS,90.0,4,4,50.0
0,Rui Patrício,pt POR,90.0,0,0,
0,Łukasz Fabiański,pl POL,90.0,3,6,66.7
0,Jonas Lössl,dk DEN,90.0,1,4,80.0
0,Jordan Pickford,eng ENG,90.0,0,2,100.0
0,Martin Dúbravka,sk SVK,90.0,1,2,66.7
0,Ederson,br BRA,90.0,2,0,0.0
0,David de Gea,es ESP,90.0,2,2,50.0
0,Tom Heaton,eng ENG,90.0,2,7,77.8
0,Artur Boruc,pl POL,90.0,0,6,100.0
0,Kepa Arrizabalaga,es ESP,90.0,4,3,42.9
0,Alex McCarthy,eng ENG,90.0,1,1,50.0
0,Vicente Guaita,es ESP,90.0,1,3,75.0
0,Alisson,br BRA,90.0,1,1,50.0
0,Kasper Schmeichel,dk DEN,90.0,1,2,66.7
0,Hugo Lloris,fr FRA,90.0,1,0,0.0
0,Ben Foster,eng ENG,90.0,2,2,50.0
0,Hugo Lloris,fr FRA,90.0,0,2,100.0
0,Martin Dúbravka,sk SVK,90.0,1,1,50.0
0,Jordan Pickford,eng ENG,90.0,3,1,25.0
0,Rui Patrício,pt POR,90.0,1,3,75.0
0,Kepa Arrizabalaga,es ESP,90.0,0,2,100.0
0,Jonas Lössl,dk DEN,90.0,5,2,28.6
0,Mathew Ryan,au AUS,90.0,0,1,100.0
0,Ben Foster,eng ENG,90.0,0,4,100.0
0,Vicente Guaita,es ESP,90.0,0,0,
0,Sergio Rico,es ESP,90.0,2,5,71.4
0,Tom Heaton,eng ENG,90.0,1,3,75.0
0,Alex McCarthy,eng ENG,90.0,1,5,83.3
0,Neil Etheridge,ph PHI,90.0,0,2,100.0
0,Artur Boruc,pl POL,90.0,2,3,60.0
0,Kasper Schmeichel,dk DEN,90.0,1,4,80.0
0,David de Gea,es ESP,90.0,0,6,100.0
0,Ederson,br BRA,90.0,1,1,50.0
0,Bernd Leno,de GER,90.0,3,9,75.0
0,Łukasz Fabiański,pl POL,90.0,1,6,85.7
0,Alisson,br BRA,90.0,1,1,50.0
0,Jordan Pickford,eng ENG,90.0,2,2,50.0
0,Ederson,br BRA,90.0,0,1,100.0
0,Sergio Rico,es ESP,90.0,3,4,57.1
0,David de Gea,es ESP,90.0,0,3,100.0
0,Ben Hamer,eng ENG,90.0,2,2,50.0
0,Bernd Leno,de GER,90.0,1,5,83.3
0,Alex McCarthy,eng ENG,90.0,2,1,33.3
0,Neil Etheridge,ph PHI,90.0,1,5,83.3
0,Ben Foster,eng ENG,90.0,0,4,100.0
0,Jordan Pickford,eng ENG,90.0,1,2,66.7
0,Vicente Guaita,es ESP,90.0,1,3,75.0
0,Łukasz Fabiański,pl POL,90.0,1,4,80.0
0,Alisson,br BRA,90.0,0,2,100.0
0,Artur Boruc,pl POL,90.0,3,6,66.7
0,Mathew Ryan,au AUS,90.0,3,2,40.0
0,Tom Heaton,eng ENG,90.0,1,4,80.0
0,Hugo Lloris,fr FRA,90.0,1,6,85.7
0,Kasper Schmeichel,dk DEN,90.0,3,2,40.0
0,Ederson,br BRA,90.0,0,5,100.0
0,Kepa Arrizabalaga,es ESP,90.0,6,3,33.3
0,Rui Patrício,pt POR,90.0,1,2,66.7
0,Martin Dúbravka,sk SVK,90.0,1,4,80.0
0,Neil Etheridge,ph PHI,90.0,5,2,28.6
0,Ben Foster,eng ENG,90.0,1,4,80.0
0,Łukasz Fabiański,pl POL,90.0,1,3,75.0
0,Sergio Rico,es ESP,90.0,3,4,57.1
0,Tom Heaton,eng ENG,90.0,1,5,83.3
0,Hugo Lloris,fr FRA,90.0,2,2,50.0
0,Artur Boruc,pl POL,90.0,1,1,50.0
0,Rui Patrício,pt POR,90.0,1,2,66.7
0,Martin Dúbravka,sk SVK,90.0,0,0,
0,Jonas Lössl,dk DEN,90.0,2,9,81.8
0,Kasper Schmeichel,dk DEN,90.0,4,1,20.0
0,Vicente Guaita,es ESP,90.0,1,4,80.0
0,Bernd Leno,de GER,90.0,0,4,100.0
0,Angus Gunn,eng ENG,90.0,2,2,50.0
0,David de Gea,es ESP,90.0,0,1,100.0
0,Alisson,br BRA,90.0,0,2,100.0
0,Kasper Schmeichel,dk DEN,90.0,1,2,66.7
0,Mathew Ryan,au AUS,90.0,2,1,33.3
0,Jonas Lössl,dk DEN,90.0,0,0,
0,Rui Patrício,pt POR,90.0,1,2,66.7
0,Neil Etheridge,ph PHI,90.0,3,0,0.0
0,Jordan Pickford,eng ENG,90.0,0,0,
0,Martin Dúbravka,sk SVK,90.0,0,2,100.0
0,Tom Heaton,eng ENG,90.0,2,1,33.3
0,Bernd Leno,de GER,90.0,1,4,80.0
0,Artur Boruc,pl POL,90.0,5,1,16.7
0,Angus Gunn,eng ENG,90.0,0,3,100.0
0,Sergio Rico,es ESP,90.0,2,1,33.3
0,Ederson,br BRA,90.0,0,1,100.0
0,Łukasz Fabiański,pl POL,90.0,1,5,83.3
0,Willy Caballero,ar ARG,90.0,0,0,
0,Hugo Lloris,fr FRA,90.0,2,0,0.0
0,Alisson,br BRA,90.0,0,3,100.0
0,Ben Foster,eng ENG,90.0,5,4,44.4
0,Vicente Guaita,es ESP,90.0,3,1,25.0
0,David de Gea,es ESP,90.0,1,2,66.7
0,Hugo Lloris,fr FRA,90.0,1,1,50.0
0,Bernd Leno,de GER,90.0,1,2,66.7
0,Artur Boruc,pl POL,90.0,1,5,83.3
0,Ederson,br BRA,90.0,0,0,
0,John Ruddy,eng ENG,90.0,0,3,100.0
0,Neil Etheridge,ph PHI,90.0,2,4,66.7
0,David de Gea,es ESP,90.0,2,1,33.3
0,Angus Gunn,eng ENG,90.0,3,2,40.0
0,Tom Heaton,eng ENG,90.0,3,2,40.0
0,Wayne Hennessey,wal WAL,90.0,1,3,75.0
0,Mathew Ryan,au AUS,90.0,0,4,100.0
0,Jonas Lössl,dk DEN,90.0,1,2,66.7
0,Łukasz Fabiański,pl POL,90.0,0,1,100.0
0,Martin Dúbravka,sk SVK,90.0,2,2,50.0
0,Ben Foster,eng ENG,90.0,1,1,50.0
0,Kasper Schmeichel,dk DEN,90.0,2,3,60.0
0,Sergio Rico,es ESP,90.0,2,5,71.4
0,Kepa Arrizabalaga,es ESP,90.0,1,4,80.0
0,Jordan Pickford,eng ENG,90.0,0,3,100.0
0,Alisson,br BRA,90.0,0,2,100.0
0,Vicente Guaita,es ESP,90.0,2,1,33.3
0,Mathew Ryan,au AUS,90.0,1,2,66.7
0,Kasper Schmeichel,dk DEN,90.0,1,2,66.7
0,Sergio Rico,es ESP,90.0,3,5,62.5
0,Neil Etheridge,ph PHI,90.0,0,3,100.0
0,Łukasz Fabiański,pl POL,90.0,2,4,66.7
0,Martin Dúbravka,sk SVK,90.0,2,1,33.3
0,Jordan Pickford,eng ENG,90.0,3,3,50.0
0,Angus Gunn,eng ENG,90.0,1,4,80.0
0,Hugo Lloris,fr FRA,90.0,2,2,50.0
0,Jonas Lössl,dk DEN,90.0,2,3,60.0
0,Artur Boruc,pl POL,90.0,0,2,100.0
0,Ederson,br BRA,90.0,1,0,0.0
0,Ben Foster,eng ENG,90.0,3,5,62.5
0,Alisson,br BRA,90.0,2,0,0.0
0,Tom Heaton,eng ENG,90.0,4,1,20.0
0,Kepa Arrizabalaga,es ESP,90.0,1,0,0.0
0,Rui Patrício,pt POR,90.0,1,4,80.0
0,Bernd Leno,de GER,90.0,0,4,100.0
0,David de Gea,es ESP,90.0,2,0,0.0
0,Artur Boruc,pl POL,90.0,2,2,50.0
0,Martin Dúbravka,sk SVK,90.0,2,0,0.0
0,Tom Heaton,eng ENG,90.0,2,2,50.0
0,Kasper Schmeichel,dk DEN,90.0,1,3,75.0
0,Łukasz Fabiański,pl POL,90.0,3,2,40.0
0,Jonas Lössl,dk DEN,90.0,4,1,20.0
0,Sergio Rico,es ESP,90.0,2,4,66.7
0,Alisson,br BRA,90.0,1,1,50.0
0,Jordan Pickford,eng ENG,90.0,0,5,100.0
0,Kepa Arrizabalaga,es ESP,90.0,2,4,66.7
0,Sergio Rico,es ESP,90.0,2,5,71.4
0,Ederson,br BRA,90.0,0,0,
0,Tom Heaton,eng ENG,90.0,0,1,100.0
0,Rui Patrício,pt POR,90.0,2,0,0.0
0,Mathew Ryan,au AUS,90.0,1,1,50.0
0,Angus Gunn,eng ENG,90.0,0,1,100.0
0,Vicente Guaita,es ESP,90.0,0,5,100.0
0,Ben Hamer,eng ENG,90.0,2,2,50.0
0,David de Gea,es ESP,90.0,1,7,87.5
0,Ben Foster,eng ENG,90.0,2,3,60.0
0,Kasper Schmeichel,dk DEN,90.0,0,2,100.0
0,Asmir Begović,ba BIH,90.0,2,2,50.0
0,Łukasz Fabiański,pl POL,90.0,2,6,75.0
0,Jordan Pickford,eng ENG,90.0,0,0,
0,Neil Etheridge,ph PHI,90.0,2,1,33.3
0,Kepa Arrizabalaga,es ESP,90.0,1,2,66.7
0,Alisson,br BRA,90.0,1,1,50.0
0,Hugo Lloris,fr FRA,90.0,2,2,50.0
0,Bernd Leno,de GER,90.0,0,1,100.0
0,Martin Dúbravka,sk SVK,90.0,2,1,33.3
0,Ben Foster,eng ENG,90.0,1,3,75.0
0,Sergio Rico,es ESP,90.0,4,3,42.9
0,Rui Patrício,pt POR,90.0,1,3,75.0
0,David de Gea,es ESP,90.0,2,1,33.3
0,Kepa Arrizabalaga,es ESP,90.0,0,1,100.0
0,Mathew Ryan,au AUS,90.0,3,1,25.0
0,Hugo Lloris,fr FRA,90.0,0,1,100.0
0,Vicente Guaita,es ESP,90.0,2,8,80.0
0,Ederson,br BRA,90.0,0,1,100.0
0,Neil Etheridge,ph PHI,90.0,2,9,81.8
0,Angus Gunn,eng ENG,90.0,3,2,40.0
0,Alisson,br BRA,90.0,1,0,0.0
0,Asmir Begović,ba BIH,90.0,3,0,0.0
0,Tom Heaton,eng ENG,90.0,1,2,66.7
0,Martin Dúbravka,sk SVK,90.0,1,0,0.0
0,Vicente Guaita,es ESP,90.0,0,5,100.0
0,Ben Hamer,eng ENG,90.0,4,5,55.6
0,Kasper Schmeichel,dk DEN,90.0,1,3,75.0
0,Jordan Pickford,eng ENG,90.0,0,1,100.0
0,Bernd Leno,de GER,90.0,1,5,83.3
0,Kepa Arrizabalaga,es ESP,90.0,0,2,100.0
0,Łukasz Fabiański,pl POL,90.0,2,4,66.7
0,Kasper Schmeichel,dk DEN,90.0,1,4,80.0
0,Martin Dúbravka,sk SVK,90.0,0,4,100.0
0,Hugo Lloris,fr FRA,90.0,0,0,
0,Ben Hamer,eng ENG,90.0,4,1,20.0
0,Angus Gunn,eng ENG,90.0,1,1,50.0
0,Rui Patrício,pt POR,90.0,3,3,50.0
0,Sergio Rico,es ESP,90.0,0,1,100.0
0,Jordan Pickford,eng ENG,90.0,2,3,60.0
0,Mathew Ryan,au AUS,90.0,5,2,28.6
0,Artur Boruc,pl POL,90.0,0,1,100.0
0,Tom Heaton,eng ENG,90.0,0,2,100.0
0,Neil Etheridge,ph PHI,90.0,2,5,71.4
0,David de Gea,es ESP,90.0,1,3,75.0
0,Łukasz Fabiański,pl POL,90.0,2,2,50.0
0,Vicente Guaita,es ESP,90.0,3,3,50.0
0,Ederson,br BRA,90.0,1,2,66.7
0,Alisson,br BRA,90.0,0,3,100.0
0,Kepa Arrizabalaga,es ESP,90.0,2,5,71.4
0,Ben Foster,eng ENG,90.0,1,4,80.0
0,Bernd Leno,de GER,90.0,0,1,100.0
0,Mathew Ryan,au AUS,90.0,2,0,0.0
0,Neil Etheridge,ph PHI,90.0,0,2,100.0
0,Ederson,br BRA,90.0,0,4,100.0
0,Paulo Gazzaniga,ar ARG,90.0,1,3,75.0
0,Rui Patrício,pt POR,90.0,0,1,100.0
0,Mathew Ryan,au AUS,90.0,0,3,100.0
0,Łukasz Fabiański,pl POL,90.0,2,3,60.0
0,Kasper Schmeichel,dk DEN,90.0,2,1,33.3
0,Jonas Lössl,dk DEN,90.0,2,4,66.7
0,Ben Foster,eng ENG,90.0,1,2,66.7
0,Artur Boruc,pl POL,90.0,1,4,80.0
0,Sergio Rico,es ESP,90.0,0,5,100.0
0,Martin Dúbravka,sk SVK,90.0,1,2,66.7
0,Angus Gunn,eng ENG,90.0,3,2,40.0
0,Jordan Pickford,eng ENG,90.0,0,1,100.0
0,David de Gea,es ESP,90.0,4,4,50.0
0,Bernd Leno,de GER,90.0,3,4,57.1
0,Vicente Guaita,es ESP,90.0,2,3,60.0
0,Neil Etheridge,ph PHI,90.0,2,4,66.7
0,Alisson,br BRA,90.0,0,2,100.0
0,Kepa Arrizabalaga,es ESP,90.0,2,0,0.0
0,Tom Heaton,eng ENG,90.0,2,5,71.4
0,Ben Foster,eng ENG,90.0,1,3,75.0
0,Angus Gunn,eng ENG,90.0,1,3,75.0
0,Hugo Lloris,fr FRA,90.0,0,1,100.0
0,Mathew Ryan,au AUS,90.0,1,4,80.0
0,Rui Patrício,pt POR,90.0,1,0,0.0
0,Bernd Leno,de GER,90.0,3,0,0.0
0,David de Gea,es ESP,90.0,2,3,60.0
0,Ederson,br BRA,90.0,0,1,100.0
0,Alisson,br BRA,90.0,0,1,100.0
0,Jonas Lössl,dk DEN,90.0,5,2,28.6
0,Hugo Lloris,fr FRA,90.0,1,6,85.7
0,Łukasz Fabiański,pl POL,90.0,0,4,100.0
0,Angus Gunn,eng ENG,90.0,3,2,40.0
0,Artur Boruc,pl POL,90.0,3,4,57.1
0,Vicente Guaita,es ESP,90.0,0,3,100.0
0,Jordan Pickford,eng ENG,90.0,0,0,
0,Sergio Rico,es ESP,90.0,0,8,100.0
0,Neil Etheridge,ph PHI,90.0,1,1,50.0
0,Ben Foster,eng ENG,90.0,2,1,33.3
0,Rui Patrício,pt POR,90.0,1,0,0.0
0,Mathew Ryan,au AUS,90.0,1,0,0.0
0,Martin Dúbravka,sk SVK,90.0,1,1,50.0
0,Kasper Schmeichel,dk DEN,90.0,0,1,100.0
0,Bernd Leno,de GER,90.0,3,9,75.0
0,Tom Heaton,eng ENG,90.0,1,5,83.3
0,Ederson,br BRA,90.0,0,0,
0,David de Gea,es ESP,90.0,1,2,66.7
0,Kepa Arrizabalaga,es ESP,90.0,1,3,75.0
0,Jordan Pickford,eng ENG,90.0,0,1,100.0
0,Tom Heaton,eng ENG,90.0,2,5,71.4
0,Mark Travers,ie IRL,90.0,0,5,100.0
0,Hugo Lloris,fr FRA,90.0,1,5,83.3
0,Rui Patrício,pt POR,90.0,0,2,100.0
1,Will Norris,eng ENG,,0,0,
0,Sergio Rico,es ESP,90.0,1,4,80.0
0,Łukasz Fabiański,pl POL,90.0,0,1,100.0
0,Fraser Forster,eng ENG,90.0,3,3,50.0
0,Neil Etheridge,ph PHI,90.0,3,4,57.1
0,Vicente Guaita,es ESP,90.0,2,4,66.7
0,Martin Dúbravka,sk SVK,90.0,3,1,25.0
0,Alisson,br BRA,90.0,2,4,66.7
0,Jonas Lössl,dk DEN,90.0,1,6,85.7
0,David de Gea,es ESP,90.0,1,2,66.7
0,Kepa Arrizabalaga,es ESP,90.0,0,2,100.0
0,Ben Foster,eng ENG,90.0,3,6,66.7
0,Bernd Leno,de GER,90.0,1,4,80.0
0,Mathew Ryan,au AUS,90.0,1,6,85.7
0,Ederson,br BRA,90.0,0,2,100.0
0,Kasper Schmeichel,dk DEN,90.0,1,4,80.0
0,Tom Heaton,eng ENG,90.0,3,3,50.0
0,Bernd Leno,de GER,90.0,1,3,75.0
0,Sergio Rico,es ESP,90.0,4,2,33.3
0,Martin Dúbravka,sk SVK,90.0,0,2,100.0
0,Kasper Schmeichel,dk DEN,90.0,0,4,100.0
0,Willy Caballero,ar ARG,90.0,0,3,100.0
0,Alisson,br BRA,90.0,0,2,100.0
0,Rui Patrício,pt POR,90.0,2,3,60.0
0,Vicente Guaita,es ESP,90.0,3,5,62.5
0,Mark Travers,ie IRL,90.0,5,4,44.4
0,Hugo Lloris,fr FRA,90.0,2,6,75.0
0,Jordan Pickford,eng ENG,90.0,2,1,33.3
0,Ben Foster,eng ENG,90.0,4,3,42.9
0,Łukasz Fabiański,pl POL,90.0,1,7,87.5
0,David de Gea,es ESP,90.0,2,2,50.0
0,Neil Etheridge,ph PHI,90.0,0,9,100.0
0,Angus Gunn,eng ENG,90.0,1,2,66.7
0,Joel Coleman,eng ENG,90.0,1,1,50.0
0,Mathew Ryan,au AUS,90.0,4,4,50.0
0,Ederson,br BRA,90.0,1,1,50.0
0,Petr Čech,cz CZE,90.0,3,1,25.0
0,Kasper Schmeichel,dk DEN,90.0,4,6,60.0
0,Heurelho Gomes,br BRA,90.0,3,2,40.0
0,Simon Mignolet,be BEL,90.0,3,2,40.0
0,Jordan Pickford,eng ENG,90.0,0,1,100.0
0,Jack Butland,eng ENG,90.0,1,2,66.7
0,Wayne Hennessey,wal WAL,90.0,3,4,57.1
0,Jonas Lössl,dk DEN,90.0,0,3,100.0
0,Fraser Forster,eng ENG,90.0,0,0,
0,Łukasz Fabiański,pl POL,90.0,0,3,100.0
0,Ben Foster,eng ENG,90.0,0,2,100.0
0,Asmir Begović,ba BIH,90.0,1,5,83.3
0,Thibaut Courtois,be BEL,90.0,3,2,40.0
0,Tom Heaton,eng ENG,90.0,2,4,66.7
0,Mathew Ryan,au AUS,90.0,2,3,60.0
0,Ederson,br BRA,90.0,0,2,100.0
0,Rob Elliot,ie IRL,90.0,2,5,71.4
0,Hugo Lloris,fr FRA,90.0,0,3,100.0
0,David de Gea,es ESP,90.0,0,1,100.0
0,Joe Hart,eng ENG,90.0,4,1,20.0
0,Łukasz Fabiański,pl POL,90.0,4,4,50.0
0,David de Gea,es ESP,90.0,0,0,
0,Asmir Begović,ba BIH,90.0,2,4,66.7
0,Heurelho Gomes,br BRA,90.0,0,2,100.0
0,Kasper Schmeichel,dk DEN,90.0,0,2,100.0
0,Mathew Ryan,au AUS,90.0,2,2,50.0
0,Tom Heaton,eng ENG,90.0,1,1,50.0
0,Ben Foster,eng ENG,90.0,0,1,100.0
0,Fraser Forster,eng ENG,90.0,2,5,71.4
0,Joe Hart,eng ENG,90.0,3,2,40.0
0,Simon Mignolet,be BEL,90.0,0,1,100.0
0,Wayne Hennessey,wal WAL,90.0,1,12,92.3
0,Jack Butland,eng ENG,90.0,0,6,100.0
0,Petr Čech,cz CZE,90.0,1,3,75.0
0,Jonas Lössl,dk DEN,90.0,0,5,100.0
0,Rob Elliot,ie IRL,90.0,1,2,66.7
0,Hugo Lloris,fr FRA,90.0,2,0,0.0
0,Thibaut Courtois,be BEL,90.0,1,6,85.7
0,Ederson,br BRA,90.0,1,1,50.0
0,Jordan Pickford,eng ENG,90.0,1,5,83.3
0,Asmir Begović,ba BIH,90.0,2,5,71.4
0,Ederson,br BRA,90.0,1,2,66.7
0,Heurelho Gomes,br BRA,90.0,0,2,100.0
0,Mathew Ryan,au AUS,90.0,0,0,
0,Wayne Hennessey,wal WAL,90.0,2,1,33.3
0,Łukasz Fabiański,pl POL,90.0,0,3,100.0
0,Jonas Lössl,dk DEN,90.0,0,2,100.0
0,Fraser Forster,eng ENG,90.0,0,6,100.0
0,Rob Elliot,ie IRL,90.0,0,3,100.0
0,Joe Hart,eng ENG,90.0,3,5,62.5
0,David de Gea,es ESP,90.0,0,4,100.0
0,Kasper Schmeichel,dk DEN,90.0,2,5,71.4
0,Thibaut Courtois,be BEL,90.0,0,1,100.0
0,Jordan Pickford,eng ENG,90.0,2,5,71.4
0,Ben Foster,eng ENG,90.0,1,1,50.0
0,Jack Butland,eng ENG,90.0,1,2,66.7
0,Loris Karius,de GER,90.0,0,0,
0,Petr Čech,cz CZE,90.0,4,6,60.0
0,Hugo Lloris,fr FRA,90.0,1,3,75.0
0,Tom Heaton,eng ENG,90.0,1,4,80.0
0,Ederson,br BRA,45.0,0,3,100.0
1,Claudio Bravo,cl CHI,45.0,0,0,
0,Simon Mignolet,be BEL,90.0,5,5,50.0
0,Jordan Pickford,eng ENG,90.0,3,3,50.0
0,Hugo Lloris,fr FRA,90.0,0,1,100.0
0,Mathew Ryan,au AUS,90.0,1,2,66.7
0,Ben Foster,eng ENG,90.0,3,3,50.0
0,Kasper Schmeichel,dk DEN,90.0,2,4,66.7
0,Thibaut Courtois,be BEL,90.0,1,1,50.0
0,Petr Čech,cz CZE,90.0,0,2,100.0
0,Asmir Begović,ba BIH,90.0,3,5,62.5
0,Fraser Forster,eng ENG,90.0,2,1,33.3
0,Heurelho Gomes,br BRA,90.0,0,1,100.0
0,Jack Butland,eng ENG,90.0,2,7,77.8
0,David de Gea,es ESP,90.0,2,3,60.0
0,Tom Heaton,eng ENG,36.0,0,0,
1,Nick Pope,eng ENG,54.0,0,3,100.0
0,Wayne Hennessey,wal WAL,90.0,1,1,50.0
0,Łukasz Fabiański,pl POL,90.0,1,7,87.5
0,Rob Elliot,ie IRL,90.0,0,3,100.0
0,Joe Hart,eng ENG,90.0,0,2,100.0
0,Jonas Lössl,dk DEN,90.0,2,1,33.3
0,Asmir Begović,ba BIH,90.0,1,0,0.0
0,Mathew Ryan,au AUS,90.0,2,1,33.3
0,Wayne Hennessey,wal WAL,90.0,1,4,80.0
0,Fraser Forster,eng ENG,90.0,0,3,100.0
0,Heurelho Gomes,br BRA,90.0,6,4,40.0
0,Ederson,br BRA,90.0,0,1,100.0
0,Simon Mignolet,be BEL,90.0,1,2,66.7
0,Nick Pope,eng ENG,90.0,1,9,90.0
0,Ben Foster,eng ENG,90.0,0,1,100.0
0,Joe Hart,eng ENG,90.0,0,1,100.0
0,Jonas Lössl,dk DEN,90.0,1,1,50.0
0,Kasper Schmeichel,dk DEN,90.0,1,2,66.7
0,Rob Elliot,ie IRL,90.0,1,3,75.0
0,Jack Butland,eng ENG,90.0,2,2,50.0
0,Hugo Lloris,fr FRA,90.0,0,0,
0,Łukasz Fabiański,pl POL,90.0,0,8,100.0
0,Thibaut Courtois,be BEL,90.0,0,2,100.0
0,Petr Čech,cz CZE,90.0,0,4,100.0
0,David de Gea,es ESP,90.0,0,3,100.0
0,Jordan Pickford,eng ENG,90.0,4,2,33.3
0,Joe Hart,eng ENG,90.0,3,3,50.0
0,Hugo Lloris,fr FRA,90.0,2,2,50.0
0,Nick Pope,eng ENG,90.0,0,2,100.0
0,Jonas Lössl,dk DEN,90.0,0,3,100.0
0,Jack Butland,eng ENG,90.0,4,0,0.0
0,Thibaut Courtois,be BEL,90.0,0,2,100.0
0,Jordan Pickford,eng ENG,90.0,1,3,75.0
0,Asmir Begović,ba BIH,90.0,2,2,50.0
0,Łukasz Fabiański,pl POL,90.0,2,2,50.0
0,Heurelho Gomes,br BRA,90.0,1,3,75.0
0,Ederson,br BRA,90.0,0,0,
0,Wayne Hennessey,wal WAL,90.0,5,4,44.4
0,Fraser Forster,eng ENG,90.0,1,3,75.0
0,David de Gea,es ESP,90.0,0,3,100.0
0,Kasper Schmeichel,dk DEN,90.0,3,3,50.0
0,Simon Mignolet,be BEL,90.0,2,4,66.7
0,Mathew Ryan,au AUS,90.0,0,5,100.0
0,Rob Elliot,ie IRL,90.0,1,2,66.7
0,Petr Čech,cz CZE,90.0,0,2,100.0
0,Ben Foster,eng ENG,90.0,2,3,60.0
0,Jonas Lössl,dk DEN,90.0,4,3,42.9
0,Hugo Lloris,fr FRA,90.0,0,1,100.0
0,Asmir Begović,ba BIH,90.0,0,1,100.0
0,Kasper Schmeichel,dk DEN,90.0,0,3,100.0
0,David de Gea,es ESP,90.0,0,1,100.0
0,Wayne Hennessey,wal WAL,90.0,4,3,42.9
0,Joe Hart,eng ENG,90.0,0,1,100.0
0,Łukasz Fabiański,pl POL,90.0,1,3,75.0
0,Jack Butland,eng ENG,90.0,1,2,66.7
0,Fraser Forster,eng ENG,90.0,2,3,60.0
0,Ben Foster,eng ENG,90.0,2,1,33.3
0,Heurelho Gomes,br BRA,90.0,2,2,50.0
0,Thibaut Courtois,be BEL,90.0,1,5,83.3
0,Ederson,br BRA,90.0,0,2,100.0
0,Petr Čech,cz CZE,90.0,0,1,100.0
0,Mathew Ryan,au AUS,90.0,2,7,77.8
0,Jordan Pickford,eng ENG,90.0,1,1,50.0
0,Nick Pope,eng ENG,90.0,0,4,100.0
0,Rob Elliot,ie IRL,90.0,1,1,50.0
0,Simon Mignolet,be BEL,90.0,1,4,80.0
0,Simon Mignolet,be BEL,90.0,0,1,100.0
0,David de Gea,es ESP,90.0,0,5,100.0
0,Ederson,br BRA,90.0,2,0,0.0
0,Jack Butland,eng ENG,90.0,7,5,41.7
0,Łukasz Fabiański,pl POL,90.0,0,2,100.0
0,Jonas Lössl,dk DEN,90.0,2,2,50.0
0,Julián Speroni,ar ARG,90.0,1,4,80.0
0,Thibaut Courtois,be BEL,90.0,2,4,66.7
0,Nick Pope,eng ENG,90.0,1,5,83.3
0,Joe Hart,eng ENG,90.0,1,5,83.3
0,Hugo Lloris,fr FRA,90.0,1,1,50.0
0,Asmir Begović,ba BIH,90.0,1,5,83.3
