Player,Pos,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR,position_group,Premier League
Dan Gosling,CM,90.0,0,0,0.0,0.0,0.0,0,0,2,3,2,1,1,1,0,Midfield,PL
Jefferson Lerma,CM,78.0,0,0,0.0,0.0,0.0,0,0,1,2,0,0,1,1,0,Midfield,PL
Lewis Cook,CM,12.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,Midfield,PL
Simon Francis,RB,22.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Defender,PL
Diego Rico,LB,90.0,0,0,0.0,0.0,0.0,0,0,1,2,4,0,0,0,0,Defender,PL
Nathan Aké,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,Defender,PL
Steve Cook,CB,90.0,0,0,0.0,0.0,0.0,1,0,0,1,0,1,1,0,0,Defender,PL
Adam Smith,RB,90.0,1,0,0.2,0.2,0.0,1,1,2,2,0,1,1,0,0,Defender,PL
Jamie Vardy,FW,84.0,0,0,0.4,0.4,0.0,3,2,0,1,3,0,0,0,0,Forward,PL
Jonny Evans,FW,6.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Demarai Gray,LW,61.0,0,0,0.0,0.0,0.0,0,0,2,0,0,1,0,0,0,Forward,PL
Kelechi Iheanacho,LW,29.0,0,1,0.0,0.0,0.1,0,0,3,0,1,0,0,0,0,Forward,PL
Marc Albrighton,RW,29.0,1,0,0.1,0.1,0.0,1,1,0,0,2,0,0,0,0,Forward,PL
James Maddison,AM,90.0,1,0,1.1,0.4,0.3,3,2,1,5,7,1,1,0,0,Midfield,PL
Nampalys Mendy,DM,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,Midfield,PL
Wilfred Ndidi,DM,90.0,0,0,0.2,0.2,0.0,1,0,0,0,0,0,3,0,0,Midfield,PL
Ben Chilwell,LB,90.0,0,0,0.1,0.1,0.0,1,0,0,1,8,1,0,0,0,Defender,PL
Harry Maguire,CB,90.0,0,0,0.1,0.1,0.0,2,0,2,3,0,2,5,1,0,Defender,PL
Wes Morgan,CB,68.0,0,0,0.1,0.1,0.0,1,1,4,0,0,2,2,1,1,Defender,PL
Ricardo Pereira,RB,90.0,0,0,0.0,0.0,0.1,0,0,1,2,4,2,2,0,0,Defender,PL
Matt Ritchie,RW,79.0,0,0,0.1,0.1,0.0,1,0,4,2,9,1,0,0,0,Forward,PL
Yoshinori Mutō,RW,11.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
