Player,Min,GA,Saves,Save%
Ederson,90.0,2,0,0.0
Rui Patrício,90.0,0,2,100.0
Angus Gunn,90.0,4,3,42.9
Kepa Arrizabalaga,90.0,1,1,50.0
Bernd Leno,90.0,0,2,100.0
Aaron Ramsdale,90.0,1,1,50.0
Martin Dúbravka,90.0,0,2,100.0
David de Gea,90.0,1,0,0.0
Jordan Pickford,90.0,0,4,100.0
Roberto,90.0,2,8,80.0
Rui Patrício,90.0,1,4,80.0
Angus Gunn,90.0,1,0,0.0
Kasper Schmeichel,90.0,1,3,75.0
Nick Pope,90.0,2,1,33.3
Paulo Gazzaniga,90.0,1,1,50.0
Ben Foster,90.0,1,1,50.0
Aaron Ramsdale,90.0,0,1,100.0
Tim Krul,90.0,0,2,100.0
Tom Heaton,90.0,1,5,83.3
Mathew Ryan,90.0,2,6,75.0
Kepa Arrizabalaga,90.0,0,0,
Martin Dúbravka,90.0,1,6,85.7
Wayne Hennessey,90.0,2,7,77.8
Ederson,90.0,0,1,100.0
David de Gea,90.0,1,3,75.0
Alisson,90.0,1,1,50.0
Dean Henderson,90.0,0,3,100.0
Bernd Leno,90.0,1,1,50.0
Angus Gunn,90.0,9,7,43.8
Kasper Schmeichel,90.0,0,3,100.0
Ederson,90.0,0,4,100.0
Tom Heaton,90.0,3,7,70.0
Mathew Ryan,90.0,2,5,71.4
Jordan Pickford,90.0,3,2,40.0
Roberto,90.0,1,3,75.0
Dean Henderson,90.0,1,3,75.0
Ben Foster,90.0,0,5,100.0
Aaron Ramsdale,90.0,0,3,100.0
Nick Pope,90.0,4,3,42.9
Kepa Arrizabalaga,90.0,2,3,60.0
Martin Dúbravka,90.0,1,4,80.0
Rui Patrício,90.0,1,1,50.0
Alisson,90.0,1,3,75.0
Paulo Gazzaniga,90.0,2,11,84.6
Bernd Leno,90.0,2,2,50.0
Wayne Hennessey,90.0,2,4,66.7
Tim Krul,90.0,3,6,66.7
David de Gea,90.0,1,2,66.7
Aaron Ramsdale,90.0,0,4,100.0
David de Gea,90.0,1,5,83.3
Bernd Leno,90.0,1,7,87.5
Rui Patrício,90.0,1,3,75.0
Dean Henderson,90.0,0,1,100.0
Nick Pope,90.0,3,2,40.0
Mathew Ryan,90.0,0,0,
Tim Krul,90.0,2,3,60.0
Roberto,90.0,3,6,66.7
Martin Dúbravka,90.0,2,4,66.7
Ederson,90.0,1,2,66.7
Alex McCarthy,90.0,2,2,50.0
Tom Heaton,90.0,2,4,66.7
Alisson,90.0,1,1,50.0
Ben Foster,90.0,2,7,77.8
Kepa Arrizabalaga,90.0,1,2,66.7
Vicente Guaita,90.0,2,3,60.0
Kasper Schmeichel,90.0,0,3,100.0
Jordan Pickford,90.0,1,1,50.0
Paulo Gazzaniga,90.0,1,2,66.7
Tim Krul,90.0,2,0,0.0
Ben Foster,90.0,0,5,100.0
Kepa Arrizabalaga,90.0,0,1,100.0
Vicente Guaita,90.0,2,4,66.7
Martin Dúbravka,90.0,1,2,66.7
Aaron Ramsdale,90.0,2,7,77.8
Nick Pope,90.0,0,4,100.0
Roberto,90.0,3,9,75.0
Paulo Gazzaniga,90.0,1,3,75.0
Dean Henderson,90.0,1,4,80.0
Alex McCarthy,90.0,2,3,60.0
Jordan Pickford,90.0,1,2,66.7
Kasper Schmeichel,90.0,0,1,100.0
Bernd Leno,90.0,2,5,71.4
Rui Patrício,90.0,1,3,75.0
Jed Steer,8.0,0,0,
Ørjan Nyland,82.0,2,3,60.0
David de Gea,90.0,1,1,50.0
Mathew Ryan,90.0,3,8,72.7
Alisson,90.0,1,2,66.7
Claudio Bravo,90.0,3,2,40.0
Roberto,90.0,3,4,57.1
Paulo Gazzaniga,90.0,2,3,60.0
Bernd Leno,90.0,2,2,50.0
Alex McCarthy,90.0,2,3,60.0
Jordan Pickford,90.0,2,3,60.0
Tim Krul,90.0,0,7,100.0
Vicente Guaita,90.0,2,2,50.0
Alisson,90.0,1,5,83.3
Ben Foster,90.0,3,2,40.0
Nick Pope,90.0,0,3,100.0
Aaron Ramsdale,90.0,2,5,71.4
Rui Patrício,90.0,1,1,50.0
Mathew Ryan,90.0,2,7,77.8
Kasper Schmeichel,90.0,0,0,
Ederson,90.0,1,1,50.0
Kepa Arrizabalaga,90.0,2,2,50.0
Simon Moore,90.0,3,2,40.0
David de Gea,90.0,3,5,62.5
Tom Heaton,90.0,0,5,100.0
Martin Dúbravka,90.0,2,6,75.0
Martin Dúbravka,90.0,2,5,71.4
Ederson,90.0,2,1,33.3
Alisson,75.0,0,3,100.0
Adrián,12.0,1,2,66.7
Mathew Ryan,90.0,2,5,71.4
Nick Pope,90.0,2,0,0.0
Vicente Guaita,90.0,0,3,100.0
Kepa Arrizabalaga,90.0,1,3,75.0
David Martin,90.0,0,5,100.0
Paulo Gazzaniga,90.0,2,4,66.7
Aaron Ramsdale,90.0,3,2,40.0
Alex McCarthy,90.0,1,2,66.7
Ben Foster,90.0,2,2,50.0
Tim Krul,90.0,2,4,66.7
Bernd Leno,90.0,2,5,71.4
Rui Patrício,90.0,1,3,75.0
Dean Henderson,90.0,1,3,75.0
Kasper Schmeichel,90.0,1,2,66.7
Jordan Pickford,90.0,2,4,66.7
David de Gea,90.0,2,1,33.3
Tom Heaton,90.0,2,5,71.4
Vicente Guaita,90.0,0,2,100.0
Aaron Ramsdale,90.0,1,1,50.0
Nick Pope,90.0,4,4,50.0
Ederson,90.0,1,1,50.0
Rui Patrício,90.0,0,3,100.0
David Martin,90.0,2,5,71.4
Kasper Schmeichel,90.0,0,1,100.0
Ben Foster,90.0,2,2,50.0
Alex McCarthy,90.0,1,2,66.7
Tim Krul,90.0,2,3,60.0
David de Gea,90.0,1,4,80.0
Paulo Gazzaniga,90.0,2,4,66.7
Kepa Arrizabalaga,90.0,1,2,66.7
Tom Heaton,90.0,2,6,75.0
Adrián,90.0,2,2,50.0
Jordan Pickford,90.0,5,0,0.0
Dean Henderson,90.0,2,2,50.0
Martin Dúbravka,90.0,0,7,100.0
Bernd Leno,90.0,2,7,77.8
Mathew Ryan,90.0,1,4,80.0
Jordan Pickford,90.0,1,3,75.0
Kepa Arrizabalaga,90.0,3,4,57.1
Paulo Gazzaniga,90.0,0,1,100.0
Nick Pope,90.0,5,2,28.6
Ben Foster,90.0,0,0,
Vicente Guaita,90.0,0,3,100.0
Aaron Ramsdale,90.0,3,6,66.7
Alisson,90.0,0,0,
Ederson,90.0,2,5,71.4
David de Gea,90.0,1,4,80.0
Tim Krul,90.0,2,1,33.3
Dean Henderson,90.0,1,3,75.0
Martin Dúbravka,90.0,1,3,75.0
Alex McCarthy,90.0,2,4,66.7
Tom Heaton,90.0,4,4,50.0
Kasper Schmeichel,90.0,1,1,50.0
Mathew Ryan,90.0,2,3,60.0
Rui Patrício,90.0,2,2,50.0
David Martin,90.0,3,0,0.0
Bernd Leno,90.0,1,4,80.0
Alisson,90.0,0,2,100.0
Ben Foster,90.0,2,4,66.7
Dean Henderson,90.0,0,0,
Tom Heaton,90.0,2,1,33.3
Kepa Arrizabalaga,90.0,1,1,50.0
Aaron Ramsdale,90.0,0,4,100.0
Kasper Schmeichel,90.0,1,2,66.7
Tim Krul,90.0,1,4,80.0
Nick Pope,90.0,0,0,
Martin Dúbravka,90.0,1,3,75.0
Alex McCarthy,90.0,1,3,75.0
David Martin,90.0,0,2,100.0
David de Gea,90.0,1,3,75.0
Jordan Pickford,90.0,1,7,87.5
Rui Patrício,90.0,2,3,60.0
Paulo Gazzaniga,90.0,1,4,80.0
Bernd Leno,90.0,3,3,50.0
Ederson,90.0,0,1,100.0
Vicente Guaita,90.0,1,9,90.0
Mathew Ryan,90.0,1,3,75.0
Jordan Pickford,90.0,0,2,100.0
Bernd Leno,90.0,0,0,
Mathew Ryan,90.0,1,1,50.0
Dean Henderson,90.0,0,2,100.0
Tim Krul,90.0,2,2,50.0
Rui Patrício,90.0,1,4,80.0
Tom Heaton,90.0,3,5,62.5
Alex McCarthy,90.0,1,5,83.3
Martin Dúbravka,90.0,0,4,100.0
Vicente Guaita,90.0,1,2,66.7
Aaron Ramsdale,90.0,1,0,0.0
Nick Pope,90.0,0,0,
Ederson,90.0,1,1,50.0
Kasper Schmeichel,90.0,3,9,75.0
Ben Foster,90.0,0,8,100.0
David de Gea,90.0,2,1,33.3
Paulo Gazzaniga,90.0,2,1,33.3
Kepa Arrizabalaga,90.0,0,1,100.0
Paulo Gazzaniga,90.0,1,4,80.0
Mathew Ryan,90.0,2,3,60.0
Tom Heaton,90.0,0,5,100.0
Tim Krul,90.0,1,1,50.0
Vicente Guaita,90.0,1,1,50.0
Roberto,90.0,2,2,50.0
Kepa Arrizabalaga,90.0,2,1,33.3
Alex McCarthy,90.0,0,4,100.0
Dean Henderson,90.0,1,1,50.0
Ben Foster,90.0,1,3,75.0
Jordan Pickford,90.0,0,0,
Nick Pope,90.0,1,4,80.0
Aaron Ramsdale,90.0,1,1,50.0
Bernd Leno,90.0,1,5,83.3
David de Gea,90.0,1,1,50.0
Martin Dúbravka,90.0,4,6,60.0
Kasper Schmeichel,90.0,4,2,33.3
Alisson,90.0,0,0,
Rui Patrício,90.0,2,0,0.0
Ederson,11.0,0,0,
Claudio Bravo,76.0,3,5,62.5
Mathew Ryan,90.0,0,2,100.0
Aaron Ramsdale,90.0,2,2,50.0
Ben Foster,90.0,0,2,100.0
Tom Heaton,90.0,3,3,50.0
Alex McCarthy,90.0,1,2,66.7
Vicente Guaita,90.0,1,4,80.0
Martin Dúbravka,90.0,2,7,77.8
Jordan Pickford,90.0,1,4,80.0
Tim Krul,90.0,2,5,71.4
Paulo Gazzaniga,90.0,2,1,33.3
Łukasz Fabiański,90.0,2,4,66.7
Kasper Schmeichel,90.0,1,3,75.0
Nick Pope,90.0,2,2,50.0
David de Gea,90.0,0,1,100.0
Bernd Leno,90.0,2,2,50.0
Kepa Arrizabalaga,90.0,1,1,50.0
Alisson,90.0,0,2,100.0
Rui Patrício,90.0,1,2,66.7
Claudio Bravo,90.0,0,0,
Dean Henderson,90.0,2,2,50.0
Mathew Ryan,90.0,1,3,75.0
Kepa Arrizabalaga,90.0,1,4,80.0
Nick Pope,90.0,2,4,66.7
Tom Heaton,85.0,1,0,0.0
Ørjan Nyland,5.0,0,0,
Ben Foster,90.0,1,3,75.0
Rui Patrício,90.0,2,1,33.3
Alex McCarthy,90.0,0,3,100.0
Paulo Gazzaniga,90.0,1,2,66.7
Martin Dúbravka,90.0,3,6,66.7
Kasper Schmeichel,90.0,0,2,100.0
Tim Krul,90.0,1,2,66.7
Vicente Guaita,90.0,1,3,75.0
Claudio Bravo,90.0,1,1,50.0
Jordan Pickford,90.0,2,5,71.4
Łukasz Fabiański,90.0,0,2,100.0
Aaron Ramsdale,90.0,4,3,42.9
Bernd Leno,90.0,0,4,100.0
David de Gea,90.0,2,2,50.0
Alisson,90.0,0,2,100.0
Dean Henderson,90.0,2,5,71.4
Dean Henderson,90.0,0,2,100.0
Łukasz Fabiański,15.0,0,0,
David Martin,75.0,1,2,66.7
Vicente Guaita,90.0,1,2,66.7
Bernd Leno,90.0,1,1,50.0
David de Gea,90.0,0,3,100.0
Tim Krul,90.0,4,2,33.3
Kepa Arrizabalaga,90.0,0,1,100.0
Nick Pope,90.0,3,5,62.5
Kasper Schmeichel,90.0,2,7,77.8
Alex McCarthy,90.0,1,4,80.0
Rui Patrício,90.0,1,0,0.0
Martin Dúbravka,90.0,1,2,66.7
Jordan Pickford,90.0,0,2,100.0
Mathew Ryan,90.0,1,5,83.3
Paulo Gazzaniga,90.0,1,5,83.3
Alisson,90.0,0,4,100.0
Mark Travers,90.0,3,2,40.0
Ben Foster,90.0,0,1,100.0
Ørjan Nyland,90.0,6,4,40.0
Ederson,90.0,1,0,0.0
Ben Foster,90.0,0,4,100.0
Paulo Gazzaniga,90.0,0,1,100.0
Darren Randolph,90.0,1,1,50.0
Jordan Pickford,90.0,1,4,80.0
Alex McCarthy,90.0,3,1,25.0
Rui Patrício,90.0,2,3,60.0
Bernd Leno,90.0,1,2,66.7
Dean Henderson,90.0,1,3,75.0
Tim Krul,90.0,0,3,100.0
Aaron Ramsdale,90.0,1,3,75.0
Ederson,90.0,2,2,50.0
Vicente Guaita,90.0,2,4,66.7
Mathew Ryan,90.0,1,2,66.7
Pepe Reina,90.0,1,1,50.0
Martin Dúbravka,90.0,0,4,100.0
Kepa Arrizabalaga,90.0,1,1,50.0
Nick Pope,90.0,1,6,85.7
Kasper Schmeichel,90.0,2,3,60.0
Alisson,90.0,0,3,100.0
David de Gea,90.0,2,2,50.0
Vicente Guaita,90.0,2,4,66.7
Alex McCarthy,90.0,0,0,
Dean Henderson,90.0,1,3,75.0
Ederson,90.0,0,1,100.0
Jordan Pickford,90.0,2,0,0.0
Martin Dúbravka,90.0,2,5,71.4
Aaron Ramsdale,90.0,1,6,85.7
Mathew Ryan,90.0,3,1,25.0
Pepe Reina,90.0,1,2,66.7
Ben Foster,90.0,2,3,60.0
Kepa Arrizabalaga,90.0,2,0,0.0
Bernd Leno,90.0,2,6,75.0
Hugo Lloris,90.0,1,1,50.0
Tim Krul,90.0,2,1,33.3
Kasper Schmeichel,90.0,1,1,50.0
Darren Randolph,90.0,4,4,50.0
David de Gea,90.0,2,0,0.0
Nick Pope,90.0,0,7,100.0
Rui Patrício,90.0,2,4,66.7
Alisson,90.0,1,2,66.7
Łukasz Fabiański,90.0,2,3,60.0
Alisson,90.0,0,4,100.0
Kasper Schmeichel,90.0,2,1,33.3
Willy Caballero,90.0,2,2,50.0
Alisson,90.0,0,4,100.0
Alex McCarthy,90.0,4,5,55.6
Vicente Guaita,90.0,1,3,75.0
Dean Henderson,90.0,0,3,100.0
Aaron Ramsdale,90.0,1,4,80.0
Pepe Reina,90.0,2,4,66.7
Ben Foster,90.0,3,2,40.0
Jordan Pickford,90.0,2,0,0.0
Łukasz Fabiański,90.0,3,4,57.1
Mathew Ryan,90.0,3,3,50.0
Martin Dúbravka,90.0,0,4,100.0
Tim Krul,90.0,0,5,100.0
David de Gea,90.0,0,3,100.0
Rui Patrício,90.0,0,5,100.0
Nick Pope,90.0,0,2,100.0
Bernd Leno,90.0,0,2,100.0
Hugo Lloris,90.0,0,2,100.0
Ederson,90.0,2,1,33.3
Jordan Pickford,90.0,1,1,50.0
Vicente Guaita,90.0,3,4,57.1
Mathew Ryan,90.0,1,2,66.7
Ben Foster,90.0,1,1,50.0
Dean Henderson,90.0,1,1,50.0
Aaron Ramsdale,90.0,2,3,60.0
Rui Patrício,90.0,0,3,100.0
Kasper Schmeichel,90.0,0,3,100.0
Alex McCarthy,90.0,2,4,66.7
Nick Pope,90.0,1,1,50.0
Tim Krul,90.0,1,5,83.3
Alisson,90.0,0,1,100.0
Pepe Reina,90.0,3,6,66.7
Hugo Lloris,90.0,2,3,60.0
Bernd Leno,90.0,0,2,100.0
Martin Dúbravka,90.0,4,2,33.3
Willy Caballero,90.0,2,1,33.3
David de Gea,90.0,0,0,
Ederson,90.0,0,0,
Łukasz Fabiański,90.0,2,4,66.7
Willy Caballero,90.0,1,3,75.0
Hugo Lloris,90.0,2,5,71.4
Dean Henderson,90.0,1,1,50.0
Mathew Ryan,90.0,1,2,66.7
Alex McCarthy,90.0,0,1,100.0
Pepe Reina,90.0,2,6,75.0
Vicente Guaita,90.0,0,2,100.0
Martin Dúbravka,90.0,1,7,87.5
Nick Pope,90.0,0,4,100.0
Aaron Ramsdale,90.0,3,7,70.0
Kasper Schmeichel,90.0,1,5,83.3
Ederson,90.0,0,3,100.0
Rui Patrício,90.0,0,3,100.0
Tim Krul,90.0,3,2,40.0
David de Gea,90.0,0,2,100.0
Ben Foster,90.0,3,5,62.5
Bernd Leno,90.0,2,3,60.0
Jordan Pickford,90.0,3,1,25.0
Alisson,90.0,2,2,50.0
Łukasz Fabiański,90.0,3,4,57.1
Tim Krul,90.0,0,4,100.0
Kasper Schmeichel,90.0,1,5,83.3
Mathew Ryan,90.0,1,2,66.7
Vicente Guaita,90.0,0,8,100.0
Martin Dúbravka,90.0,0,1,100.0
Nick Pope,90.0,0,4,100.0
Łukasz Fabiański,90.0,1,1,50.0
Alex McCarthy,90.0,3,4,57.1
Aaron Ramsdale,90.0,2,4,66.7
Willy Caballero,90.0,2,3,60.0
Ben Foster,90.0,0,1,100.0
Alisson,90.0,3,2,40.0
Jordan Pickford,90.0,1,4,80.0
David de Gea,90.0,1,4,80.0
Paulo Gazzaniga,90.0,3,1,25.0
Rui Patrício,90.0,2,2,50.0
Adrián,90.0,1,1,50.0
Aaron Ramsdale,90.0,2,4,66.7
Alex McCarthy,90.0,1,5,83.3
Martin Dúbravka,90.0,0,3,100.0
Vicente Guaita,90.0,0,3,100.0
Ben Foster,90.0,1,1,50.0
Dean Henderson,90.0,0,3,100.0
Tim Krul,90.0,1,2,66.7
Bernd Leno,90.0,0,5,100.0
Łukasz Fabiański,90.0,1,1,50.0
Rui Patrício,90.0,0,1,100.0
Mathew Ryan,90.0,0,1,100.0
Nick Pope,90.0,1,1,50.0
Hugo Lloris,90.0,1,6,85.7
Kepa Arrizabalaga,90.0,0,2,100.0
Jordan Pickford,90.0,4,7,63.6
David de Gea,90.0,0,4,100.0
Ederson,90.0,2,4,66.7
Kasper Schmeichel,90.0,0,1,100.0
Pepe Reina,90.0,4,3,42.9
David de Gea,90.0,1,3,75.0
Kasper Schmeichel,90.0,2,4,66.7
Martin Dúbravka,90.0,2,4,66.7
Hugo Lloris,90.0,1,2,66.7
Ben Hamer,90.0,3,1,25.0
Kepa Arrizabalaga,90.0,0,2,100.0
Fabricio,90.0,2,9,81.8
Wayne Hennessey,90.0,0,6,100.0
Ben Foster,90.0,0,0,
Mathew Ryan,90.0,2,2,50.0
Asmir Begović,90.0,0,1,100.0
Neil Etheridge,90.0,2,1,33.3
Rui Patrício,90.0,2,3,60.0
Jordan Pickford,90.0,2,2,50.0
Alex McCarthy,90.0,0,5,100.0
Joe Hart,90.0,0,3,100.0
Alisson,90.0,0,2,100.0
Łukasz Fabiański,90.0,4,4,50.0
Petr Čech,90.0,2,5,71.4
Ederson,90.0,0,3,100.0
Neil Etheridge,90.0,0,5,100.0
Martin Dúbravka,90.0,0,0,
Łukasz Fabiański,90.0,2,4,66.7
Asmir Begović,90.0,1,4,80.0
Jordan Pickford,90.0,1,3,75.0
Alex McCarthy,90.0,2,5,71.4
Kasper Schmeichel,90.0,0,2,100.0
Rui Patrício,90.0,2,1,33.3
Hugo Lloris,90.0,1,2,66.7
Fabricio,90.0,3,9,75.0
Kepa Arrizabalaga,90.0,2,4,66.7
Petr Čech,90.0,3,8,72.7
Joe Hart,90.0,3,3,50.0
Ben Foster,90.0,1,2,66.7
Ederson,90.0,1,0,0.0
Ben Hamer,90.0,6,8,57.1
Mathew Ryan,90.0,2,1,33.3
David de Gea,90.0,3,0,0.0
Wayne Hennessey,90.0,2,4,66.7
Alisson,90.0,0,2,100.0
Rui Patrício,90.0,1,5,83.3
Ederson,90.0,1,1,50.0
Petr Čech,90.0,1,5,83.3
Łukasz Fabiański,90.0,3,8,72.7
Ben Hamer,13.0,0,1,100.0
Jonas Lössl,77.0,0,3,100.0
Neil Etheridge,90.0,0,1,100.0
Alex McCarthy,90.0,2,3,60.0
Kasper Schmeichel,90.0,1,4,80.0
Asmir Begović,90.0,2,1,33.3
Jordan Pickford,90.0,2,4,66.7
Alisson,90.0,0,2,100.0
Mathew Ryan,90.0,1,6,85.7
Ben Foster,90.0,1,2,66.7
Wayne Hennessey,90.0,2,3,60.0
Martin Dúbravka,90.0,2,3,60.0
Kepa Arrizabalaga,90.0,1,1,50.0
Marcus Bettinelli,90.0,2,0,0.0
Joe Hart,90.0,4,8,66.7
David de Gea,90.0,3,2,40.0
Hugo Lloris,90.0,0,5,100.0
Kasper Schmeichel,90.0,2,2,50.0
Alisson,90.0,1,4,80.0
Łukasz Fabiański,90.0,1,5,83.3
Rui Patrício,90.0,0,4,100.0
Jordan Pickford,90.0,1,5,83.3
Jonas Lössl,90.0,1,0,0.0
Kepa Arrizabalaga,90.0,0,1,100.0
Asmir Begović,90.0,2,4,66.7
Mathew Ryan,90.0,2,3,60.0
Marcus Bettinelli,90.0,2,2,50.0
Wayne Hennessey,90.0,2,3,60.0
Alex McCarthy,90.0,0,6,100.0
Ederson,90.0,1,1,50.0
Martin Dúbravka,90.0,2,5,71.4
Neil Etheridge,90.0,3,8,72.7
Petr Čech,90.0,2,1,33.3
Ben Foster,90.0,1,3,75.0
Michel Vorm,90.0,2,1,33.3
Joe Hart,90.0,2,7,77.8
David de Gea,90.0,0,3,100.0
Michel Vorm,90.0,2,8,80.0
Alisson,90.0,1,2,66.7
Asmir Begović,90.0,2,6,75.0
Kasper Schmeichel,90.0,4,1,20.0
Martin Dúbravka,90.0,2,0,0.0
Petr Čech,90.0,1,1,50.0
Jonas Lössl,90.0,1,1,50.0
Wayne Hennessey,90.0,0,2,100.0
Ederson,90.0,0,3,100.0
Marcus Bettinelli,90.0,3,6,66.7
Kepa Arrizabalaga,90.0,1,1,50.0
Neil Etheridge,90.0,4,3,42.9
Ben Foster,90.0,2,4,66.7
David de Gea,90.0,1,4,80.0
Rui Patrício,90.0,0,2,100.0
Joe Hart,90.0,1,6,85.7
Jordan Pickford,90.0,3,1,25.0
Łukasz Fabiański,90.0,1,3,75.0
Alex McCarthy,90.0,2,2,50.0
Mathew Ryan,90.0,2,2,50.0
