player_id,last_name,first_name,position,club,team_id
200641,Nelson,Reiss,4,Arsenal,3
200646,Gallacher,Tony,2,Liverpool,14
20066,Hennessey,Wayne,1,Crystal Palace,31
200720,Kelleher,Caoimhin,1,Liverpool,14
200826,Lo Celso,Giovani,3,Tottenham,6
201084,Fosu-Mensah,Timothy,2,Man. United,1
20145,Mariappa,Adrian,2,Watford,57
201666,Barnes,Harvey,3,Leicester,13
20310,Caballero,Willy,1,Chelsea,8
203341,Wilfred Ndidi,,3,Leicester,13
203368,Guilbert,Frederic,2,Aston Villa,7
204480,Rice,Declan,3,West Ham,21
20452,Long,Shane,4,Southampton,20
20467,Walcott,Theo,4,Everton,11
20480,Krul,Tim,1,Norwich,45
20529,Murray,Glenn,4,Brighton,36
205533,Nketiah,Eddie,4,Arsenal,3
205651,Gabriel Jesus,,4,Man. City,43
206325,Zinchenko,Oleksandr,3,Man. City,43
20658,Zabaleta,Pablo,2,West Ham,21
20664,David Silva,,3,Man. City,43
206915,Jones,Curtis,3,Liverpool,14
207189,Berge,Sander,3,Sheffield,49
209037,Medley,Zech,2,Arsenal,3
209041,Gomes,Angel,3,Man. United,1
209042,Skipp,Oliver,3,Tottenham,6
209043,Kirby,Nya,3,Crystal Palace,31
209045,Richards,Taylor,3,Brighton,36
209046,Hudson-Odoi,Callum,4,Chelsea,8
209244,Foden,Phil,3,Man. City,43
209362,Bernardo,,2,Brighton,36
209706,Cumming,Jamie,1,Chelsea,8
21205,Heaton,Tom,1,Aston Villa,7
212319,Richarlison,,4,Everton,11
213280,Eastwood,Jake,1,Sheffield,49
213345,Wesley,,4,Aston Villa,7
213482,Valery,Yan,2,Southampton,20
214048,Kilman,Maximilian,2,Wolverhampton,39
214463,Parkes,Adam,1,Watford,57
214466,Smallbone,William,4,Southampton,20
214470,Vokins,Jake,2,Southampton,20
214572,Austin,Brandon,1,Tottenham,6
214590,Wan-Bissaka,Aaron,2,Man. United,1
215061,Archie Davies,,2,Brighton,36
215066,Cochrane,Alex,2,Brighton,36
215133,Dixon-Bonner,Elijah,3,Liverpool,14
215135,Longstaff,Luis,3,Liverpool,14
215136,Williams,Neco,2,Liverpool,14
215439,Soucek,Tomas,3,West Ham,21
216051,Diogo Dalot,,2,Man. United,1
216054,Rúben Vinagre,,2,Wolverhampton,39
216058,Domingos Quina,,3,Watford,57
216208,Sarkic,Matija,1,Aston Villa,7
217331,Surridge,Sam,4,Bournemouth,91
217487,Samatta,Mbwana,4,Aston Villa,7
217593,Fornals,Pablo,3,West Ham,21
217632,Barrett,Mason,2,Watford,57
218020,Whelan,Callum,3,Watford,57
218023,Jimmy Dunne,,2,Burnley,90
218031,Söyüncü,Çaglar,2,Leicester,13
219924,Diop,Issa,2,West Ham,21
219936,Clayton,Thomas,2,Liverpool,14
219938,Boyes,Morgan,2,Liverpool,14
220037,Peacock-Farrell,Bailey,1,Burnley,90
220307,Danjuma Groeneveld,Arnaut,3,Bournemouth,91
220394,Doyle,Tommy,3,Man. City,43
220566,Rodrigo,,3,Man. City,43
220598,Obafemi,Michael,4,Southampton,20
220627,Justin,James,2,Leicester,13
220688,Greenwood,Mason,4,Man. United,1
221239,Davis,Keinan,3,Aston Villa,7
222018,Johnson,Ben,3,West Ham,21
222434,Simpson,Jack,2,Bournemouth,91
222531,Gibbs-White,Morgan,3,Wolverhampton,39
222627,João Virgínia,,1,Everton,11
222677,Chong,Tahith,3,Man. United,1
222786,Retsos,Panagiotis,2,Sheffield,49
222844,Taylor,Max,2,Man. United,1
223175,Matthew Longstaff,,3,Newcastle,4
223332,Anjorin,Faustino,3,Chelsea,8
223340,Saka,Bukayo,4,Arsenal,3
223349,Vassilev,Indiana,4,Aston Villa,7
223911,Mepham,Chris,2,Bournemouth,91
225321,Ramsdale,Aaron,1,Bournemouth,91
225368,Shabani,Meritan,3,Wolverhampton,39
225796,James,Reece,2,Chelsea,8
227127,Bissouma,Yves,3,Brighton,36
227290,Jordan,Corey,2,Bournemouth,91
229600,Travers,Mark,1,Bournemouth,91
230046,Douglas Luiz,,3,Aston Villa,7
231372,Ndombele,Tanguy,3,Tottenham,6
231821,Davies,Jordan,3,Brighton,36
232185,Sarr,Ismaila,4,Watford,57
232223,Balogun,Folarin,4,Arsenal,3
232244,Spencer-Adams,Bayli,2,Watford,57
232361,Perry,Taylor,3,Wolverhampton,39
232391,Ngakia,Jeremy,2,West Ham,21
232758,Winterbottom,Ben,1,Liverpool,14
232774,Longman,Ryan,3,Brighton,36
232781,Bernard,Di'Shon,2,Man. United,1
232792,Lamptey,Tariq,2,Brighton,36
232818,Wise,Henry,3,Watford,57
232826,Gordon,Anthony,3,Everton,11
232905,Millar,Liam,4,Liverpool,14
232924,Mellor,D'Mani,4,Man. United,1
232928,Garner,James,3,Man. United,1
232929,Laird,Ethan,2,Man. United,1
232930,Levitt,Dylan,3,Man. United,1
232937,Williams,Brandon,2,Man. United,1
232957,Allan,Thomas,4,Newcastle,4
232960,Cass,Lewis,2,Newcastle,4
232980,Aarons,Max,2,Norwich,45
233001,Balogun,Jamal,2,Watford,57
233425,Connolly,Aaron,4,Brighton,36
233489,Clarkson,Leighton,3,Liverpool,14
233849,Mair,Archie,1,Norwich,45
234908,Foyth,Juan,2,Tottenham,6
235381,Dalby,Sam,4,Watford,57
235382,Alzate,Steven,3,Brighton,36
235530,Kelly,Lloyd,2,Bournemouth,91
235599,Tavares,Nikola,2,Crystal Palace,31
240795,Sorensen,Elias,4,Newcastle,4
242058,Kean,Moise,4,Everton,11
242166,Guendouzi,Matteo,3,Arsenal,3
243016,Mac Allister,Alexis,3,Brighton,36
243343,Cain,Jake,3,Liverpool,14
243568,Gilmour,Billy,3,Chelsea,8
243710,Bernardo Rosa,,3,West Ham,21
244723,Mitchell,Tyrick,2,Crystal Palace,31
244848,Jenks,Teddy,3,Brighton,36
244856,Mengi,Teden,2,Man. United,1
244890,Hungbo,Joseph,3,Watford,57
245719,Harwood-Bellis,Taylor,2,Man. City,43
245923,Cundle,Luke,3,Wolverhampton,39
247632,Pedro Neto,,3,Wolverhampton,39
248506,Puigmal Martínez,Arnau,3,Man. United,1
248719,O'Hora,Warren,2,Brighton,36
250370,Bishop,Nathan,1,Man. United,1
250604,Otasowie,Owen,3,Wolverhampton,39
27436,McGoldrick,David,4,Sheffield,49
27789,Fernandinho,,3,Man. City,43
28082,Fährmann,Ralf,1,Norwich,45
28609,Legzdins,Adam,1,Burnley,90
32259,Randolph,Darren,1,West Ham,21
33148,Bravo,Claudio,1,Man. City,43
37096,Fabianski,Lukasz,1,West Ham,21
37339,Ahmed El Mohamady,,2,Aston Villa,7
37402,Fuchs,Christian,2,Leicester,13
37572,Agüero,Sergio,4,Man. City,43
37605,Özil,Mesut,3,Arsenal,3
37614,Vrancic,Mario,3,Norwich,45
37642,Evans,Jonny,2,Leicester,13
37915,Lloris,Hugo,1,Tottenham,6
38290,Rose,Danny,2,Newcastle,4
38439,Capoue,Etienne,3,Watford,57
38454,Lovren,Dejan,2,Liverpool,14
38490,Kayal,Beram,3,Brighton,36
38533,Rui Patrício,,1,Wolverhampton,39
39155,Lallana,Adam,3,Liverpool,14
39194,Vertonghen,Jan,2,Tottenham,6
39215,Vorm,Michel,1,Tottenham,6
39476,Sokratis,,2,Arsenal,3
39487,Pieters,Erik,2,Burnley,90
40142,Carroll,Andy,4,Newcastle,4
40145,Cork,Jack,3,Burnley,90
40146,Bertrand,Ryan,2,Southampton,20
40386,Basham,Chris,2,Sheffield,49
40387,Gosling,Dan,3,Bournemouth,91
40564,Lansbury,Henri,3,Aston Villa,7
40669,Ogbonna,Angelo,2,West Ham,21
40784,Sakho,Mamadou,2,Crystal Palace,31
40836,Guaita,Vicente,1,Crystal Palace,31
40845,Stephens,Dale,3,Brighton,36
40868,Holebas,José,2,Watford,57
41270,David Luiz,,2,Arsenal,3
41320,Daniels,Charlie,2,Bournemouth,91
41328,Azpilicueta,César,2,Chelsea,8
41338,Cathcart,Craig,2,Watford,57
41674,Long,Kevin,2,Burnley,90
41725,Deeney,Troy,4,Watford,57
41727,Bennett,Ryan,2,Leicester,13
41733,Wijnaldum,Georginio,3,Liverpool,14
41823,Delph,Fabian,3,Everton,11
42525,Henderson,Stephen,1,Crystal Palace,31
42774,Schneiderlin,Morgan,3,Everton,11
42824,Sánchez,Carlos,3,West Ham,21
428610,Bruno Jordão,,3,Wolverhampton,39
42899,Romero,Sergio,1,Man. United,1
430990,Bearne,Jack,3,Liverpool,14
431131,Djenepo,Moussa,3,Southampton,20
431774,Taylor,Kyle,3,Bournemouth,91
43250,Cleverley,Tom,3,Watford,57
432656,García,Eric,2,Man. City,43
432735,Idah,Adam,4,Norwich,45
432793,Ali Koiki,,2,Burnley,90
432819,Galbraith,Ethan,3,Man. United,1
432850,Taylor,Terry,3,Wolverhampton,39
432945,Spong,Jack,3,Brighton,36
432987,Jaros,Vitezslav,1,Liverpool,14
432988,Norris,James,2,Liverpool,14
432990,Larouci,Yasser,2,Liverpool,14
433154,McNeil,Dwight,4,Burnley,90
433589,Roberts,Haydon,2,Brighton,36
433952,Ramazani,Largie,4,Man. United,1
433979,Archer,Cameron,4,Aston Villa,7
43670,Mata,Juan,3,Man. United,1
437688,Richards,Lewis,2,Wolverhampton,39
439485,Martin,Josh,3,Norwich,45
439978,Yapi,Romaric,2,Brighton,36
440323,Broja,Armando,4,Chelsea,8
441027,Dionkou,Alpha Richard,2,Man. City,43
441271,Hoever,Ki-Jana,2,Liverpool,14
441302,Maatsen,Ian,2,Chelsea,8
44346,Giroud,Olivier,4,Chelsea,8
444145,Gabriel Martinelli,,3,Arsenal,3
444172,Dennis,William,1,Bournemouth,91
444183,Kilkenny,Gavin,3,Bournemouth,91
444765,van den Berg,Sepp,2,Liverpool,14
444884,Elliott,Harvey,3,Liverpool,14
446189,Kovar,Matej,1,Man. United,1
44683,Rodriguez,Jay,4,Burnley,90
44699,Barnes,Ashley,4,Burnley,90
447235,Parrott,Troy,4,Tottenham,6
447879,Anang,Joseph,1,West Ham,21
448487,Söndergaard,Andreas,1,Wolverhampton,39
449926,Bernabé,Adrián,3,Man. City,43
45268,Sissoko,Moussa,3,Tottenham,6
459373,Gonçalo Cardoso,,2,West Ham,21
460992,Genesini,Brooklyn,2,Bournemouth,91
461017,Saydee,Christian,3,Bournemouth,91
461026,Campbell,Chem,3,Wolverhampton,39
461096,Richardson,Lewis,4,Burnley,90
461141,Bennetts,Jayden,3,Watford,57
461153,Janjeva,Andi,2,Watford,57
461195,Cirkin,Dennis,2,Tottenham,6
461601,Hill,Thomas,4,Liverpool,14
461609,Stewart,Layton,4,Liverpool,14
461870,Gwargis,Peter,3,Brighton,36
466955,Pierrick Keutcha,Brandon,3,Crystal Palace,31
47247,Fleck,John,3,Sheffield,49
47390,Taylor,Neil,2,Aston Villa,7
474003,Campana,Leonardo,4,Wolverhampton,39
47431,Willian,,4,Chelsea,8
475168,João Pedro,,4,Watford,57
480818,Koumetio,Billy,2,Liverpool,14
49083,Luke Freeman,,3,Sheffield,49
49262,Steele,Jason,1,Brighton,36
49384,Rodwell,Jack,3,Sheffield,49
49413,Tomkins,James,2,Crystal Palace,31
49579,Pedro,,4,Chelsea,8
50093,Button,David,1,Brighton,36
50175,Welbeck,Danny,4,Watford,57
50232,Shelvey,Jonjo,3,Newcastle,4
50471,McArthur,James,3,Crystal Palace,31
50472,McCarthy,James,3,Crystal Palace,31
51927,Mee,Ben,2,Burnley,90
51938,Albrighton,Marc,3,Leicester,13
51940,de Gea,David,1,Man. United,1
52940,Janmaat,Daryl,2,Watford,57
54102,Wilshere,Jack,3,West Ham,21
54469,Adam Smith,,2,Bournemouth,91
54484,Kiko Femenía,,2,Watford,57
54694,Aubameyang,Pierre-Emerick,4,Arsenal,3
54861,Benteke,Christian,4,Crystal Palace,31
55037,Kouyaté,Cheikhou,3,Crystal Palace,31
55422,Sigurdsson,Gylfi,3,Everton,11
55459,Cresswell,Aaron,2,West Ham,21
55494,Ward,Joel,2,Crystal Palace,31
55605,Alderweireld,Toby,2,Tottenham,6
56192,Cuco Martina,,2,Everton,11
56377,Yarmolenko,Andriy,4,West Ham,21
56872,Stanislas,Junior,3,Bournemouth,91
56917,Steve Cook,,2,Bournemouth,91
56979,Henderson,Jordan,3,Liverpool,14
56983,Ritchie,Matt,3,Newcastle,4
57127,Pukki,Teemu,4,Norwich,45
57145,Fernández,Federico,2,Newcastle,4
57328,Clyne,Nathaniel,2,Liverpool,14
57410,Otamendi,Nicolás,2,Man. City,43
57531,Antonio,Michail,3,West Ham,21
58376,McCarthy,Alex,1,Southampton,20
58498,Ighalo,Odion,4,Man. United,1
58621,Walker,Kyle,2,Man. City,43
58786,Kelly,Martin,2,Crystal Palace,31
58822,Cédric Soares,,2,Arsenal,3
58845,Clark,Ciaran,2,Newcastle,4
59735,Darlow,Karl,1,Newcastle,4
59859,Gündogan,Ilkay,3,Man. City,43
59949,Coleman,Séamus,2,Everton,11
59966,Lacazette,Alexandre,4,Arsenal,3
60232,Dawson,Craig,2,Watford,57
60252,Townsend,Andros,3,Crystal Palace,31
60307,Groß,Pascal,3,Brighton,36
60551,Westwood,Ashley,3,Burnley,90
60586,Gudmundsson,Jóhann,3,Burnley,90
60689,Wood,Chris,4,Burnley,90
60706,Adrián,,1,Liverpool,14
60914,Matip,Joel,2,Liverpool,14
61366,De Bruyne,Kevin,3,Man. City,43
61566,Pereyra,Roberto,3,Watford,57
61603,Drinkwater,Daniel,3,Aston Villa,7
61604,James,Matty,3,Leicester,13
