Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls2,Ast3,G+A,G-PK,G+A-PK
47,César Azpilicueta,es ESP,"DF,MF",eng Chelsea,27,1989,8,8,705,1,0,0,0,0,0,0.13,0,0.13,0.13,0.13
48,Ryan Babel,nl NED,MF,tr Be_ikta_,30,1986,7,6,555,2,1,0,0,0,0,0.32,0.16,0.49,0.32,0.49
49,Eric Bailly,ci CIV,DF,eng Manchester Utd,23,1994,3,3,270,0,0,0,0,1,0,0,0,0,0,0
50,Gregor Bajde,si SVN,MF,si NK Maribor,23,1994,4,3,248,0,0,0,0,0,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
51,Tiemoué Bakayoko,fr FRA,MF,eng Chelsea,22,1994,5,4,361,1,1,0,0,1,0,0.25,0.25,0.5,0.25,0.5
52,Keita Baldé,sn SEN,"FW,MF",fr Monaco,22,1995,6,3,289,0,2,0,0,1,0,0,0.62,0.62,0,0.62
53,Gareth Bale,wal WAL,FW,es Real Madrid,28,1989,7,3,297,3,2,0,0,1,0,0.91,0.61,1.52,0.91,1.52
54,Éver Banega,ar ARG,MF,es Sevilla,29,1988,9,9,792,1,2,0,0,4,0,0.11,0.23,0.34,0.11,0.34
55,Gabriel Barbosa,br BRA,"FW,MF",pt Benfica,20,1996,2,0,30,0,0,0,0,0,0,0,0,0,0,0
56,Marc Bartra,es ESP,"DF,MF",de Dortmund,26,1991,4,4,350,0,0,0,0,1,0,0,0,0,0,0
57,Andrea Barzagli,it ITA,DF,it Juventus,36,1981,8,7,654,0,0,0,0,1,0,0,0,0,0,0
58,Bilal Ba_açıko_lu,tr TUR,"FW,MF",nl Feyenoord,22,1995,2,0,29,0,0,0,0,0,0,0,0,0,0,0
59,Michy Batshuayi,be BEL,FW,eng Chelsea,23,1993,4,1,122,2,0,0,0,0,0,1.48,0,1.48,1.48,1.48
60,Rodrigo Battaglia,ar ARG,MF,pt Sporting CP,26,1991,6,6,537,0,0,0,0,1,0,0,0,0,0,0
61,Sven van Beek,nl NED,DF,nl Feyenoord,23,1994,4,3,269,0,0,0,0,1,0,0,0,0,0,0
62,Wissam Ben Yedder,fr FRA,FW,es Sevilla,26,1990,9,8,651,8,0,2,2,2,0,1.11,0,1.11,0.83,0.83
63,Diego Benaglio,ch SUI,GK,fr Monaco,33,1983,3,3,270,0,0,0,0,0,0,0,0,0,0,0
64,Medhi Benatia,ma MAR,DF,it Juventus,30,1987,8,7,566,0,0,0,0,4,0,0,0,0,0,0
65,Rodrigo Bentancur,uy URU,MF,it Juventus,20,1997,5,3,291,0,0,0,0,3,0,0,0,0,0,0
66,Karim Benzema,fr FRA,FW,es Real Madrid,29,1987,9,8,600,5,0,0,0,0,0,0.75,0,0.75,0.75,0.75
67,Yuri Berchiche,es ESP,DF,fr Paris S-G,27,1990,2,2,180,0,0,0,0,0,0,0,0,0,0,0
68,Aleksei Berezutski,ru RUS,DF,ru CSKA Moscow,35,1982,3,3,270,0,0,0,0,0,0,0,0,0,0,0
69,Vasili Berezutski,ru RUS,DF,ru CSKA Moscow,35,1982,5,5,450,0,0,0,0,1,0,0,0,0,0,0
70,Steven Berghuis,nl NED,"FW,MF",nl Feyenoord,25,1991,6,6,466,1,2,0,0,2,0,0.19,0.39,0.58,0.19,0.58
71,Bernard,br BRA,MF,ua Shakhtar,24,1992,8,8,681,3,0,0,0,0,0,0.4,0,0.4,0.4,0.4
72,Federico Bernardeschi,it ITA,MF,it Juventus,23,1994,5,1,136,1,0,0,0,0,0,0.66,0,0.66,0.66,0.66
73,Bernardo,br BRA,DF,de RB Leipzig,22,1995,3,1,114,0,0,0,0,0,0,0,0,0,0,0
74,Juan Bernat,es ESP,DF,de Bayern Munich,24,1993,1,1,46,0,0,0,0,1,0,0,0,0,0,0
75,Jean-Claude Billong,fr FRA,DF,si NK Maribor,23,1993,4,4,360,0,0,0,0,0,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
76,Nir Bitton,il ISR,DF,sco Celtic,25,1991,3,1,187,0,0,0,0,1,0,0,0,0,0,0
77,Daley Blind,nl NED,"DF,MF",eng Manchester Utd,27,1990,6,6,540,1,1,1,1,1,0,0.17,0.17,0.33,0,0.17
78,Jérôme Boateng,de GER,DF,de Bayern Munich,28,1988,9,8,677,0,1,0,0,2,0,0,0.13,0.13,0,0.13
79,Salvatore Bocchetti,it ITA,DF,ru Spartak Moscow,30,1986,3,3,270,0,0,0,0,1,0,0,0,0,0,0
80,Frank Boeckx,be BEL,GK,be Anderlecht,30,1986,3,3,270,0,0,0,0,0,0,0,0,0,0,0
81,Jean-Paul Boëtius,nl NED,FW,nl Feyenoord,23,1994,6,6,519,0,0,0,0,0,0,0,0,0,0,0
82,Damjan Bohar,si SVN,MF,si NK Maribor,25,1991,6,6,484,1,0,0,0,2,0,0.19,0,0.19,0.19,0.19
83,Gabriel Boschilia,br BRA,MF,fr Monaco,21,1996,1,0,11,0,0,0,0,0,0,0,0,0,0,0
84,Alberto Botía,es ESP,DF,gr Olympiacos,28,1989,3,3,270,0,0,0,0,0,0,0,0,0,0,0
85,Eric Botteghin,br BRA,DF,nl Feyenoord,29,1987,1,1,90,0,0,0,0,1,0,0,0,0,0,0
86,Dedryck Boyata,be BEL,DF,sco Celtic,26,1990,5,5,450,0,0,0,0,0,0,0,0,0,0,0
87,Yacine Brahimi,dz ALG,MF,pt Porto,27,1990,7,7,568,1,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32
88,Claudio Bravo,cl CHI,GK,eng Manchester City,34,1983,1,1,90,0,0,0,0,0,0,0,0,0,0,0
89,Scott Brown,sco SCO,MF,sco Celtic,32,1985,6,6,520,0,0,0,0,0,0,0,0,0,0,0
90,Bruma,pt POR,"MF,FW",de RB Leipzig,22,1994,5,3,274,0,0,0,0,0,0,0,0,0,0,0
