Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls2,Ast3,G+A,G-PK,G+A-PK
202,Augusto Fernández,ar ARG,MF,es Atlético Madrid,31,1986,1,1,58,0,0,0,0,0,0,0,0,0,0,0
203,Fernandinho,br BRA,"MF,DF",eng Manchester City,32,1985,8,8,682,0,0,0,0,2,0,0,0,0,0,0
204,Fernando,br BRA,MF,ru Spartak Moscow,25,1992,6,6,540,1,1,0,0,2,0,0.17,0.17,0.33,0.17,0.33
205,Facundo Ferreyra,ar ARG,FW,ua Shakhtar,26,1991,8,8,703,3,1,0,0,3,0,0.38,0.13,0.51,0.38,0.51
206,Diogo Figueiras,pt POR,"DF,MF",gr Olympiacos,26,1991,4,4,360,0,2,0,0,3,0,0,0.5,0.5,0,0.5
207,Tobias Figueiredo,pt POR,DF,pt Sporting CP,23,1994,1,0,13,0,0,0,0,0,0,0,0,0,0,0
208,Roberto Firmino,br BRA,FW,eng Liverpool,25,1991,13,13,"1,056",10,8,0,1,2,0,0.85,0.68,1.53,0.85,1.53
209,Alessandro Florenzi,it ITA,"DF,MF",it Roma,26,1991,10,8,708,0,0,0,0,2,0,0,0,0,0,0
210,Phil Foden,eng ENG,MF,eng Manchester City,17,2000,3,2,194,0,0,0,0,0,0,0,0,0,0,0
211,James Forrest,sco SCO,"MF,FW",sco Celtic,26,1991,6,3,306,0,1,0,0,0,0,0,0.29,0.29,0,0.29
212,Emil Forsberg,se SWE,MF,de RB Leipzig,25,1991,5,5,412,2,0,0,0,0,0,0.44,0,0.44,0.44,0.44
213,Hernâni Fortes,pt POR,"FW,MF",pt Porto,25,1991,2,0,17,0,0,0,0,0,0,0,0,0,0,0
214,Kostas Fortounis,gr GRE,"MF,FW",gr Olympiacos,24,1992,6,3,246,0,1,0,0,0,0,0,0.37,0.37,0,0.37
215,Juan Foyth,ar ARG,DF,eng Tottenham,19,1998,1,1,90,0,0,0,0,0,0,0,0,0,0,0
216,Alexander Fransson,se SWE,MF,ch Basel,23,1994,3,0,10,0,0,0,0,0,0,0,0,0,0,0
217,Fred,br BRA,MF,ua Shakhtar,24,1993,8,8,720,1,1,0,0,2,0,0.12,0.12,0.25,0.12,0.25
218,Fabian Frei,ch SUI,"MF,DF",ch Basel,28,1989,2,2,180,0,0,0,0,0,0,0,0,0,0,0
219,Marco Friedl,at AUT,DF,de Bayern Munich,19,1998,1,1,90,0,0,0,0,0,0,0,0,0,0,0
220,Gabi,es ESP,MF,es Atlético Madrid,34,1983,5,4,347,0,0,0,0,0,0,0,0,0,0,0
221,Nicolás Gaitán,ar ARG,MF,es Atlético Madrid,29,1988,4,1,123,0,0,0,0,0,0,0,0,0,0,0
222,Cristian Gamboa,cr CRC,DF,sco Celtic,27,1989,1,1,90,0,0,0,0,0,0,0,0,0,0,0
223,Kévin Gameiro,fr FRA,FW,es Atlético Madrid,30,1987,3,2,164,1,0,0,0,0,0,0.55,0,0.55,0.55,0.55
224,Ganso,br BRA,MF,es Sevilla,27,1989,1,0,31,1,0,0,0,0,0,2.9,0,2.9,2.9,2.9
225,Gara Garayev,az AZE,MF,az Qaraba_ FK,24,1992,6,6,520,0,0,0,0,1,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
226,David de Gea,es ESP,GK,eng Manchester Utd,26,1990,6,6,540,0,0,0,0,0,0,0,0,0,0,0
227,Johannes Geis,de GER,DF,es Sevilla,23,1993,2,1,91,0,0,0,0,0,0,0,0,0,0,0
228,Anthony Georgiou,cy CYP,MF,eng Tottenham,20,1997,1,0,6,0,0,0,0,0,0,0,0,0,0,0
229,Pieter Gerkens,be BEL,"FW,MF",be Anderlecht,21,1995,5,5,404,0,0,0,0,0,0,0,0,0,0,0
230,Gerson,br BRA,FW,it Roma,20,1997,6,2,220,0,0,0,0,0,0,0,0,0,0,0
231,Rachid Ghezzal,dz ALG,MF,fr Monaco,25,1992,4,2,142,0,0,0,0,0,1,0,0,0,0,0
232,Faouzi Ghoulam,dz ALG,DF,it Napoli,26,1991,4,4,301,0,0,0,0,0,0,0,0,0,0,0
233,Guillaume Gillet,be BEL,MF,gr Olympiacos,33,1984,4,3,250,0,0,0,0,0,0,0,0,0,0,0
234,Olivier Giroud,fr FRA,FW,eng Chelsea,30,1986,1,1,67,0,0,0,0,1,0,0,0,0,0,0
235,Kamil Glik,pl POL,DF,fr Monaco,29,1988,6,6,540,1,0,1,1,0,0,0.17,0,0.17,0,0
236,Denis Glushakov,ru RUS,MF,ru Spartak Moscow,30,1987,5,4,336,1,1,0,0,1,0,0.27,0.27,0.54,0.27,0.54
237,Diego Godín,uy URU,DF,es Atlético Madrid,31,1986,4,4,360,0,0,0,0,0,0,0,0,0,0,0
238,Aleksandr Golovin,ru RUS,MF,ru CSKA Moscow,21,1996,6,6,537,0,1,0,0,2,0,0,0.17,0.17,0,0.17
239,André Gomes,pt POR,MF,es Barcelona,24,1993,9,1,170,0,0,0,0,1,0,0,0,0,0,0
240,Joe Gomez,eng ENG,DF,eng Liverpool,20,1997,5,4,371,0,0,0,0,1,2,0,0,0,0,0
241,Maxime Gonalons,fr FRA,MF,it Roma,28,1989,6,3,309,0,1,0,0,1,0,0,0.29,0.29,0,0.29
242,Diogo Gonçalves,pt POR,"FW,MF",pt Benfica,20,1997,4,4,267,0,0,0,0,1,0,0,0,0,0,0
243,Gökhan Gönül,tr TUR,DF,tr Be_ikta_,32,1985,4,3,291,0,1,0,0,1,0,0,0.31,0.31,0,0.31
244,Craig Gordon,sco SCO,GK,sco Celtic,34,1982,6,6,540,0,0,0,0,0,0,0,0,0,0,0
245,Astemir Gordyushenko,ru RUS,MF,ru CSKA Moscow,20,1997,2,0,31,0,0,0,0,0,0,0,0,0,0,0
246,Mario Götze,de GER,MF,de Dortmund,25,1992,5,4,370,0,1,0,0,0,0,0,0.24,0.24,0,0.24
247,Antoine Griezmann,fr FRA,FW,es Atlético Madrid,26,1991,6,6,529,2,2,1,1,1,0,0.34,0.34,0.68,0.17,0.51
248,Leigh Griffiths,sco SCO,FW,sco Celtic,26,1990,5,3,248,1,0,0,0,0,0,0.36,0,0.36,0.36,0.36
249,Álex Grimaldo,es ESP,DF,pt Benfica,21,1995,4,4,321,0,0,0,0,0,0,0,0,0,0,0
250,Marko Gruji_,rs SRB,MF,eng Liverpool,21,1996,1,0,5,0,0,0,0,0,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
251,Raúl Gudiño,mx MEX,GK,cy APOEL FC,21,1996,1,0,45,0,0,0,0,0,0,0,0,0,0,0
252,Raphaël Guerreiro,pt POR,"MF,DF",de Dortmund,23,1993,3,3,252,1,0,0,0,0,0,0.36,0,0.36,0.36,0.36
253,Wilde-Donald Guerrier,ht HAI,"MF,FW",az Qaraba_ FK,28,1989,6,4,354,0,1,0,0,1,0,0,0.25,0.25,0,0.25
254,Péter Gulácsi,hu HUN,GK,de RB Leipzig,27,1990,6,6,540,0,0,0,0,0,0,0,0,0,0,0
255,_lkay Gündo_an,de GER,MF,eng Manchester City,26,1990,9,6,503,2,2,0,0,2,0,0.36,0.36,0.72,0.36,0.72
256,Achraf Hakimi,ma MAR,DF,es Real Madrid,18,1998,2,2,180,0,0,0,0,0,0,0,0,0,0,0
257,Marcel Halstenberg,de GER,DF,de RB Leipzig,25,1991,6,6,472,0,1,0,0,2,0,0,0.19,0.19,0,0.19
258,Marek Ham_ík,sk SVK,MF,it Napoli,30,1987,6,6,465,0,1,0,0,0,0,0,0.19,0.19,0,0.19
259,Jasmin Handanovi_,si SVN,GK,si NK Maribor,39,1978,6,6,540,0,0,0,0,0,0,0,0,0,0,0
260,Sofiane Hanni,dz ALG,"MF,FW",be Anderlecht,26,1990,6,6,471,1,0,0,0,0,0,0.19,0,0.19,0.19,0.19
261,Ridgeciano Haps,nl NED,DF,nl Feyenoord,24,1993,4,4,360,0,0,0,0,0,0,0,0,0,0,0
262,Hamdi Harbaoui,tn TUN,FW,be Anderlecht,32,1985,2,0,14,0,0,0,0,0,0,0,0,0,0,0
263,Eden Hazard,be BEL,"FW,MF",eng Chelsea,26,1991,8,7,611,3,3,1,1,0,0,0.44,0.44,0.88,0.29,0.74
264,Jordan Henderson,eng ENG,MF,eng Liverpool,27,1990,10,9,868,0,0,0,0,3,0,0,0,0,0,0
265,Pedro Henrique,br BRA,MF,az Qaraba_ FK,27,1990,4,4,281,1,0,0,0,1,1,0.32,0,0.32,0.32,0.32
266,Lucas Hernández,fr FRA,DF,es Atlético Madrid,21,1996,3,3,270,0,0,0,0,1,0,0,0,0,0,0
267,Theo Hernández,fr FRA,DF,es Real Madrid,19,1997,3,1,131,0,0,0,0,0,0,0,0,0,0,0
268,Ander Herrera,es ESP,MF,eng Manchester Utd,27,1989,6,5,376,0,0,0,0,0,0,0,0,0,0,0
269,Héctor Herrera,mx MEX,MF,pt Porto,27,1990,6,6,531,1,1,0,0,1,0,0.17,0.17,0.34,0.17,0.34
270,Son Heung-min,kr KOR,"MF,FW",eng Tottenham,25,1992,7,5,426,4,0,0,0,0,0,0.85,0,0.85,0.85,0.85
271,Gonzalo Higuaín,ar ARG,FW,it Juventus,29,1987,10,9,830,5,1,1,2,1,0,0.54,0.11,0.65,0.43,0.54
272,Dino Hoti_,ba BIH,MF,si NK Maribor,22,1995,5,1,151,0,0,0,0,1,0,0,0,0,0,0
273,Mats Hummels,de GER,DF,de Bayern Munich,28,1988,9,8,679,1,0,0,0,1,0,0.13,0,0.13,0.13,0.13
274,Badavi Huseynov,az AZE,DF,az Qaraba_ FK,26,1991,3,3,270,0,0,0,0,1,0,0,0,0,0,0
275,Atiba Hutchinson,ca CAN,MF,tr Be_ikta_,34,1983,7,6,563,0,0,0,0,1,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
276,Elseid Hysaj,al ALB,DF,it Napoli,23,1994,6,6,520,0,0,0,0,0,0,0,0,0,0,0
277,Zlatan Ibrahimovi_,se SWE,FW,eng Manchester Utd,35,1981,1,0,16,0,0,0,0,0,0,0,0,0,0,0
278,Sergei Ignashevich,ru RUS,DF,ru CSKA Moscow,38,1979,4,4,316,0,0,0,0,0,0,0,0,0,0,0
279,Stefan Ilsanker,at AUT,"DF,MF",de RB Leipzig,28,1989,3,3,262,0,0,0,0,0,2,0,0,0,0,0
280,Danny Ings,eng ENG,FW,eng Liverpool,25,1992,4,0,54,0,1,0,0,0,0,0,1.67,1.67,0,1.67
281,Andrés Iniesta,es ESP,MF,es Barcelona,33,1984,8,8,624,0,3,0,0,0,0,0,0.43,0.43,0,0.43
282,Lorenzo Insigne,it ITA,FW,it Napoli,26,1991,5,5,391,3,0,0,0,1,0,0.69,0,0.69,0.69,0.69
283,Alexander Isak,se SWE,FW,de Dortmund,17,1999,1,0,8,0,0,0,0,0,0,0,0,0,0,0
284,Isco,es ESP,"MF,FW",es Real Madrid,25,1992,11,10,736,0,2,0,0,1,0,0,0.24,0.24,0,0.24
285,Ismaily,br BRA,DF,ua Shakhtar,27,1990,8,8,694,1,0,0,0,1,0,0.13,0,0.13,0.13,0.13
286,Afran Ismayilov,az AZE,"MF,FW",az Qaraba_ FK,28,1988,2,1,76,0,0,0,0,0,0,0,0,0,0,0
287,Cedric Itten,ch SUI,"FW,MF",ch Basel,20,1996,1,0,6,0,0,0,0,0,0,0,0,0,0,0
288,Jardel,br BRA,DF,pt Benfica,31,1986,4,4,360,0,0,0,0,0,0,0,0,0,0,0
289,Jemerson,br BRA,DF,fr Monaco,24,1992,6,6,540,0,0,0,0,2,0,0,0,0,0,0
290,Gabriel Jesus,br BRA,FW,eng Manchester City,20,1997,9,7,618,4,0,0,0,2,0,0.58,0,0.58,0.58,0.58
291,Juan Jesus,br BRA,DF,it Roma,26,1991,6,6,517,0,0,0,0,2,0,0,0,0,0,0
292,Raúl Jiménez,mx MEX,FW,pt Benfica,26,1991,5,3,308,0,0,0,0,0,0,0,0,0,0,0
293,Jonas,br BRA,FW,pt Benfica,33,1984,6,3,287,0,0,0,0,0,0,0,0,0,0,0
294,Brad Jones,au AUS,GK,nl Feyenoord,35,1982,5,5,450,0,0,0,0,1,0,0,0,0,0,0
295,Jorge,br BRA,DF,fr Monaco,21,1996,4,4,360,0,0,0,0,2,0,0,0,0,0,0
296,Jorginho,it ITA,MF,it Napoli,25,1991,2,2,162,1,1,1,1,0,0,0.56,0.56,1.11,0,0.56
297,Stevan Joveti_,me MNE,"FW,MF",fr Monaco,27,1989,1,0,64,0,0,0,0,0,0,0,0,0,0,0
298,Juanfran,es ESP,DF,es Atlético Madrid,32,1985,3,3,270,0,0,0,0,0,0,0,0,0,0,0
299,Nicolai Jørgensen,dk DEN,FW,nl Feyenoord,26,1991,4,3,258,2,0,0,0,0,0,0.7,0,0.7,0.7,0.7
300,Marwan Kabha,il ISR,MF,si NK Maribor,26,1991,6,6,524,0,0,0,0,0,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
301,Shinji Kagawa,jp JPN,"MF,FW",de Dortmund,28,1989,5,5,402,0,2,0,0,0,0,0,0.45,0.45,0,0.45
302,Dominik Kaiser,de GER,MF,de RB Leipzig,28,1988,1,0,16,0,0,0,0,0,0,0,0,0,0,0
303,Kevin Kampl,si SVN,MF,de RB Leipzig,26,1990,6,4,415,0,1,0,0,0,0,0,0.22,0.22,0,0.22
304,Harry Kane,eng ENG,FW,eng Tottenham,24,1993,7,7,597,7,2,0,0,0,0,1.06,0.3,1.36,1.06,1.36
305,N'Golo Kanté,fr FRA,MF,eng Chelsea,26,1991,6,6,498,0,0,0,0,0,0,0,0,0,0,0
306,Stefanos Kapino,gr GRE,GK,gr Olympiacos,23,1994,1,1,90,0,0,0,0,0,0,0,0,0,0,0
307,Loris Karius,de GER,GK,eng Liverpool,24,1993,13,13,"1,170",0,0,0,0,0,0,0,0,0,0,0
308,Naby Keïta,gn GUI,MF,de RB Leipzig,22,1995,5,5,419,2,0,0,0,1,0,0.43,0,0.43,0.43,0.43
309,Sami Khedira,de GER,"MF,FW",it Juventus,30,1987,8,8,633,0,3,0,0,0,0,0,0.43,0.43,0,0.43
310,Davit Khocholava,ge GEO,DF,ua Shakhtar,24,1993,4,1,104,0,0,0,0,1,0,0,0,0,0,0
311,Khetag Khosonov,ru RUS,MF,ru CSKA Moscow,19,1998,1,0,1,0,0,0,0,0,0,0,0,0,0,0
312,Joshua Kimmich,de GER,DF,de Bayern Munich,22,1995,11,10,897,4,3,0,0,2,0,0.4,0.3,0.7,0.4,0.7
313,Presnel Kimpembe,fr FRA,DF,fr Paris S-G,21,1995,3,2,198,0,0,0,0,0,0,0,0,0,0,0
314,Simon Kjær,dk DEN,DF,es Sevilla,28,1989,6,6,540,1,0,0,0,0,0,0.17,0,0.17,0.17,0.17
315,Ragnar Klavan,ee EST,DF,eng Liverpool,31,1985,7,3,296,0,0,0,0,0,0,0,0,0,0,0
316,Lukas Klostermann,de GER,DF,de RB Leipzig,21,1996,6,4,462,0,0,0,0,0,0,0,0,0,0,0
317,Koke,es ESP,MF,es Atlético Madrid,25,1992,4,4,333,0,0,0,0,0,0,0,0,0,0,0
318,Aleksandar Kolarov,rs SRB,"DF,MF",it Roma,31,1985,12,12,"1,080",1,3,0,0,1,0,0.08,0.25,0.33,0.08,0.33
319,Dmitri Kombarov,ru RUS,"DF,MF",ru Spartak Moscow,30,1987,4,4,360,0,1,0,0,0,0,0,0.25,0.25,0,0.25
320,Vincent Kompany,be BEL,DF,eng Manchester City,31,1986,2,2,180,0,0,0,0,0,0,0,0,0,0,0
321,Terence Kongolo,nl NED,DF,fr Monaco,23,1994,1,1,90,0,0,0,0,0,0,0,0,0,0,0
322,Eboue Kouassi,ci CIV,MF,sco Celtic,19,1997,1,0,21,0,0,0,0,0,0,0,0,0,0,0
323,Kalidou Koulibaly,sn SEN,DF,it Napoli,26,1991,5,5,450,0,0,0,0,3,0,0,0,0,0,0
324,Leonardo Koutris,gr GRE,DF,gr Olympiacos,22,1995,5,5,450,0,0,0,0,2,0,0,0,0,0,0
325,Mateo Kova_i_,hr CRO,MF,es Real Madrid,23,1994,7,4,257,0,1,0,0,2,0,0,0.35,0.35,0,0.35
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
326,Viktor Kovalenko,ua UKR,MF,ua Shakhtar,21,1996,5,0,41,0,0,0,0,1,0,0,0,0,0,0
327,Martin Kramari_,si SVN,MF,si NK Maribor,19,1997,3,1,98,0,1,0,0,0,0,0,0.92,0.92,0,0.92
328,Michiel Kramer,nl NED,FW,nl Feyenoord,28,1988,2,1,85,0,0,0,0,1,0,0,0,0,0,0
329,Michael Krohn-Dehli,dk DEN,MF,es Sevilla,34,1983,3,2,140,0,0,0,0,0,0,0,0,0,0,0
330,Toni Kroos,de GER,MF,es Real Madrid,27,1990,12,10,952,0,1,0,0,0,0,0,0.09,0.09,0,0.09
331,Serhiy Kryvtsov,ua UKR,DF,ua Shakhtar,26,1991,1,1,45,0,0,0,0,0,0,0,0,0,0,0
332,Konstantin Kuchayev,ru RUS,"MF,FW",ru CSKA Moscow,19,1998,6,2,222,1,0,0,0,0,0,0.41,0,0.41,0.41,0.41
333,Sven Kums,be BEL,"MF,DF",be Anderlecht,29,1988,5,5,338,0,0,0,0,0,1,0,0,0,0,0
334,Layvin Kurzawa,fr FRA,DF,fr Paris S-G,24,1992,6,6,540,3,2,0,0,0,0,0.5,0.33,0.83,0.5,0.83
335,Ilya Kutepov,ru RUS,DF,ru Spartak Moscow,24,1993,3,3,270,0,0,0,0,1,0,0,0,0,0,0
336,Léo Lacroix,ch SUI,DF,ch Basel,25,1992,2,2,180,0,0,0,0,1,0,0,0,0,0,0
337,Roberto Lago,es ESP,DF,cy APOEL FC,31,1985,5,5,450,0,0,0,0,0,0,0,0,0,0,0
338,Konrad Laimer,at AUT,"DF,MF",de RB Leipzig,20,1997,1,0,11,0,0,0,0,0,0,0,0,0,0,0
339,Adam Lallana,eng ENG,FW,eng Liverpool,29,1988,2,1,149,0,0,0,0,0,0,0,0,0,0,0
340,Érik Lamela,ar ARG,MF,eng Tottenham,25,1992,2,1,105,0,0,0,0,0,0,0,0,0,0,0
341,Michael Lang,ch SUI,MF,ch Basel,26,1991,8,8,720,3,1,0,0,1,0,0.37,0.12,0.5,0.37,0.5
342,Aymeric Laporte,fr FRA,DF,eng Manchester City,23,1994,3,3,270,0,0,0,0,0,0,0,0,0,0,0
343,Sam Larsson,se SWE,FW,nl Feyenoord,24,1993,6,1,157,0,0,0,0,0,0,0,0,0,0,0
344,Miguel Layún,mx MEX,DF,pt Porto,29,1988,2,1,109,1,0,0,0,0,0,0.83,0,0.83,0.83,0.83
345,Thomas Lemar,fr FRA,MF,fr Monaco,21,1995,3,3,179,0,0,0,0,0,0,0,0,0,0,0
346,Clément Lenglet,fr FRA,DF,es Sevilla,22,1995,9,9,810,1,0,0,0,0,0,0.11,0,0.11,0.11,0.11
347,Jeremain Lens,nl NED,MF,tr Be_ikta_,29,1987,2,2,150,0,0,0,0,1,0,0,0,0,0,0
348,Robert Lewandowski,pl POL,FW,de Bayern Munich,28,1988,11,11,955,5,1,1,1,2,0,0.47,0.09,0.57,0.38,0.47
349,Stephan Lichtsteiner,ch SUI,"DF,MF",it Juventus,33,1984,2,0,102,0,1,0,0,1,0,0,0.88,0.88,0,0.88
350,Victor Lindelöf,se SWE,DF,eng Manchester Utd,23,1994,5,5,450,0,0,0,0,0,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
351,Jesse Lingard,eng ENG,"MF,FW",eng Manchester Utd,24,1992,6,3,244,0,0,0,0,2,0,0,0,0,0,0
352,Fernando Llorente,es ESP,FW,eng Tottenham,32,1985,7,2,225,1,1,0,0,0,0,0.4,0.4,0.8,0.4,0.8
353,Marcos Llorente,es ESP,MF,es Real Madrid,22,1995,1,0,21,0,0,0,0,0,0,0,0,0,0,0
354,Hugo Lloris,fr FRA,GK,eng Tottenham,30,1986,7,7,630,0,0,0,0,0,0,0,0,0,0,0
355,Giovani Lo Celso,ar ARG,MF,fr Paris S-G,21,1996,7,1,150,0,1,0,0,1,0,0,0.6,0.6,0,0.6
356,Rony Lopes,pt POR,MF,fr Monaco,21,1995,5,3,301,1,1,0,0,1,0,0.3,0.3,0.6,0.3,0.6
357,Lisandro López,ar ARG,DF,pt Benfica,27,1989,2,2,179,0,0,0,0,0,0,0,0,0,0,0
358,Vágner Love,br BRA,FW,tr Be_ikta_,33,1984,2,2,132,1,0,0,0,0,0,0.68,0,0.68,0.68,0.68
359,Dejan Lovren,hr CRO,DF,eng Liverpool,28,1989,12,12,"1,050",0,1,0,0,2,0,0,0.09,0.09,0,0.09
360,Filipe Luís,br BRA,DF,es Atlético Madrid,31,1985,6,6,540,0,0,0,0,1,0,0,0,0,0,0
361,Zé Luís,cv CPV,FW,ru Spartak Moscow,26,1991,3,2,159,2,0,0,0,0,0,1.13,0,1.13,1.13,1.13
362,Luisão,br BRA,DF,pt Benfica,36,1981,4,4,360,0,0,0,0,1,2,0,0,0,0,0
363,David Luiz,br BRA,"DF,MF",eng Chelsea,30,1987,4,4,327,1,0,0,0,1,0,0.28,0,0.28,0.28,0.28
364,Romelu Lukaku,be BEL,FW,eng Manchester Utd,24,1993,8,8,704,5,0,0,0,0,0,0.64,0,0.64,0.64,0.64
365,Mikael Lustig,se SWE,DF,sco Celtic,30,1986,6,6,463,0,0,0,0,0,0,0,0,0,0,0
366,Mahir Madatov,az AZE,"MF,FW",az Qaraba_ FK,20,1997,5,4,322,0,0,0,0,0,0,0,0,0,0,0
367,Christian Maggio,it ITA,DF,it Napoli,35,1982,4,2,233,0,0,0,0,2,0,0,0,0,0,0
368,Abdul Majeed Waris,gh GHA,MF,pt Porto,25,1991,2,1,96,0,0,0,0,0,0,0,0,0,0,0
369,Andreas Makris,cy CYP,"FW,MF",cy APOEL FC,21,1995,1,0,28,0,0,0,0,0,0,0,0,0,0,0
370,Nikola Maksimovi_,rs SRB,DF,it Napoli,25,1991,1,1,90,0,0,0,0,0,0,0,0,0,0,0
371,Tyrell Malacia,nl NED,DF,nl Feyenoord,17,1999,1,1,90,0,0,0,0,0,0,0,0,0,0,0
372,Mario Mand_uki_,hr CRO,"MF,FW",it Juventus,31,1986,6,5,457,4,0,0,0,2,0,0.79,0,0.79,0.79,0.79
373,Sadio Mané,sn SEN,FW,eng Liverpool,25,1992,11,11,940,10,2,0,0,2,0,0.96,0.19,1.15,0.96,1.15
374,Eliaquim Mangala,fr FRA,DF,eng Manchester City,26,1991,2,2,180,0,0,0,0,1,0,0,0,0,0,0
375,Kostas Manolas,gr GRE,DF,it Roma,26,1991,11,10,914,2,0,0,0,3,0,0.2,0,0.2,0.2,0.2
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
376,Iván Marcano,es ESP,DF,pt Porto,30,1987,7,7,630,1,0,0,0,0,0,0.14,0,0.14,0.14,0.14
377,Marcelo,br BRA,DF,es Real Madrid,29,1988,11,11,958,3,3,0,0,1,0,0.28,0.28,0.56,0.28,0.56
378,Claudio Marchisio,it ITA,MF,it Juventus,31,1986,1,0,19,0,0,0,0,0,0,0,0,0,0,0
379,Moussa Marega,ml MLI,"MF,FW",pt Porto,26,1991,6,6,440,0,2,0,0,0,0,0,0.41,0.41,0,0.41
380,José María Giménez,uy URU,DF,es Atlético Madrid,22,1995,4,3,272,0,0,0,0,0,0,0,0,0,0,0
381,Marko Marin,de GER,"MF,FW",gr Olympiacos,28,1989,3,1,136,0,0,0,0,0,0,0,0,0,0,0
382,Marlos,ua UKR,MF,ua Shakhtar,29,1988,8,8,668,2,2,0,0,0,0,0.27,0.27,0.54,0.27,0.54
383,Marquinhos,br BRA,DF,fr Paris S-G,23,1994,8,8,720,0,1,0,0,1,0,0,0.12,0.12,0,0.12
384,Anthony Martial,fr FRA,"MF,FW",eng Manchester Utd,21,1995,8,4,343,1,2,1,2,0,0,0.26,0.52,0.79,0,0.52
385,Javi Martínez,es ESP,"MF,DF",de Bayern Munich,28,1988,10,8,740,1,0,0,0,0,0,0.12,0,0.12,0.12,0.12
386,Gelson Martins,pt POR,MF,pt Sporting CP,22,1995,6,5,462,1,3,0,0,2,0,0.19,0.58,0.78,0.19,0.78
387,Javier Mascherano,ar ARG,DF,es Barcelona,33,1984,2,1,134,0,0,0,0,0,0,0,0,0,0,0
388,Juan Mata,es ESP,"MF,FW",eng Manchester Utd,29,1988,6,5,411,0,1,0,0,0,0,0,0.22,0.22,0,0.22
389,Jérémy Mathieu,fr FRA,DF,pt Sporting CP,33,1983,5,5,437,0,0,0,0,0,0,0,0,0,0,0
390,Nemanja Mati_,rs SRB,MF,eng Manchester Utd,28,1988,7,6,564,0,0,0,0,0,0,0,0,0,0,0
391,Joël Matip,cm CMR,DF,eng Liverpool,25,1991,6,5,465,0,0,0,0,0,0,0,0,0,0,0
392,Blaise Matuidi,fr FRA,MF,it Juventus,30,1987,9,5,494,1,0,0,0,0,0,0.18,0,0.18,0.18,0.18
393,Borja Mayoral,es ESP,FW,es Real Madrid,20,1997,4,1,141,1,0,0,0,0,0,0.64,0,0.64,0.64,0.64
394,Kylian Mbappé,fr FRA,FW,fr Paris S-G,18,1998,8,8,658,4,3,0,0,1,0,0.55,0.41,0.96,0.55,0.96
395,Kara Mbodji,sn SEN,DF,be Anderlecht,27,1989,5,4,391,0,0,0,0,0,0,0,0,0,0,0
396,Callum McGregor,sco SCO,MF,sco Celtic,24,1993,4,3,295,1,0,0,0,0,0,0.31,0,0.31,0.31,0.31
397,Scott McTominay,sco SCO,MF,eng Manchester Utd,20,1996,4,2,203,0,0,0,0,1,0,0,0,0,0,0
398,Gary Medel,cl CHI,"MF,DF",tr Be_ikta_,29,1987,8,4,431,0,0,0,0,1,0,0,0,0,0,0
399,Maksim Medvedev,az AZE,DF,az Qaraba_ FK,27,1989,6,6,521,0,0,0,0,1,0,0,0,0,0,0
400,Soualiho Meïté,fr FRA,MF,fr Monaco,23,1994,1,1,66,0,0,0,0,0,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
401,Lorenzo Melgarejo,py PAR,MF,ru Spartak Moscow,26,1990,6,1,209,1,1,0,0,0,0,0.43,0.43,0.86,0.43,0.86
402,Benjamin Mendy,fr FRA,DF,eng Manchester City,23,1994,1,1,90,0,0,0,0,0,0,0,0,0,0,0
403,Gabriel Mercado,ar ARG,DF,es Sevilla,30,1987,8,8,693,0,0,0,0,3,0,0,0,0,0,0
404,Giorgos Merkis,cy CYP,DF,cy APOEL FC,33,1984,2,2,180,0,0,0,0,0,0,0,0,0,0,0
405,Dries Mertens,be BEL,FW,it Napoli,30,1987,6,5,480,2,3,0,1,3,0,0.37,0.56,0.94,0.37,0.94
