,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
12,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,19,18,1573,1,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,1.2,1.2,2.4,0.07,0.14,0.21,0.07,0.21,Matches
13,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,27,1990,36,36,3139,2,6,0,0,8,0,0.06,0.17,0.23,0.06,0.23,2.4,2.4,2.7,0.07,0.08,0.15,0.07,0.15,Matches
14,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,21,1996,36,34,2958,9,10,0,0,7,0,0.27,0.30,0.58,0.27,0.58,9.2,9.2,7.7,0.28,0.23,0.51,0.28,0.51,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,MFDF,Chelsea,26,1990,33,33,2855,7,2,0,0,6,0,0.22,0.06,0.28,0.22,0.28,4.2,4.2,1.4,0.13,0.04,0.18,0.13,0.18,Matches
16,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,22,1994,8,6,487,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
17,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Chelsea,16,2000,1,0,11,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
18,Nordin Amrabat\Nordin-Amrabat,ma MAR,FW,Watford,30,1987,3,3,198,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.02,0.06,0.08,0.02,0.08,Matches
19,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,27,1990,21,16,1354,3,1,0,0,1,0,0.20,0.07,0.27,0.20,0.27,2.2,2.2,0.9,0.15,0.06,0.21,0.15,0.21,Matches
20,Scott Arfield\Scott-Arfield,ca CAN,FWMF,Burnley,28,1988,18,15,1333,2,1,0,0,3,0,0.14,0.07,0.20,0.14,0.20,1.5,1.5,0.5,0.10,0.03,0.13,0.10,0.13,Matches
21,Marko Arnautović\Marko-Arnautovic,at AUT,FWMF,West Ham,28,1989,31,28,2313,11,6,0,0,5,1,0.43,0.23,0.66,0.43,0.66,10.6,10.6,4.3,0.41,0.17,0.58,0.41,0.58,Matches
22,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,27,1989,13,11,960,1,0,0,0,4,0,0.09,0.00,0.09,0.09,0.09,0.6,0.6,0.2,0.06,0.02,0.08,0.06,0.08,Matches
23,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,25,1992,28,19,1784,2,2,0,0,1,0,0.10,0.10,0.20,0.10,0.20,3.2,3.2,2.5,0.16,0.13,0.29,0.16,0.29,Matches
24,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,28,1989,13,12,1057,10,4,1,2,0,0,0.85,0.34,1.19,0.77,1.11,7.9,6.3,1.1,0.67,0.09,0.76,0.54,0.63,Matches
25,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,24,1992,17,16,1429,2,2,0,0,2,2,0.13,0.13,0.25,0.13,0.25,0.7,0.7,2.5,0.04,0.16,0.20,0.04,0.20,Matches
26,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,28,1989,24,10,1037,7,0,1,1,2,0,0.61,0.00,0.61,0.52,0.52,7.8,7.1,0.2,0.69,0.02,0.71,0.62,0.64,Matches
27,André Ayew\Andre-Ayew,gh GHA,FWMF,West Ham,27,1989,18,9,895,3,2,0,1,2,0,0.30,0.20,0.50,0.30,0.50,2.6,1.8,0.3,0.26,0.03,0.29,0.19,0.21,Matches
28,André Ayew\Andre-Ayew,gh GHA,FWMF,Swansea City,27,1989,12,10,950,0,2,0,0,3,0,0.00,0.19,0.19,0.00,0.19,2.3,2.3,1.0,0.22,0.10,0.32,0.22,0.32,Matches
29,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Swansea City,25,1991,36,33,2852,7,2,1,1,2,1,0.22,0.06,0.28,0.19,0.25,6.3,5.6,1.2,0.20,0.04,0.24,0.18,0.21,Matches
30,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,27,1989,37,37,3330,2,6,0,0,1,0,0.05,0.16,0.22,0.05,0.22,1.3,1.3,3.4,0.04,0.09,0.13,0.04,0.13,Matches
31,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,23,1994,13,11,1001,1,0,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.0,1.0,0.2,0.09,0.02,0.11,0.09,0.11,Matches
32,Leighton Baines\Leighton-Baines,eng ENG,DFMF,Everton,32,1984,22,22,1909,2,3,2,2,1,0,0.09,0.14,0.24,0.00,0.14,1.9,0.4,2.2,0.09,0.10,0.19,0.02,0.12,Matches
33,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Chelsea,22,1994,29,24,2126,2,2,0,0,4,2,0.08,0.08,0.17,0.08,0.17,3.2,3.2,0.6,0.14,0.02,0.16,0.14,0.16,Matches
34,Sam Baldock\Sam-Baldock,eng ENG,FWMF,Brighton,28,1989,2,0,32,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
35,Beni Baningime\Beni-Baningime,cd COD,MF,Everton,18,1998,8,1,198,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
36,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,32,1985,13,13,1125,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.7,0.00,0.05,0.06,0.00,0.06,Matches
37,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,23,1993,2,2,129,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.37,0.07,0.44,0.37,0.44,Matches
38,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,27,1989,36,21,2165,9,0,0,0,10,0,0.37,0.00,0.37,0.37,0.37,6.7,6.7,1.6,0.28,0.07,0.35,0.28,0.35,Matches
39,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,19,1997,3,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,1.92,0.00,1.92,1.92,1.92,Matches
40,Gareth Barry\Gareth-Barry,eng ENG,MF,West Brom,36,1981,25,22,1923,1,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,1.1,1.1,1.9,0.05,0.09,0.14,0.05,0.14,Matches
41,Kyle Bartley\Kyle-Bartley,eng ENG,DF,Swansea City,26,1991,5,2,235,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.10,0.09,0.20,0.10,0.20,Matches
42,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,23,1993,12,3,360,2,1,0,0,0,0,0.50,0.25,0.75,0.50,0.75,1.1,1.1,0.1,0.27,0.04,0.31,0.27,0.31,Matches
43,Moritz Bauer\Moritz-Bauer,at AUT,DFMF,Stoke City,25,1992,15,15,1306,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,0.02,0.06,0.08,0.02,0.08,Matches
44,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,21,1996,5,5,426,1,0,0,0,1,0,0.21,0.00,0.21,0.21,0.21,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,Matches
45,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,30,1987,38,38,3420,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
46,Héctor Bellerín\Hector-Bellerin,es ESP,DFMF,Arsenal,22,1995,35,34,3051,2,3,0,0,5,0,0.06,0.09,0.15,0.06,0.15,2.2,2.2,3.4,0.06,0.10,0.16,0.06,0.16,Matches
47,Yohan Benalouane\Yohan-Benalouane,tn TUN,DF,Leicester City,30,1987,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.08,0.00,0.08,0.08,0.08,Matches
48,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,26,1990,31,24,2240,3,5,1,2,6,0,0.12,0.20,0.32,0.08,0.28,9.5,8.0,3.1,0.38,0.13,0.51,0.32,0.45,Matches
49,Saido Berahino\Saido-Berahino,bi BDI,FWMF,Stoke City,23,1993,15,3,494,0,1,0,1,0,0,0.00,0.18,0.18,0.00,0.18,2.2,1.5,0.6,0.41,0.11,0.52,0.27,0.38,Matches
50,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,26,1990,35,32,2833,2,8,0,0,2,0,0.06,0.25,0.32,0.06,0.32,3.7,3.7,4.8,0.12,0.15,0.27,0.12,0.27,Matches
51,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,27,1989,35,35,3135,0,4,0,0,2,0,0.00,0.11,0.11,0.00,0.11,1.7,1.7,2.7,0.05,0.08,0.13,0.05,0.13,Matches
52,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Everton,24,1992,2,0,46,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.07,0.07,0.00,0.07,Matches
53,Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,21,1996,16,8,764,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.02,0.04,0.06,0.02,0.06,Matches
54,Mame Biram Diouf\Mame-Biram-Diouf,sn SEN,FWMF,Stoke City,29,1987,35,30,2596,7,2,0,0,6,0,0.24,0.07,0.31,0.24,0.31,7.3,7.3,1.0,0.25,0.04,0.29,0.25,0.29,Matches
55,Daley Blind\Daley-Blind,nl NED,DFMF,Manchester Utd,27,1990,7,4,362,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.03,0.14,0.18,0.03,0.18,Matches
56,Jeremie Boga\Jeremie-Boga,ci CIV,MF,Chelsea,20,1997,1,1,17,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
57,Yannick Bolasie\Yannick-Bolasie,cd COD,MFFW,Everton,28,1989,16,11,851,1,0,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.4,1.4,0.4,0.15,0.04,0.19,0.15,0.19,Matches
58,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,29,1988,25,25,2236,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,0.02,0.03,0.04,0.02,0.04,Matches
59,Wilfried Bony\Wilfried-Bony,ci CIV,FW,Swansea City,28,1988,15,8,707,2,0,0,0,2,0,0.25,0.00,0.25,0.25,0.25,1.6,1.6,0.2,0.21,0.02,0.23,0.21,0.23,Matches
60,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,23,1993,26,11,1219,2,2,0,0,1,0,0.15,0.15,0.30,0.15,0.30,1.4,1.4,1.4,0.10,0.10,0.21,0.10,0.21,Matches
61,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,25,1992,15,15,1277,1,2,0,0,3,0,0.07,0.14,0.21,0.07,0.21,1.3,1.3,2.1,0.09,0.15,0.24,0.09,0.24,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,34,1983,3,2,226,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
63,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,32,1985,12,10,797,1,0,0,0,3,1,0.11,0.00,0.11,0.11,0.11,0.8,0.8,0.7,0.09,0.07,0.17,0.09,0.17,Matches
64,Leon Britton\Leon-Britton,eng ENG,MF,Swansea City,34,1982,5,4,302,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
65,Izzy Brown\Izzy-Brown,eng ENG,MFFW,Brighton,20,1997,13,4,311,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.04,0.20,0.24,0.04,0.24,Matches
66,Bruno\Bruno,es ESP,DF,Brighton,36,1980,25,23,2016,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.2,0.00,0.05,0.06,0.00,0.06,Matches
67,Chris Brunt\Chris-Brunt,nir NIR,MFDF,West Brom,32,1984,26,22,1920,0,7,0,0,5,0,0.00,0.33,0.33,0.00,0.33,1.7,1.7,3.3,0.08,0.15,0.23,0.08,0.23,Matches
68,Oliver Burke\Oliver-Burke,sco SCO,FWMF,West Brom,20,1997,15,2,367,0,2,0,0,0,0,0.00,0.49,0.49,0.00,0.49,0.5,0.5,0.3,0.12,0.09,0.21,0.12,0.21,Matches
69,Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,24,1993,35,35,3150,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
70,Sam Byram\Sam-Byram,eng ENG,DFMF,West Ham,23,1993,5,2,248,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.12,0.05,0.18,0.12,0.18,Matches
71,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,35,1981,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
72,Yohan Cabaye\Yohan-Cabaye,fr FRA,MF,Crystal Palace,31,1986,31,28,2376,0,1,0,0,7,0,0.00,0.04,0.04,0.00,0.04,2.4,2.4,3.4,0.09,0.13,0.22,0.09,0.22,Matches
73,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,31,1985,27,24,2086,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.02,0.00,0.02,0.02,0.02,Matches
74,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FWMF,Everton,20,1997,32,18,1882,4,6,0,0,4,0,0.19,0.29,0.48,0.19,0.48,4.7,4.7,1.7,0.23,0.08,0.31,0.23,0.31,Matches
75,Geoff Cameron\Geoff-Cameron,us USA,MFDF,Stoke City,32,1985,20,17,1525,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.02,0.01,0.03,0.02,0.03,Matches
76,Tyrese Campbell\Tyrese-Campbell,eng ENG,FWMF,Stoke City,17,1999,4,0,79,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.19,0.00,0.19,0.19,0.19,Matches
77,Emre Can\Emre-Can,de GER,MF,Liverpool,23,1994,26,24,2091,3,4,0,0,8,0,0.13,0.17,0.30,0.13,0.30,1.8,1.8,3.2,0.08,0.14,0.21,0.08,0.21,Matches
78,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,29,1988,23,18,1542,1,0,0,0,3,0,0.06,0.00,0.06,0.06,0.06,1.2,1.2,0.8,0.07,0.05,0.12,0.07,0.12,Matches
79,Michael Carrick\Michael-Carrick,eng ENG,MF,Manchester Utd,36,1981,2,1,109,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.17,0.04,0.22,0.17,0.22,Matches
80,André Carrillo\Andre-Carrillo,pe PER,FWMF,Watford,26,1991,28,16,1540,1,2,0,0,2,0,0.06,0.12,0.18,0.06,0.18,2.3,2.3,2.3,0.13,0.14,0.27,0.13,0.27,Matches
81,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Southampton,26,1991,7,5,450,0,1,0,0,0,0,0.00,0.20,0.20,0.00,0.20,0.6,0.6,0.8,0.12,0.16,0.28,0.12,0.28,Matches
82,Andy Carroll\Andy-Carroll,eng ENG,FWMF,West Ham,28,1989,16,7,751,3,0,0,0,6,2,0.36,0.00,0.36,0.36,0.36,1.3,1.3,0.2,0.16,0.03,0.19,0.16,0.19,Matches
83,Tom Carroll\Tom-Carroll,eng ENG,MF,Swansea City,25,1992,37,28,2570,0,4,0,0,3,0,0.00,0.14,0.14,0.00,0.14,1.0,1.0,3.6,0.04,0.13,0.16,0.04,0.16,Matches
84,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,28,1989,7,5,523,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.04,0.01,0.05,0.04,0.05,Matches
85,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,35,1982,34,34,3039,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
86,Nacer Chadli\Nacer-Chadli,be BEL,FWMF,West Brom,27,1989,5,2,260,1,0,0,0,1,0,0.35,0.00,0.35,0.35,0.35,0.2,0.2,0.1,0.09,0.04,0.13,0.09,0.13,Matches
87,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,22,1994,6,5,447,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.17,0.01,0.17,0.17,0.17,Matches
88,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,22,1995,12,10,866,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.0,0.11,0.00,0.11,0.11,0.11,Matches
89,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,20,1996,24,20,1853,0,2,0,0,2,2,0.00,0.10,0.10,0.00,0.10,0.1,0.1,1.8,0.01,0.09,0.09,0.01,0.09,Matches
90,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,19,1997,8,4,378,0,1,0,0,1,0,0.00,0.24,0.24,0.00,0.24,0.0,0.0,0.2,0.01,0.04,0.06,0.01,0.06,Matches
91,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,21,1996,27,23,2086,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.2,0.06,0.01,0.07,0.06,0.07,Matches
92,Lee Chung-yong\Lee-Chung-yong,kr KOR,FWMF,Crystal Palace,29,1988,7,1,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.07,0.07,0.00,0.07,Matches
93,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,27,1989,20,19,1746,2,1,0,0,3,0,0.10,0.05,0.15,0.10,0.15,1.9,1.9,0.5,0.10,0.02,0.12,0.10,0.12,Matches
94,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,27,1989,23,22,1902,1,2,0,1,2,2,0.05,0.09,0.14,0.05,0.14,1.8,1.0,1.0,0.09,0.05,0.13,0.05,0.10,Matches
95,Sam Clucas\Sam-Clucas,eng ENG,MF,Swansea City,26,1990,29,23,2044,3,1,0,0,2,0,0.13,0.04,0.18,0.13,0.18,2.0,2.0,1.1,0.09,0.05,0.14,0.09,0.14,Matches
96,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DFMF,Liverpool,26,1991,3,2,174,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.10,0.10,0.00,0.10,Matches
97,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,28,1988,12,12,1035,0,1,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.9,0.9,0.4,0.07,0.03,0.11,0.07,0.11,Matches
98,James Collins\James-Collins,wal WAL,DF,West Ham,33,1983,13,12,1050,1,0,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.4,0.4,0.5,0.03,0.05,0.08,0.03,0.08,Matches
99,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,20,1997,29,25,2237,0,2,0,0,5,0,0.00,0.08,0.08,0.00,0.08,0.6,0.6,1.5,0.02,0.06,0.08,0.02,0.08,Matches
100,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,26,1991,34,31,2767,2,1,0,0,5,0,0.07,0.03,0.10,0.07,0.10,2.3,2.3,0.4,0.08,0.01,0.09,0.08,0.09,Matches
101,Francis Coquelin\Francis-Coquelin,fr FRA,MFDF,Arsenal,26,1991,7,1,169,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.03,0.13,0.16,0.03,0.16,Matches
102,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,28,1989,38,38,3420,2,1,0,0,7,0,0.05,0.03,0.08,0.05,0.08,2.0,2.0,0.9,0.05,0.02,0.08,0.05,0.08,Matches
103,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Chelsea,25,1992,35,35,3150,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
104,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Liverpool,25,1992,14,13,1109,7,6,0,0,0,0,0.57,0.49,1.06,0.57,1.06,2.6,2.6,4.6,0.21,0.37,0.58,0.21,0.58,Matches
105,Martin Cranie\Martin-Cranie,eng ENG,DFMF,Huddersfield,30,1986,3,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
106,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,27,1989,36,35,3069,1,3,0,0,7,0,0.03,0.09,0.12,0.03,0.12,0.7,0.7,2.9,0.02,0.08,0.10,0.02,0.10,Matches
107,Peter Crouch\Peter-Crouch,eng ENG,FW,Stoke City,36,1981,31,14,1567,5,2,0,0,4,0,0.29,0.11,0.40,0.29,0.40,4.1,4.1,2.8,0.24,0.16,0.40,0.24,0.40,Matches
108,Josh Cullen\Josh-Cullen,ie IRL,FWMF,West Ham,21,1996,2,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
109,Charlie Daniels\Charlie-Daniels,eng ENG,DFMF,Bournemouth,30,1986,35,34,3002,1,3,0,0,0,0,0.03,0.09,0.12,0.03,0.12,0.5,0.5,2.2,0.02,0.07,0.08,0.02,0.08,Matches
110,Danilo\Danilo,br BRA,DF,Manchester City,26,1991,23,13,1349,3,2,0,0,2,0,0.20,0.13,0.33,0.20,0.33,0.8,0.8,0.3,0.06,0.02,0.08,0.06,0.08,Matches
111,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,30,1987,17,16,1435,1,0,0,0,4,0,0.06,0.00,0.06,0.06,0.06,2.0,2.0,0.2,0.12,0.01,0.14,0.12,0.14,Matches
112,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,26,1990,10,10,900,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
113,Matteo Darmian\Matteo-Darmian,it ITA,DF,Manchester Utd,27,1989,8,5,444,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches
114,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,24,1993,29,26,2324,2,6,0,0,3,0,0.08,0.23,0.31,0.08,0.31,1.2,1.2,3.1,0.05,0.12,0.17,0.05,0.17,Matches
115,Tom Davies\Tom-Davies,eng ENG,MF,Everton,19,1998,33,20,1900,2,1,0,0,7,0,0.09,0.05,0.14,0.09,0.14,1.4,1.4,0.7,0.07,0.03,0.10,0.07,0.10,Matches
116,Steven Davis\Steven-Davis,nir NIR,MF,Southampton,32,1985,23,17,1521,3,0,0,0,0,0,0.18,0.00,0.18,0.18,0.18,0.8,0.8,1.1,0.05,0.07,0.11,0.05,0.11,Matches
117,Craig Dawson\Craig-Dawson,eng ENG,DF,West Brom,27,1990,28,28,2510,2,0,0,0,6,0,0.07,0.00,0.07,0.07,0.07,2.0,2.0,1.2,0.07,0.04,0.12,0.07,0.12,Matches
