,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,26,1990,28,25,2184,5,1,0,0,7,0,0.21,0.04,0.25,0.21,0.25,3.4,3.4,1.7,0.14,0.07,0.21,0.14,0.21,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,MFFW,Newcastle Utd,21,1995,4,1,139,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.12,0.00,0.12,0.12,0.12,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,19,1997,31,15,1726,6,1,0,0,0,0,0.31,0.05,0.37,0.31,0.37,6.4,6.4,0.8,0.33,0.04,0.38,0.33,0.38,Matches
4,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,31,1985,11,5,411,0,0,0,1,2,1,0.00,0.00,0.00,0.00,0.00,1.4,0.6,1.4,0.30,0.32,0.62,0.13,0.45,Matches
5,Adrián\Adrian,es ESP,GK,West Ham,30,1987,19,19,1710,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,31,1986,6,1,166,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
7,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,24,1993,17,5,611,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.0,0.31,0.01,0.31,0.31,0.31,Matches
8,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,29,1988,25,22,1963,21,6,4,4,2,0,0.96,0.28,1.24,0.78,1.05,17.3,14.3,6.2,0.79,0.28,1.07,0.65,0.93,Matches
9,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,22,1995,38,37,3353,2,3,0,0,5,0,0.05,0.08,0.13,0.05,0.13,2.1,2.1,1.8,0.06,0.05,0.10,0.06,0.10,Matches
10,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,27,1989,34,30,2538,2,7,0,0,5,1,0.07,0.25,0.32,0.07,0.32,1.5,1.5,4.4,0.05,0.16,0.21,0.05,0.21,Matches
11,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,28,1989,14,13,1178,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.04,0.02,0.06,0.04,0.06,Matches
