Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Patrick van Aanholt,DF,Crystal Palace,20,20,1714.0,3,0,1,1,0,0,0.16,0.0,0.16,0.11,0.11,1.8,1.0,1.6,0.09,0.08,0.18,0.05,0.14
Max Aarons,DF,Norwich City,25,25,2250.0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,3.4,0.02,0.14,0.16,0.02,0.16
Tammy Abraham,FW,Chelsea,25,23,1945.0,13,3,0,0,2,0,0.6,0.14,0.74,0.6,0.74,12.2,12.2,2.3,0.56,0.11,0.67,0.56,0.67
Che Adams,FW,Southampton,21,8,712.0,0,2,0,0,0,0,0.0,0.25,0.25,0.0,0.25,1.9,1.9,0.9,0.24,0.11,0.35,0.24,0.35
Sergio Agüero,FW,Manchester City,21,16,1342.0,16,3,2,3,1,0,1.07,0.2,1.27,0.94,1.14,13.3,11.0,2.5,0.89,0.17,1.06,0.74,0.91
Albian Ajeti,MF,West Ham,8,0,127.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.08,0.04,0.12,0.08,0.12
Nathan Aké,DF,Bournemouth,21,21,1835.0,2,1,0,0,1,0,0.1,0.05,0.15,0.1,0.15,2.2,2.2,0.6,0.11,0.03,0.14,0.11,0.14
Marc Albrighton,MF,Leicester City,12,2,375.0,0,1,0,0,1,0,0.0,0.24,0.24,0.0,0.24,0.2,0.2,0.9,0.06,0.2,0.26,0.06,0.26
Toby Alderweireld,DF,Tottenham,26,26,2328.0,1,2,0,0,4,0,0.04,0.08,0.12,0.04,0.12,0.7,0.7,0.9,0.03,0.04,0.06,0.03,0.06
Trent Alexander-Arnold,DF,Liverpool,27,26,2370.0,2,12,0,0,4,0,0.08,0.46,0.53,0.08,0.53,2.1,2.1,8.5,0.08,0.32,0.4,0.08,0.4
Dele Alli,MF,Tottenham,20,18,1584.0,7,3,0,0,2,0,0.4,0.17,0.57,0.4,0.57,5.4,5.4,2.2,0.31,0.12,0.43,0.31,0.43
Miguel Almirón,FW,Newcastle Utd,26,26,2200.0,2,1,0,0,5,0,0.08,0.04,0.12,0.08,0.12,4.4,4.4,0.6,0.18,0.03,0.2,0.18,0.2
Marcos Alonso,DF,Chelsea,9,7,678.0,2,2,0,0,3,0,0.27,0.27,0.53,0.27,0.53,0.6,0.6,0.9,0.08,0.12,0.2,0.08,0.2
Steven Alzate,MF,Brighton,18,12,1175.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.7,0.09,0.05,0.14,0.09,0.14
Ibrahim Amadou,DF,Norwich City,11,8,756.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.12,0.01,0.13,0.12,0.13
Felipe Anderson,MF,West Ham,20,19,1412.0,1,4,0,0,1,0,0.06,0.25,0.32,0.06,0.32,2.5,2.5,2.9,0.16,0.18,0.34,0.16,0.34
Florin Andone,MF,Brighton,3,1,71.0,1,0,0,0,0,1,1.27,0.0,1.27,1.27,1.27,0.2,0.2,0.0,0.19,0.05,0.24,0.19,0.24
Angeliño,DF,Manchester City,6,4,422.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.2,0.05,0.25,0.3,0.05,0.3
Michail Antonio,FW,West Ham,13,8,850.0,1,1,0,0,0,0,0.11,0.11,0.21,0.11,0.21,3.1,3.1,1.2,0.33,0.13,0.46,0.33,0.46
Stuart Armstrong,MF,Southampton,20,11,1050.0,3,0,0,0,3,0,0.26,0.0,0.26,0.26,0.26,1.9,1.9,0.9,0.16,0.07,0.24,0.16,0.24
Christian Atsu,FW,Newcastle Utd,18,6,733.0,0,3,0,0,2,0,0.0,0.37,0.37,0.0,0.37,0.2,0.2,1.0,0.03,0.12,0.14,0.03,0.14
Pierre-Emerick Aubameyang,FW,Arsenal,25,25,2214.0,17,1,1,1,3,1,0.69,0.04,0.73,0.65,0.69,11.2,10.5,1.8,0.46,0.07,0.53,0.43,0.5
Serge Aurier,DF,Tottenham,22,21,1820.0,0,4,0,0,3,1,0.0,0.2,0.2,0.0,0.2,0.4,0.4,2.3,0.02,0.11,0.13,0.02,0.13
Jordan Ayew,FW,Crystal Palace,26,26,2213.0,6,1,0,0,4,0,0.24,0.04,0.28,0.24,0.28,5.3,5.3,1.6,0.22,0.06,0.28,0.22,0.28
César Azpilicueta,DF,Chelsea,25,25,2240.0,2,3,0,0,0,0,0.08,0.12,0.2,0.08,0.2,2.1,2.1,4.1,0.08,0.16,0.25,0.08,0.25
Eric Bailly,DF,Manchester Utd,1,1,90.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leighton Baines,DF,Everton,4,2,243.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.02,0.06,0.08,0.02,0.08
Fabián Balbuena,DF,West Ham,13,12,1080.0,1,0,0,0,2,0,0.08,0.0,0.08,0.08,0.08,1.7,1.7,0.0,0.14,0.0,0.14,0.14,0.14
George Baldock,DF,Sheffield Utd,27,27,2430.0,2,3,0,0,6,0,0.07,0.11,0.19,0.07,0.19,0.5,0.5,1.8,0.02,0.07,0.09,0.02,0.09
Phil Bardsley,DF,Burnley,12,12,1080.0,0,1,0,0,3,0,0.0,0.08,0.08,0.0,0.08,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04
Ross Barkley,MF,Chelsea,11,7,559.0,0,1,0,0,0,0,0.0,0.16,0.16,0.0,0.16,1.6,1.6,1.1,0.26,0.18,0.44,0.26,0.44
Ashley Barnes,FW,Burnley,19,17,1361.0,6,0,1,1,4,0,0.4,0.0,0.4,0.33,0.33,5.4,4.6,0.5,0.35,0.03,0.39,0.3,0.34
Harvey Barnes,MF,Leicester City,25,18,1539.0,4,6,0,0,0,0,0.23,0.35,0.58,0.23,0.58,6.1,6.1,2.2,0.36,0.13,0.48,0.36,0.48
