,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
113,Mousa Dembélé\Mousa-Dembele,be BEL,MF,Tottenham,31,1987,10,7,516,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
114,Leander Dendoncker\Leander-Dendoncker,be BEL,MF,Wolves,23,1995,19,17,1469,2,0,0,0,1,0,0.12,0.00,0.12,0.12,0.12,2.6,2.6,1.1,0.16,0.07,0.23,0.16,0.23,Matches
115,Laurent Depoitre\Laurent-Depoitre,be BEL,FW,Huddersfield,29,1988,23,10,1061,0,1,0,0,1,0,0.00,0.08,0.08,0.00,0.08,3.7,3.7,0.6,0.31,0.05,0.36,0.31,0.36,Matches
116,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,24,1994,30,26,2081,10,5,0,0,3,0,0.43,0.22,0.65,0.43,0.65,8.5,8.5,4.6,0.37,0.20,0.56,0.37,0.56,Matches
117,Fousseni Diabaté\Fousseni-Diabate,ml MLI,FW,Leicester City,22,1995,1,1,55,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.14,0.14,0.00,0.14,Matches
118,Adama Diakhaby\Adama-Diakhaby,fr FRA,FWMF,Huddersfield,22,1996,12,6,551,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.4,0.13,0.07,0.20,0.13,0.20,Matches
119,Mohamed Diamé\Mohamed-Diame,sn SEN,MF,Newcastle Utd,31,1987,29,24,2166,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
120,Grady Diangana\Grady-Diangana,eng ENG,FWMF,West Ham,20,1998,17,6,604,0,1,0,0,0,0,0.00,0.15,0.15,0.00,0.15,0.6,0.6,1.2,0.08,0.17,0.26,0.08,0.26,Matches
121,Eric Dier\Eric-Dier,eng ENG,MF,Tottenham,24,1994,20,18,1509,3,0,0,0,4,0,0.18,0.00,0.18,0.18,0.18,1.6,1.6,0.9,0.10,0.05,0.15,0.10,0.15,Matches
122,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,25,1993,35,33,2965,4,4,0,0,5,1,0.12,0.12,0.24,0.12,0.24,1.2,1.2,6.0,0.04,0.18,0.22,0.04,0.22,Matches
123,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,27,1991,38,38,3385,4,2,0,0,1,0,0.11,0.05,0.16,0.11,0.16,3.1,3.1,1.1,0.08,0.03,0.11,0.08,0.11,Matches
124,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,21,1997,33,33,2970,1,0,0,0,4,0,0.03,0.00,0.03,0.03,0.03,1.4,1.4,0.1,0.04,0.00,0.05,0.04,0.05,Matches
125,Matt Doherty\Matt-Doherty,ie IRL,DFMF,Wolves,26,1992,38,35,3147,4,5,0,0,5,0,0.11,0.14,0.26,0.11,0.26,5.5,5.5,4.6,0.16,0.13,0.29,0.16,0.29,Matches
126,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,25,1993,35,34,3062,5,6,0,0,7,0,0.15,0.18,0.32,0.15,0.32,5.5,5.5,4.0,0.16,0.12,0.28,0.16,0.28,Matches
127,Luke Dreher\Luke-Dreher,eng ENG,MF,Crystal Palace,19,1998,1,0,,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,,,,,,Matches
128,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,29,1989,38,38,3420,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
129,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,26,1992,35,35,3087,5,1,0,0,4,1,0.15,0.03,0.17,0.15,0.17,2.9,2.9,0.3,0.08,0.01,0.09,0.08,0.09,Matches
130,Demeaco Duhaney\Demeaco-Duhaney,eng ENG,DF,Huddersfield,19,1998,1,1,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
131,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,26,1991,26,21,1987,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,0.01,0.03,0.04,0.01,0.04,Matches
132,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,26,1991,36,36,3152,2,1,0,0,6,1,0.06,0.03,0.09,0.06,0.09,1.4,1.4,0.7,0.04,0.02,0.06,0.04,0.06,Matches
133,Erik Durm\Erik-Durm,de GER,DF,Huddersfield,26,1992,28,21,2051,0,1,0,0,0,0,0.00,0.04,0.04,0.00,0.04,0.3,0.3,0.9,0.01,0.04,0.05,0.01,0.05,Matches
134,Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Cardiff City,30,1988,38,37,3375,0,1,0,0,0,0,0.00,0.03,0.03,0.00,0.03,1.0,1.0,0.4,0.03,0.01,0.04,0.03,0.04,Matches
135,Ederson\Ederson,br BRA,GK,Manchester City,24,1993,38,38,3420,0,1,0,0,2,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.3,0.00,0.01,0.01,0.00,0.01,Matches
136,Harvey Elliot\Harvey-Elliot,eng ENG,MF,Fulham,,,2,0,18,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.34,0.00,0.34,0.34,0.34,Matches
137,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,26,1992,8,5,379,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.12,0.03,0.15,0.12,0.15,Matches
138,Mohamed Elyounoussi\Mohamed-Elyounoussi,no NOR,MFFW,Southampton,23,1994,16,8,790,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.9,0.21,0.10,0.31,0.21,0.31,Matches
139,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,26,1992,35,30,2772,8,12,0,0,3,0,0.26,0.39,0.65,0.26,0.65,5.2,5.2,6.8,0.17,0.22,0.39,0.17,0.39,Matches
140,Neil Etheridge\Neil-Etheridge,ph PHI,GK,Cardiff City,28,1990,38,38,3420,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.00,0.00,0.00,0.00,Matches
141,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,30,1988,24,21,1995,1,0,0,0,2,0,0.05,0.00,0.05,0.05,0.05,0.9,0.9,0.2,0.04,0.01,0.05,0.04,0.05,Matches
142,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,33,1985,38,38,3420,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.00,0.00,0.00,0.00,Matches
143,Fabinho\Fabinho,br BRA,MF,Liverpool,24,1993,28,21,2013,1,2,0,0,6,0,0.04,0.09,0.13,0.04,0.13,0.9,0.9,1.3,0.04,0.06,0.10,0.04,0.10,Matches
144,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Chelsea,31,1987,6,1,175,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.04,0.17,0.21,0.04,0.21,Matches
145,Fabricio\Fabricio,es ESP,GK,Fulham,30,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
146,Marouane Fellaini\Marouane-Fellaini,be BEL,MF,Manchester Utd,30,1987,14,6,746,0,1,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.5,0.5,0.1,0.06,0.01,0.07,0.06,0.07,Matches
147,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,27,1991,29,22,2046,1,1,0,0,1,0,0.04,0.04,0.09,0.04,0.09,0.4,0.4,2.0,0.02,0.09,0.11,0.02,0.11,Matches
148,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,29,1989,19,17,1482,0,1,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,0.3,0.01,0.02,0.03,0.01,0.03,Matches
149,Fernandinho\Fernandinho,br BRA,MF,Manchester City,33,1985,29,27,2381,1,3,0,0,5,0,0.04,0.11,0.15,0.04,0.15,2.0,2.0,2.7,0.07,0.10,0.18,0.07,0.18,Matches
150,Roberto Firmino\Roberto-Firmino,br BRA,FWMF,Liverpool,26,1991,34,31,2620,12,6,1,1,0,0,0.41,0.21,0.62,0.38,0.58,12.5,11.7,5.9,0.43,0.20,0.63,0.40,0.61,Matches
151,Phil Foden\Phil-Foden,eng ENG,MF,Manchester City,18,2000,13,3,327,1,0,0,0,0,0,0.28,0.00,0.28,0.28,0.28,2.5,2.5,0.6,0.69,0.17,0.86,0.69,0.86,Matches
152,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,30,1988,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
153,Ben Foster\Ben-Foster,eng ENG,GK,Watford,35,1983,38,38,3420,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.00,0.01,0.01,0.00,0.01,Matches
154,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Fulham,20,1998,12,10,794,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.01,0.05,0.05,0.01,0.05,Matches
155,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,20,1998,12,10,888,1,0,0,0,3,1,0.10,0.00,0.10,0.10,0.10,0.6,0.6,0.3,0.06,0.03,0.09,0.06,0.09,Matches
156,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,33,1985,17,13,1227,0,2,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.1,0.1,1.0,0.01,0.07,0.08,0.01,0.08,Matches
157,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,24,1994,38,35,3173,7,14,0,0,2,0,0.20,0.40,0.60,0.20,0.60,4.7,4.7,12.2,0.13,0.35,0.48,0.13,0.48,Matches
158,Fred\Fred,br BRA,MF,Manchester Utd,25,1993,17,13,1044,1,1,0,0,2,0,0.09,0.09,0.17,0.09,0.17,0.9,0.9,0.9,0.07,0.08,0.15,0.07,0.15,Matches
159,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,25,1992,15,12,1086,1,0,0,0,5,0,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.2,0.04,0.02,0.06,0.04,0.06,Matches
160,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,32,1986,3,2,206,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.02,0.12,0.14,0.02,0.14,Matches
161,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FWMF,Southampton,26,1991,12,4,470,1,0,0,0,0,0,0.19,0.00,0.19,0.19,0.19,1.8,1.8,0.2,0.34,0.04,0.38,0.34,0.38,Matches
162,Sam Gallagher\Sam-Gallagher,eng ENG,FW,Southampton,22,1995,4,0,30,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
163,Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,Everton,28,1989,33,32,2825,0,2,0,0,6,0,0.00,0.06,0.06,0.00,0.06,0.7,0.7,1.1,0.02,0.03,0.06,0.02,0.06,Matches
164,James Garner\James-Garner,eng ENG,MF,Manchester Utd,17,2001,1,0,,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,,,,,,Matches
165,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,26,1992,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
166,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,27,1990,38,38,3420,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
167,Rachid Ghezzal\Rachid-Ghezzal,dz ALG,FWMF,Leicester City,26,1992,19,8,735,1,0,0,0,3,0,0.12,0.00,0.12,0.12,0.12,1.1,1.1,1.8,0.14,0.22,0.36,0.14,0.36,Matches
168,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,18,2000,26,5,648,0,1,0,0,1,0,0.00,0.14,0.14,0.00,0.14,0.8,0.8,1.4,0.12,0.19,0.31,0.12,0.31,Matches
169,Ben Gibson\Ben-Gibson,eng ENG,DF,Burnley,25,1993,1,1,63,1,0,0,0,1,0,1.43,0.00,1.43,1.43,1.43,0.5,0.5,0.0,0.77,0.00,0.77,0.77,0.77,Matches
170,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,31,1986,27,7,832,2,4,0,0,1,0,0.22,0.43,0.65,0.22,0.65,4.0,4.0,2.0,0.43,0.22,0.65,0.43,0.65,Matches
171,André Gomes\Andre-Gomes,pt POR,MF,Everton,25,1993,27,24,1986,1,1,0,0,7,0,0.05,0.05,0.09,0.05,0.09,1.5,1.5,0.6,0.07,0.03,0.10,0.07,0.10,Matches
172,Angel Gomes\Angel-Gomes,eng ENG,MFFW,Manchester Utd,17,2000,2,0,25,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.38,0.00,0.38,0.38,0.38,Matches
173,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,21,1997,16,12,1060,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.01,0.03,0.05,0.01,0.05,Matches
174,Jon Gorenc Stanković\Jon-Gorenc-Stankovic,si SVN,MFDF,Huddersfield,22,1996,11,9,717,1,0,0,0,2,0,0.13,0.00,0.13,0.13,0.13,1.1,1.1,0.2,0.14,0.02,0.16,0.14,0.16,Matches
175,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,28,1990,25,19,1738,2,1,0,0,8,0,0.10,0.05,0.16,0.10,0.16,1.5,1.5,1.1,0.08,0.06,0.14,0.08,0.14,Matches
176,Karlan Grant\Karlan-Grant,eng ENG,FWMF,Huddersfield,20,1997,13,9,874,3,0,0,0,0,0,0.31,0.00,0.31,0.31,0.31,2.8,2.8,0.4,0.29,0.04,0.33,0.29,0.33,Matches
177,Andre Gray\Andre-Gray,eng ENG,FW,Watford,27,1991,29,13,1360,7,2,0,0,2,0,0.46,0.13,0.60,0.46,0.60,6.2,6.2,1.4,0.41,0.09,0.50,0.41,0.50,Matches
178,Demarai Gray\Demarai-Gray,eng ENG,FWMF,Leicester City,22,1996,34,23,1995,4,1,0,0,2,0,0.18,0.05,0.23,0.18,0.23,4.1,4.1,0.7,0.18,0.03,0.22,0.18,0.22,Matches
179,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,16,2001,3,1,115,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.64,0.11,0.75,0.64,0.75,Matches
180,Pascal Groß\Pascal-Gross,de GER,MF,Brighton,27,1991,25,24,1878,3,3,1,2,1,0,0.14,0.14,0.29,0.10,0.24,3.7,2.2,4.8,0.18,0.23,0.41,0.11,0.34,Matches
181,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,31,1987,20,20,1755,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
182,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,19,1999,33,23,2142,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,2.0,0.02,0.08,0.10,0.02,0.10,Matches
183,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,27,1990,31,23,2135,6,3,0,0,3,0,0.25,0.13,0.38,0.25,0.38,3.6,3.6,4.0,0.15,0.17,0.32,0.15,0.32,Matches
184,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,22,1996,12,12,1080,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
185,Aron Gunnarsson\Aron-Gunnarsson,is ISL,MF,Cardiff City,29,1989,28,27,2274,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,1.3,1.3,1.4,0.05,0.06,0.11,0.05,0.11,Matches
186,Florent Hadergjonaj\Florent-Hadergjonaj,xk KVX,DFMF,Huddersfield,24,1994,24,19,1840,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.6,0.02,0.08,0.10,0.02,0.10,Matches
187,Ben Hamer\Ben-Hamer,eng ENG,GK,Huddersfield,30,1987,7,7,553,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
188,Kadeem Harris\Kadeem-Harris,eng ENG,MFFW,Cardiff City,25,1993,13,3,366,1,0,0,0,1,0,0.25,0.00,0.25,0.25,0.25,1.0,1.0,0.4,0.24,0.10,0.34,0.24,0.34,Matches
189,Joe Hart\Joe-Hart,eng ENG,GK,Burnley,31,1987,19,19,1710,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
190,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,23,1995,25,21,1862,1,4,0,0,3,1,0.05,0.19,0.24,0.05,0.24,0.8,0.8,1.7,0.04,0.08,0.12,0.04,0.12,Matches
191,Eden Hazard\Eden-Hazard,be BEL,FW,Chelsea,27,1991,37,32,2926,16,15,4,4,2,0,0.49,0.46,0.95,0.37,0.83,11.2,8.2,9.2,0.34,0.28,0.63,0.25,0.53,Matches
192,Rhys Healey\Rhys-Healey,wal WAL,FWMF,Cardiff City,23,1994,3,0,49,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07,Matches
193,Tom Heaton\Tom-Heaton,eng ENG,GK,Burnley,32,1986,19,19,1710,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
194,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,28,1990,32,21,1981,1,3,0,0,2,1,0.05,0.14,0.18,0.05,0.18,1.8,1.8,1.4,0.08,0.06,0.14,0.08,0.14,Matches
195,Jeff Hendrick\Jeff-Hendrick,ie IRL,MFFW,Burnley,26,1992,32,25,2068,3,0,0,0,4,0,0.13,0.00,0.13,0.13,0.13,1.6,1.6,1.5,0.07,0.06,0.13,0.07,0.13,Matches
196,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,31,1987,18,17,1575,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
197,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,30,1988,25,14,1337,7,1,0,0,2,0,0.47,0.07,0.54,0.47,0.54,6.4,6.4,1.7,0.43,0.11,0.54,0.43,0.54,Matches
198,Ander Herrera\Ander-Herrera,es ESP,MF,Manchester Utd,28,1989,22,16,1404,2,3,0,0,4,0,0.13,0.19,0.32,0.13,0.32,1.8,1.8,1.0,0.12,0.06,0.18,0.12,0.18,Matches
199,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,26,1992,31,23,2047,12,6,0,0,2,1,0.53,0.26,0.79,0.53,0.79,7.6,7.6,3.2,0.34,0.14,0.47,0.34,0.47,Matches
200,Gonzalo Higuaín\Gonzalo-Higuain,ar ARG,FW,Chelsea,30,1987,14,13,1092,5,0,0,0,0,0,0.41,0.00,0.41,0.41,0.41,5.0,5.0,1.1,0.41,0.09,0.50,0.41,0.50,Matches
201,Wesley Hoedt\Wesley-Hoedt,nl NED,DF,Southampton,24,1994,13,13,1170,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.04,0.00,0.04,0.04,0.04,Matches
202,Jonathan Hogg\Jonathan-Hogg,eng ENG,MF,Huddersfield,29,1988,29,29,2376,0,1,0,0,8,1,0.00,0.04,0.04,0.00,0.04,0.3,0.3,0.5,0.01,0.02,0.03,0.01,0.03,Matches
203,Junior Hoilett\Junior-Hoilett,ca CAN,FWMF,Cardiff City,28,1990,32,23,2143,3,1,0,0,4,0,0.13,0.04,0.17,0.13,0.17,3.5,3.5,1.2,0.15,0.05,0.20,0.15,0.20,Matches
204,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,22,1995,10,9,807,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
205,José Holebas\Jose-Holebas,gr GRE,DF,Watford,34,1984,28,27,2393,3,6,0,0,12,1,0.11,0.23,0.34,0.11,0.34,1.2,1.2,3.6,0.04,0.14,0.18,0.04,0.18,Matches
206,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,21,1996,5,4,407,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
207,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,17,2000,10,4,391,0,1,0,0,0,0,0.00,0.23,0.23,0.00,0.23,0.6,0.6,0.8,0.14,0.20,0.34,0.14,0.34,Matches
208,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,23,1995,32,31,2436,2,4,0,0,5,0,0.07,0.15,0.22,0.07,0.22,2.6,2.6,3.3,0.10,0.12,0.22,0.10,0.22,Matches
209,Emerson Hyndman\Emerson-Hyndman,us USA,MF,Bournemouth,22,1996,1,0,37,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
210,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,22,1995,31,31,2762,4,3,0,0,8,2,0.13,0.10,0.23,0.13,0.23,2.6,2.6,2.4,0.08,0.08,0.16,0.08,0.16,Matches
211,Jordon Ibe\Jordon-Ibe,eng ENG,MFFW,Bournemouth,22,1995,19,9,794,1,1,0,0,1,0,0.11,0.11,0.23,0.11,0.23,0.6,0.6,0.6,0.07,0.07,0.14,0.07,0.14,Matches
212,Vicente Iborra\Vicente-Iborra,es ESP,MF,Leicester City,30,1988,8,3,226,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.05,0.03,0.08,0.05,0.08,Matches
213,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FWMF,Leicester City,21,1996,30,9,926,1,3,0,0,2,0,0.10,0.29,0.39,0.10,0.39,2.7,2.7,1.7,0.26,0.17,0.43,0.26,0.43,Matches
214,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,26,1992,24,23,1666,7,3,3,3,1,0,0.38,0.16,0.54,0.22,0.38,8.8,6.6,2.6,0.48,0.14,0.62,0.35,0.49,Matches
215,Alex Iwobi\Alex-Iwobi,ng NGA,FWMF,Arsenal,22,1996,35,22,1972,3,6,0,0,0,0,0.14,0.27,0.41,0.14,0.41,3.0,3.0,5.3,0.14,0.24,0.38,0.14,0.38,Matches
216,José Izquierdo\Jose-Izquierdo,co COL,MFFW,Brighton,26,1992,15,9,794,1,1,0,0,1,0,0.11,0.11,0.23,0.11,0.23,0.8,0.8,0.4,0.09,0.05,0.13,0.09,0.13,Matches
217,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Everton,35,1982,7,4,328,1,0,0,0,0,1,0.27,0.00,0.27,0.27,0.27,0.5,0.5,0.2,0.14,0.04,0.19,0.14,0.19,Matches
218,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,24,1993,19,12,1021,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.3,0.08,0.02,0.10,0.08,0.10,Matches
219,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,29,1989,18,17,1522,0,2,0,0,3,0,0.00,0.12,0.12,0.00,0.12,0.4,0.4,0.7,0.02,0.04,0.07,0.02,0.07,Matches
220,Vincent Janssen\Vincent-Janssen,nl NED,FW,Tottenham,24,1994,3,0,36,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.63,0.00,0.63,0.63,0.63,Matches
221,Carl Jenkinson\Carl-Jenkinson,eng ENG,DF,Arsenal,26,1992,3,2,165,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
222,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,21,1997,29,8,1019,7,3,1,1,1,0,0.62,0.26,0.88,0.53,0.79,9.6,8.8,1.7,0.85,0.15,1.00,0.78,0.93,Matches
223,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,27,1991,38,36,3124,13,7,2,2,4,0,0.37,0.20,0.58,0.32,0.52,13.8,12.3,7.1,0.40,0.20,0.60,0.35,0.56,Matches
224,Stefan Johansen\Stefan-Johansen,no NOR,MF,Fulham,27,1991,12,4,411,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.02,0.02,0.01,0.02,Matches
225,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,18,2000,1,1,63,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
226,Tyreke Johnson\Tyreke-Johnson,eng ENG,FW,Southampton,19,1998,1,0,,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,,,,,,Matches
227,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,26,1992,18,15,1261,0,1,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.6,0.03,0.04,0.07,0.03,0.07,Matches
228,Jorginho\Jorginho,it ITA,MF,Chelsea,26,1991,37,37,3165,2,0,1,1,8,0,0.06,0.00,0.06,0.03,0.03,1.5,0.7,3.0,0.04,0.08,0.13,0.02,0.11,Matches
229,Joselu\Joselu,es ESP,FW,Newcastle Utd,28,1990,16,5,587,2,0,0,0,1,0,0.31,0.00,0.31,0.31,0.31,1.6,1.6,0.0,0.24,0.00,0.25,0.24,0.25,Matches
230,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,21,1996,33,29,2369,9,5,0,0,11,0,0.34,0.19,0.53,0.34,0.53,8.2,8.2,3.8,0.31,0.14,0.46,0.31,0.46,Matches
231,Mathias Jørgensen\Mathias-Jorgensen,dk DEN,DF,Huddersfield,28,1990,24,24,2148,3,1,0,0,6,0,0.13,0.04,0.17,0.13,0.17,1.2,1.2,0.3,0.05,0.01,0.06,0.05,0.06,Matches
