,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
26,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,28,1989,38,38,3403,1,5,0,0,4,0,0.03,0.13,0.16,0.03,0.16,1.0,1.0,2.4,0.03,0.06,0.09,0.03,0.09,Matches
27,Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,31,1986,16,15,1260,5,3,0,0,3,0,0.36,0.21,0.57,0.36,0.57,4.7,4.7,1.9,0.33,0.14,0.47,0.33,0.47,Matches
28,Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,20,1997,21,16,1415,1,0,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.5,0.5,1.6,0.03,0.10,0.14,0.03,0.14,Matches
29,Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,26,1991,11,4,554,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.01,0.00,0.02,0.01,0.02,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,24,1994,12,8,636,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.03,0.00,0.03,0.03,0.03,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,33,1984,6,5,376,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.01,0.04,0.05,0.01,0.05,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,26,1991,23,23,2014,1,0,0,0,2,0,0.04,0.00,0.04,0.04,0.04,2.1,2.1,0.1,0.09,0.01,0.10,0.09,0.10,Matches
33,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,30,1988,8,5,591,1,0,0,0,2,0,0.15,0.00,0.15,0.15,0.15,0.2,0.2,0.0,0.03,0.00,0.03,0.03,0.03,Matches
34,Sol Bamba\Sol-Bamba,ci CIV,DF,Cardiff City,33,1985,28,28,2475,4,1,0,0,7,0,0.15,0.04,0.18,0.15,0.18,2.7,2.7,0.3,0.10,0.01,0.11,0.10,0.11,Matches
35,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,33,1985,19,19,1672,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.01,0.03,0.04,0.01,0.04,Matches
36,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,24,1993,27,13,1241,3,5,0,0,1,0,0.22,0.36,0.58,0.22,0.58,3.7,3.7,2.0,0.27,0.15,0.42,0.27,0.42,Matches
37,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,28,1989,37,26,2387,12,2,2,2,8,0,0.45,0.08,0.53,0.38,0.45,11.6,10.1,3.6,0.44,0.14,0.57,0.38,0.52,Matches
38,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,20,1997,16,11,1009,2,2,0,0,0,0,0.18,0.18,0.36,0.18,0.36,3.3,3.3,1.4,0.29,0.12,0.42,0.29,0.42,Matches
39,Antonio Barreca\Antonio-Barreca,it ITA,DF,Newcastle Utd,23,1995,1,0,4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,24,1993,11,9,756,5,0,0,0,0,0,0.60,0.00,0.60,0.60,0.60,3.6,3.6,0.1,0.43,0.01,0.43,0.43,0.43,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,22,1996,25,24,2150,0,1,0,0,7,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,0.4,0.03,0.02,0.04,0.03,0.04,Matches
42,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,31,1987,24,24,2160,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
43,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,23,1995,19,18,1533,0,5,0,0,3,0,0.00,0.29,0.29,0.00,0.29,1.0,1.0,2.0,0.06,0.12,0.18,0.06,0.18,Matches
44,Joe Bennett\Joe-Bennett,eng ENG,DF,Cardiff City,28,1990,30,30,2641,0,1,0,0,5,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,1.1,0.02,0.04,0.06,0.02,0.06,Matches
45,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,28,1990,34,34,3060,1,0,0,0,12,0,0.03,0.00,0.03,0.03,0.03,1.2,1.2,0.5,0.03,0.01,0.05,0.03,0.05,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,27,1990,16,9,813,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,3.5,3.5,1.2,0.39,0.13,0.52,0.39,0.52,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,27,1990,29,19,1749,3,6,0,0,2,0,0.15,0.31,0.46,0.15,0.46,2.7,2.7,3.6,0.14,0.18,0.33,0.14,0.33,Matches
48,Bernard\Bernard,br BRA,FWMF,Everton,25,1992,34,25,2128,1,3,0,0,5,0,0.04,0.13,0.17,0.04,0.17,2.8,2.8,3.1,0.12,0.13,0.25,0.12,0.25,Matches
49,Bernardo\Bernardo,br BRA,DF,Brighton,23,1995,22,19,1750,0,1,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,0.9,0.02,0.05,0.07,0.02,0.07,Matches
50,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,28,1989,24,24,2160,1,0,0,0,8,0,0.04,0.00,0.04,0.04,0.04,1.0,1.0,2.0,0.04,0.08,0.12,0.04,0.12,Matches
51,Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,26,1992,7,7,630,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
52,Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,22,1996,27,25,2191,2,0,0,0,7,0,0.08,0.00,0.08,0.08,0.08,2.0,2.0,1.1,0.08,0.05,0.13,0.08,0.13,Matches
53,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,21,1996,28,17,1769,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,1.1,0.08,0.06,0.14,0.08,0.14,Matches
54,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,27,1991,36,36,3168,4,0,0,0,2,1,0.11,0.00,0.11,0.11,0.11,2.8,2.8,0.9,0.08,0.03,0.11,0.08,0.11,Matches
55,Léo Bonatini\Leo-Bonatini,br BRA,FW,Wolves,24,1994,7,0,129,0,1,0,0,0,0,0.00,0.70,0.70,0.00,0.70,1.4,1.4,0.2,1.00,0.14,1.15,1.00,1.15,Matches
56,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,30,1988,22,19,1805,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.00,0.03,0.03,0.00,0.03,Matches
57,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,38,1980,12,12,1080,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
58,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,26,1992,16,6,716,0,1,0,0,3,1,0.00,0.13,0.13,0.00,0.13,0.7,0.7,1.3,0.08,0.16,0.25,0.08,0.25,Matches
59,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,33,1985,3,2,185,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
60,David Brooks\David-Brooks,wal WAL,MFFW,Bournemouth,21,1997,30,29,2279,7,5,0,0,3,0,0.28,0.20,0.47,0.28,0.47,5.5,5.5,3.9,0.22,0.15,0.37,0.22,0.37,Matches
61,Bruno\Bruno,es ESP,DF,Brighton,37,1980,14,14,1136,0,1,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.1,0.1,0.3,0.00,0.02,0.03,0.00,0.03,Matches
62,Joe Bryan\Joe-Bryan,eng ENG,DF,Fulham,24,1993,28,27,2350,0,1,0,0,5,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,2.6,0.03,0.10,0.12,0.03,0.12,Matches
63,David Button\David-Button,eng ENG,GK,Brighton,29,1989,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
64,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,36,1981,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
65,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,32,1985,2,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
66,Tom Cairney\Tom-Cairney,sco SCO,MFFW,Fulham,27,1991,31,24,2198,1,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08,1.0,1.0,2.9,0.04,0.12,0.16,0.04,0.16,Matches
67,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,21,1997,35,19,1774,6,2,0,0,3,0,0.30,0.10,0.41,0.30,0.41,5.3,5.3,1.2,0.27,0.06,0.33,0.27,0.33,Matches
68,Rafael Camacho\Rafael-Camacho,pt POR,DF,Liverpool,18,2000,1,0,,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,,,,,,Matches
69,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Cardiff City,24,1994,32,31,2579,4,4,0,0,6,0,0.14,0.14,0.28,0.14,0.28,2.4,2.4,3.3,0.08,0.12,0.20,0.08,0.20,Matches
70,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,30,1988,33,33,2946,1,3,0,0,14,1,0.03,0.09,0.12,0.03,0.12,0.9,0.9,0.9,0.03,0.03,0.06,0.03,0.06,Matches
71,Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,29,1989,12,3,455,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.2,0.33,0.03,0.36,0.33,0.36,Matches
72,Jonny Castro\Jonny-Castro,es ESP,DFMF,Wolves,24,1994,33,32,2779,1,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,2.0,2.0,1.6,0.07,0.05,0.12,0.07,0.12,Matches
73,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,29,1989,36,35,3098,4,0,0,0,2,0,0.12,0.00,0.12,0.12,0.12,2.0,2.0,0.4,0.06,0.01,0.07,0.06,0.07,Matches
74,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Wolves,24,1993,23,6,682,3,1,0,0,1,0,0.40,0.13,0.53,0.40,0.53,2.2,2.2,1.5,0.29,0.19,0.49,0.29,0.49,Matches
75,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,36,1982,7,7,585,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
76,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MFFW,Watford,23,1994,9,3,266,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.00,0.04,0.04,0.04,Matches
77,Calum Chambers\Calum-Chambers,eng ENG,MFDF,Fulham,23,1995,31,29,2586,2,0,0,0,9,0,0.07,0.00,0.07,0.07,0.07,2.2,2.2,0.7,0.08,0.02,0.10,0.08,0.10,Matches
78,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,21,1996,36,36,3240,0,4,0,0,4,0,0.00,0.11,0.11,0.00,0.11,0.9,0.9,2.9,0.03,0.08,0.11,0.03,0.11,Matches
79,Tahith Chong\Tahith-Chong,nl NED,FW,Manchester Utd,18,1999,2,0,36,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.18,0.00,0.18,0.18,0.18,Matches
80,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,20,1997,9,7,596,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.05,0.08,0.13,0.05,0.13,Matches
81,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,22,1996,8,6,615,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
82,Cyrus Christie\Cyrus-Christie,ie IRL,DF,Fulham,25,1992,28,19,1945,0,1,0,0,7,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,1.4,0.02,0.07,0.09,0.02,0.09,Matches
83,Ibrahima Cissé\Ibrahima-Cisse,gn GUI,MFFW,Fulham,24,1994,3,1,87,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
84,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,28,1989,11,9,858,3,0,0,0,1,0,0.31,0.00,0.31,0.31,0.31,0.3,0.3,0.4,0.04,0.05,0.08,0.04,0.08,Matches
85,Tom Cleverley\Tom-Cleverley,eng ENG,MFFW,Watford,28,1989,13,4,470,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.03,0.00,0.03,0.03,0.03,Matches
86,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Liverpool,27,1991,4,1,108,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.05,0.00,0.05,0.05,0.05,Matches
87,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Bournemouth,27,1991,14,13,1145,0,1,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.3,0.3,0.2,0.02,0.02,0.04,0.02,0.04,Matches
88,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,25,1993,38,38,3420,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
89,Joel Coleman\Joel-Coleman,eng ENG,GK,Huddersfield,22,1995,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
