Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Tammy Abraham,FW,Chelsea,25,23,1945.0,13,3,0,0,2,0,0.6,0.14,0.74,0.6,0.74,12.2,12.2,2.3,0.56,0.11,0.67,0.56,0.67
Che Adams,FW,Southampton,21,8,712.0,0,2,0,0,0,0,0.0,0.25,0.25,0.0,0.25,1.9,1.9,0.9,0.24,0.11,0.35,0.24,0.35
Sergio Agüero,FW,Manchester City,21,16,1342.0,16,3,2,3,1,0,1.07,0.2,1.27,0.94,1.14,13.3,11.0,2.5,0.89,0.17,1.06,0.74,0.91
Miguel Almirón,FW,Newcastle Utd,26,26,2200.0,2,1,0,0,5,0,0.08,0.04,0.12,0.08,0.12,4.4,4.4,0.6,0.18,0.03,0.2,0.18,0.2
Michail Antonio,FW,West Ham,13,8,850.0,1,1,0,0,0,0,0.11,0.11,0.21,0.11,0.21,3.1,3.1,1.2,0.33,0.13,0.46,0.33,0.46
Christian Atsu,FW,Newcastle Utd,18,6,733.0,0,3,0,0,2,0,0.0,0.37,0.37,0.0,0.37,0.2,0.2,1.0,0.03,0.12,0.14,0.03,0.14
Pierre-Emerick Aubameyang,FW,Arsenal,25,25,2214.0,17,1,1,1,3,1,0.69,0.04,0.73,0.65,0.69,11.2,10.5,1.8,0.46,0.07,0.53,0.43,0.5
Jordan Ayew,FW,Crystal Palace,26,26,2213.0,6,1,0,0,4,0,0.24,0.04,0.28,0.24,0.28,5.3,5.3,1.6,0.22,0.06,0.28,0.22,0.28
Ashley Barnes,FW,Burnley,19,17,1361.0,6,0,1,1,4,0,0.4,0.0,0.4,0.33,0.33,5.4,4.6,0.5,0.35,0.03,0.39,0.3,0.34
Michy Batshuayi,FW,Chelsea,15,1,207.0,1,1,0,0,0,0,0.43,0.43,0.87,0.43,0.87,2.2,2.2,0.2,0.95,0.07,1.02,0.95,1.02
Christian Benteke,FW,Crystal Palace,18,7,742.0,1,0,0,0,2,0,0.12,0.0,0.12,0.12,0.12,2.7,2.7,1.3,0.33,0.16,0.49,0.33,0.49
Steven Bergwijn,FW,Tottenham,3,3,238.0,1,0,0,0,0,0,0.38,0.0,0.38,0.38,0.38,0.6,0.6,0.5,0.21,0.19,0.4,0.21,0.4
Jarrod Bowen,FW,West Ham,2,0,16.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,1.0,1.0,1.0
Emi Buendía,FW,Norwich City,26,20,1836.0,0,7,0,0,4,0,0.0,0.34,0.34,0.0,0.34,2.0,2.0,6.5,0.1,0.32,0.42,0.1,0.42
Dominic Calvert-Lewin,FW,Everton,25,20,1746.0,12,1,0,0,6,0,0.62,0.05,0.67,0.62,0.67,11.1,11.1,0.9,0.57,0.04,0.62,0.57,0.62
Todd Cantwell,FW,Norwich City,27,23,1967.0,6,2,0,0,4,0,0.27,0.09,0.37,0.27,0.37,5.6,5.6,2.5,0.26,0.11,0.37,0.26,0.37
Andy Carroll,FW,Newcastle Utd,13,4,508.0,0,3,0,0,1,0,0.0,0.53,0.53,0.0,0.53,0.5,0.5,1.6,0.08,0.28,0.36,0.08,0.36
Tahith Chong,FW,Manchester Utd,3,0,34.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.17,0.0,0.17,0.17,0.17
Aaron Connolly,FW,Brighton,17,9,834.0,2,0,0,0,0,0,0.22,0.0,0.22,0.22,0.22,2.4,2.4,0.2,0.26,0.02,0.28,0.26,0.28
Patrick Cutrone,FW,Wolves,12,3,292.0,2,0,0,0,0,0,0.62,0.0,0.62,0.62,0.62,2.3,2.3,0.0,0.72,0.01,0.73,0.72,0.73
Keinan Davis,FW,Aston Villa,7,0,106.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.62,0.04,0.66,0.62,0.66
Troy Deeney,FW,Watford,16,15,1342.0,5,1,2,3,3,0,0.34,0.07,0.4,0.2,0.27,5.8,3.6,2.0,0.39,0.14,0.53,0.24,0.37
