,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,10,8,783,9,1.03,25,16,.640,8,0,0,2,25.0,0,0,0,0,Matches
2,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,20,20,1734,11,0.57,56,45,.804,18,1,1,10,50.0,0,0,0,0,Matches
3,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,24,24,2160,32,1.33,69,41,.565,12,4,8,5,20.8,2,2,0,0,Matches
4,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,4,3,346,7,1.82,15,8,.533,2,0,1,1,33.3,0,0,0,0,Matches
5,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,4,4,360,7,1.75,15,9,.533,1,2,1,0,0.0,0,0,0,0,Matches
6,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,28,28,2520,41,1.46,149,108,.725,8,8,12,8,28.6,0,0,0,0,Matches
7,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,24,24,2081,22,0.95,65,44,.692,16,3,5,9,37.5,2,2,0,0,Matches
8,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,15,15,1219,21,1.55,60,42,.683,5,4,6,4,26.7,3,2,1,0,Matches
9,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,1,1,22,1,4.09,1,1,1.000,0,0,1,0,0.0,1,1,0,0,Matches
10,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,28,28,2520,43,1.54,119,81,.689,6,9,13,9,32.1,6,6,0,0,Matches
11,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,18,17,1612,26,1.45,79,56,.709,5,5,7,2,11.8,4,3,1,0,Matches
12,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,28,28,2520,30,1.07,97,68,.701,11,9,8,7,25.0,1,1,0,0,Matches
