Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Patrick van Aanholt,DF,Crystal Palace,36,36,3198.0,3,2,0,0,3,0,0.08,0.06,0.14,0.08,0.14,2.9,2.9,4.0,0.08,0.11,0.19,0.08,0.19
Nathan Aké,DF,Bournemouth,38,38,3412.0,4,0,0,0,3,0,0.11,0.0,0.11,0.11,0.11,3.5,3.5,0.7,0.09,0.02,0.11,0.09,0.11
Toby Alderweireld,DF,Tottenham,34,33,2923.0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.5,0.04,0.02,0.05,0.04,0.05
Trent Alexander-Arnold,DF,Liverpool,29,27,2467.0,1,12,0,0,3,0,0.04,0.44,0.47,0.04,0.47,1.4,1.4,6.3,0.05,0.23,0.28,0.05,0.28
Marcos Alonso,DF,Chelsea,31,31,2761.0,2,4,0,0,6,0,0.07,0.13,0.2,0.07,0.2,3.0,3.0,4.0,0.1,0.13,0.23,0.1,0.23
Daniel Amartey,DF,Leicester City,9,7,640.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.04,0.03,0.07,0.04,0.07
Serge Aurier,DF,Tottenham,8,6,563.0,0,2,0,0,1,0,0.0,0.32,0.32,0.0,0.32,0.1,0.1,0.5,0.01,0.08,0.09,0.01,0.09
César Azpilicueta,DF,Chelsea,38,38,3403.0,1,5,0,0,4,0,0.03,0.13,0.16,0.03,0.16,1.0,1.0,2.4,0.03,0.06,0.09,0.03,0.09
Eric Bailly,DF,Manchester Utd,12,8,636.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.03,0.0,0.03,0.03,0.03
Leighton Baines,DF,Everton,6,5,376.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.01,0.04,0.05,0.01,0.05
Fabián Balbuena,DF,West Ham,23,23,2014.0,1,0,0,0,2,0,0.04,0.0,0.04,0.04,0.04,2.1,2.1,0.1,0.09,0.01,0.1,0.09,0.1
Leon Balogun,DF,Brighton,8,5,591.0,1,0,0,0,2,0,0.15,0.0,0.15,0.15,0.15,0.2,0.2,0.0,0.03,0.0,0.03,0.03,0.03
Sol Bamba,DF,Cardiff City,28,28,2475.0,4,1,0,0,7,0,0.15,0.04,0.18,0.15,0.18,2.7,2.7,0.3,0.1,0.01,0.11,0.1,0.11
Phil Bardsley,DF,Burnley,19,19,1672.0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.01,0.03,0.04,0.01,0.04
Antonio Barreca,DF,Newcastle Utd,1,0,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Bednarek,DF,Southampton,25,24,2150.0,0,1,0,0,7,0,0.0,0.04,0.04,0.0,0.04,0.7,0.7,0.4,0.03,0.02,0.04,0.03,0.04
Héctor Bellerín,DF,Arsenal,19,18,1533.0,0,5,0,0,3,0,0.0,0.29,0.29,0.0,0.29,1.0,1.0,2.0,0.06,0.12,0.18,0.06,0.18
Joe Bennett,DF,Cardiff City,30,30,2641.0,0,1,0,0,5,0,0.0,0.03,0.03,0.0,0.03,0.5,0.5,1.1,0.02,0.04,0.06,0.02,0.06
