Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Sergio Agüero,FW,Manchester City,33,31,2480.0,21,8,2,2,4,0,0.76,0.29,1.05,0.69,0.98,20.3,18.8,5.2,0.74,0.19,0.93,0.68,0.87
Marc Albrighton,FW,Leicester City,27,18,1626.0,2,2,0,0,3,0,0.11,0.11,0.22,0.11,0.22,1.0,1.0,2.9,0.05,0.16,0.21,0.05,0.21
Miguel Almirón,FW,Newcastle Utd,10,9,763.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.9,0.17,0.1,0.27,0.17,0.27
Felipe Anderson,FW,West Ham,36,36,3053.0,9,4,0,0,3,0,0.27,0.12,0.38,0.27,0.38,5.0,5.0,6.7,0.15,0.2,0.35,0.15,0.35
Florin Andone,FW,Brighton,23,8,873.0,3,0,0,0,5,0,0.31,0.0,0.31,0.31,0.31,2.3,2.3,0.2,0.23,0.02,0.25,0.23,0.25
Michail Antonio,FW,West Ham,33,22,2099.0,6,4,0,0,3,0,0.26,0.17,0.43,0.26,0.43,7.1,7.1,3.3,0.31,0.14,0.45,0.31,0.45
Marko Arnautović,FW,West Ham,28,24,2001.0,10,4,1,1,3,0,0.45,0.18,0.63,0.4,0.58,9.6,8.8,3.7,0.43,0.16,0.6,0.4,0.56
Pierre-Emerick Aubameyang,FW,Arsenal,36,30,2732.0,22,5,4,5,0,0,0.72,0.16,0.89,0.59,0.76,20.6,16.7,4.0,0.68,0.13,0.81,0.55,0.68
Charlie Austin,FW,Southampton,25,11,980.0,2,2,0,1,1,0,0.18,0.18,0.37,0.18,0.37,3.6,2.9,0.4,0.33,0.04,0.36,0.26,0.3
Jordan Ayew,FW,Crystal Palace,20,14,1186.0,1,2,0,0,3,0,0.08,0.15,0.23,0.08,0.23,2.4,2.4,1.0,0.18,0.08,0.26,0.18,0.26
Floyd Ayité,FW,Fulham,16,3,468.0,1,0,0,0,0,0,0.19,0.0,0.19,0.19,0.19,0.3,0.3,0.3,0.06,0.06,0.12,0.06,0.12
Ryan Babel,FW,Fulham,16,15,1260.0,5,3,0,0,3,0,0.36,0.21,0.57,0.36,0.57,4.7,4.7,1.9,0.33,0.14,0.47,0.33,0.47
Ashley Barnes,FW,Burnley,37,26,2387.0,12,2,2,2,8,0,0.45,0.08,0.53,0.38,0.45,11.6,10.1,3.6,0.44,0.14,0.57,0.38,0.52
Harvey Barnes,FW,Leicester City,16,11,1009.0,2,2,0,0,0,0,0.18,0.18,0.36,0.18,0.36,3.3,3.3,1.4,0.29,0.12,0.42,0.29,0.42
Michy Batshuayi,FW,Crystal Palace,11,9,756.0,5,0,0,0,0,0,0.6,0.0,0.6,0.6,0.6,3.6,3.6,0.1,0.43,0.01,0.43,0.43,0.43
Christian Benteke,FW,Crystal Palace,16,9,813.0,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,3.5,3.5,1.2,0.39,0.13,0.52,0.39,0.52
Bernard,FW,Everton,34,25,2128.0,1,3,0,0,5,0,0.04,0.13,0.17,0.04,0.17,2.8,2.8,3.1,0.12,0.13,0.25,0.12,0.25
Léo Bonatini,FW,Wolves,7,0,129.0,0,1,0,0,0,0,0.0,0.7,0.7,0.0,0.7,1.4,1.4,0.2,1.0,0.14,1.15,1.0,1.15
Dominic Calvert-Lewin,FW,Everton,35,19,1774.0,6,2,0,0,3,0,0.3,0.1,0.41,0.3,0.41,5.3,5.3,1.2,0.27,0.06,0.33,0.27,0.33
Andy Carroll,FW,West Ham,12,3,455.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,0.2,0.33,0.03,0.36,0.33,0.36
Ivan Cavaleiro,FW,Wolves,23,6,682.0,3,1,0,0,1,0,0.4,0.13,0.53,0.4,0.53,2.2,2.2,1.5,0.29,0.19,0.49,0.29,0.49
Tahith Chong,FW,Manchester Utd,2,0,36.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.18,0.0,0.18,0.18,0.18
Hélder Costa,FW,Wolves,25,16,1346.0,1,2,0,0,3,0,0.07,0.13,0.2,0.07,0.2,2.4,2.4,1.8,0.16,0.12,0.28,0.16,0.28
Peter Crouch,FW,Burnley,6,0,86.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.35,0.0,0.35,0.35,0.35
Troy Deeney,FW,Watford,32,28,2547.0,9,5,1,1,4,1,0.32,0.18,0.49,0.28,0.46,9.2,8.4,4.7,0.32,0.16,0.49,0.3,0.46
Laurent Depoitre,FW,Huddersfield,23,10,1061.0,0,1,0,0,1,0,0.0,0.08,0.08,0.0,0.08,3.7,3.7,0.6,0.31,0.05,0.36,0.31,0.36
Gerard Deulofeu,FW,Watford,30,26,2081.0,10,5,0,0,3,0,0.43,0.22,0.65,0.43,0.65,8.5,8.5,4.6,0.37,0.2,0.56,0.37,0.56
Fousseni Diabaté,FW,Leicester City,1,1,55.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.14,0.14,0.0,0.14
Adama Diakhaby,FW,Huddersfield,12,6,551.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,0.13,0.07,0.2,0.13,0.2
Grady Diangana,FW,West Ham,17,6,604.0,0,1,0,0,0,0,0.0,0.15,0.15,0.0,0.15,0.6,0.6,1.2,0.08,0.17,0.26,0.08,0.26
Roberto Firmino,FW,Liverpool,34,31,2620.0,12,6,1,1,0,0,0.41,0.21,0.62,0.38,0.58,12.5,11.7,5.9,0.43,0.2,0.63,0.4,0.61
Manolo Gabbiadini,FW,Southampton,12,4,470.0,1,0,0,0,0,0,0.19,0.0,0.19,0.19,0.19,1.8,1.8,0.2,0.34,0.04,0.38,0.34,0.38
Sam Gallagher,FW,Southampton,4,0,30.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rachid Ghezzal,FW,Leicester City,19,8,735.0,1,0,0,0,3,0,0.12,0.0,0.12,0.12,0.12,1.1,1.1,1.8,0.14,0.22,0.36,0.14,0.36
Olivier Giroud,FW,Chelsea,27,7,832.0,2,4,0,0,1,0,0.22,0.43,0.65,0.22,0.65,4.0,4.0,2.0,0.43,0.22,0.65,0.43,0.65
Karlan Grant,FW,Huddersfield,13,9,874.0,3,0,0,0,0,0,0.31,0.0,0.31,0.31,0.31,2.8,2.8,0.4,0.29,0.04,0.33,0.29,0.33
Andre Gray,FW,Watford,29,13,1360.0,7,2,0,0,2,0,0.46,0.13,0.6,0.46,0.6,6.2,6.2,1.4,0.41,0.09,0.5,0.41,0.5
Demarai Gray,FW,Leicester City,34,23,1995.0,4,1,0,0,2,0,0.18,0.05,0.23,0.18,0.23,4.1,4.1,0.7,0.18,0.03,0.22,0.18,0.22
Mason Greenwood,FW,Manchester Utd,3,1,115.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.64,0.11,0.75,0.64,0.75
Eden Hazard,FW,Chelsea,37,32,2926.0,16,15,4,4,2,0,0.49,0.46,0.95,0.37,0.83,11.2,8.2,9.2,0.34,0.28,0.63,0.25,0.53
Rhys Healey,FW,Cardiff City,3,0,49.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
