Player,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xA,PKmiss,FantPts
Michael Keane,83,79,7096.0,2,3,0,0,5,0,4.699999999999999,4.699999999999999,1.3,0,108
Miguel Britos,15,12,982.0,1,0,0,0,3,1,0.8,0.8,0.7,0,14
Mike van der Hoorn,24,24,1944.0,1,0,0,0,4,0,0.9,0.9,0.3,0,26
Molla Wagué,6,5,438.0,1,0,0,0,0,0,0.6,0.6,0.0,0,16
Moritz Bauer,15,15,1306.0,0,0,0,0,4,0,0.3,0.3,0.9,0,7
Nacho Monreal,53,50,4374.0,6,5,0,0,8,0,3.0,3.0,3.0,0,122
Nathan Aké,97,96,8600.0,8,4,0,0,9,0,7.8,7.8,3.1,0,179
Nathaniel Clyne,21,16,1427.0,0,1,0,0,3,0,0.4,0.4,0.4,0,20
Neil Taylor,10,8,793.0,0,0,0,0,2,0,0.2,0.2,0.1,0,6
Nicolás Otamendi,70,61,5523.0,6,0,0,0,13,0,6.3999999999999995,6.3999999999999995,0.8,0,104
Oleksandr Zinchenko,33,29,2514.0,0,3,0,0,4,1,0.6000000000000001,0.6000000000000001,2.2,0,35
Oliver Skipp,3,0,10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,3
Pablo Zabaleta,73,66,5969.0,0,2,0,0,15,0,0.7999999999999999,0.7999999999999999,2.2,0,53
Pape Souaré,2,0,9.0,0,0,0,0,0,0,0.0,0.0,0.0,0,2
Patrice Evra,5,3,228.0,0,0,0,0,0,0,0.0,0.0,0.0,0,5
Patrick van Aanholt,84,81,7096.0,11,3,1,1,10,0,8.1,7.3,7.300000000000001,0,189
Paul Dummett,62,54,4818.0,0,0,0,0,4,0,0.5,0.5,1.2000000000000002,0,54
Per Mertesacker,6,4,366.0,1,0,0,0,0,0,0.3,0.3,0.0,0,16
Phil Bardsley,44,44,3877.0,0,1,0,0,17,0,0.30000000000000004,0.30000000000000004,1.5999999999999999,0,15
Phil Jagielka,36,28,2521.0,1,0,0,0,2,1,1.0,1.0,0.2,0,37
Phil Jones,43,40,3369.0,0,1,0,0,3,0,1.0,1.0,0.6,0,42
Rafael Camacho,1,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
Ragnar Klavan,19,16,1451.0,0,0,0,0,0,0,0.0,0.0,0.1,0,19
Ramiro Funes Mori,4,1,121.0,0,0,0,0,1,0,0.1,0.1,0.0,0,2
Reece James,15,10,945.0,0,2,0,0,1,0,0.6,0.6,1.6,0,23
Ricardo Pereira,61,61,5465.0,5,8,0,0,8,0,2.8,2.8,7.7,0,135
Rob Holding,24,19,1715.0,0,0,0,0,4,0,0.1,0.1,0.1,0,16
Romain Saïss,23,21,1805.0,2,1,0,0,9,1,2.2,2.2,0.5,0,25
Ryan Bennett,45,41,3664.0,1,0,0,0,14,0,1.2,1.2,0.6,0,27
Ryan Bertrand,81,80,7138.0,2,5,0,0,13,1,4.5,4.5,7.4,0,95
Ryan Fredericks,35,31,2774.0,1,2,0,0,10,0,0.5,0.5,1.7,0,35
Ryan Sessegnon,6,4,341.0,0,0,0,0,0,0,0.1,0.1,0.1,0,6
Ryan Shawcross,27,27,2371.0,1,1,0,0,2,0,2.9,2.9,0.1,0,38
Rúben Vinagre,28,10,1052.0,0,0,0,0,2,0,0.7,0.7,1.4,0,24
Sam Byram,22,17,1541.0,0,0,0,0,5,0,1.6,1.6,0.6,0,12
Sam McQueen,7,1,148.0,0,0,0,0,0,0,0.0,0.0,0.5,0,7
Scott Dann,34,28,2550.0,1,2,0,0,5,0,2.5,2.5,0.4,0,44
Scott Malone,22,12,1119.0,0,1,0,0,3,0,0.7,0.7,0.5,0,21
Sead Kolašinac,68,60,5144.0,2,11,0,0,11,0,3.5999999999999996,3.5999999999999996,9.1,0,121
Sean Morrison,34,34,3040.0,1,3,0,0,6,0,4.4,4.4,2.4,0,47
Sebastian Prödl,23,18,1640.0,0,0,0,0,5,0,1.0,1.0,0.2,0,13
Serge Aurier,47,43,3812.0,2,8,0,0,6,3,1.2,1.2,5.3,0,80
Shane Duffy,87,83,7450.0,6,2,0,0,13,1,6.699999999999999,6.699999999999999,1.0,0,126
Shkodran Mustafi,66,62,5508.0,5,2,0,0,15,0,3.0,3.0,1.4,0,96
Simon Francis,64,54,4896.0,0,3,0,0,15,3,0.8,0.8,3.3,0,34
Sokratis Papastathopoulos,43,43,3806.0,3,2,0,0,17,0,1.7000000000000002,1.7000000000000002,0.8,0,49
Sol Bamba,28,28,2475.0,4,1,0,0,7,0,2.7,2.7,0.3,0,59
