Player,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Adrián,GK,West Ham,19,19,1710,29,1.53,95,68,0.705,7,6,6,6,31.6,1,1,0,0
Asmir Begović,GK,Bournemouth,38,38,3420,61,1.61,172,113,0.657,11,11,16,6,15.8,4,2,1,1
Claudio Bravo,GK,Manchester City,3,2,226,1,0.4,5,4,0.8,2,0,0,1,50.0,0,0,0,0
Jack Butland,GK,Stoke City,35,35,3150,61,1.74,199,145,0.7190000000000001,7,11,17,6,17.1,5,5,0,0
Willy Caballero,GK,Chelsea,3,3,270,4,1.33,11,7,0.636,1,1,1,1,33.3,0,0,0,0
Petr Čech,GK,Arsenal,34,34,3039,48,1.42,129,86,0.667,16,6,12,11,32.4,6,5,1,0
Thibaut Courtois,GK,Chelsea,35,35,3150,34,0.97,105,75,0.695,20,6,9,15,42.9,2,2,0,0
Karl Darlow,GK,Newcastle Utd,10,10,900,15,1.5,45,35,0.733,1,5,4,2,20.0,3,3,0,0
Martin Dúbravka,GK,Newcastle Utd,12,12,1080,11,0.92,38,27,0.711,6,1,5,4,33.3,1,0,1,0
Ederson,GK,Manchester City,36,36,3194,26,0.73,79,54,0.6709999999999999,30,4,2,16,44.4,3,0,2,1
Rob Elliot,GK,Newcastle Utd,16,16,1440,21,1.31,62,43,0.677,5,2,9,3,18.8,2,1,1,0
Łukasz Fabiański,GK,Swansea City,38,38,3420,56,1.47,192,141,0.7240000000000001,8,9,21,9,23.7,7,3,3,1
Fraser Forster,GK,Southampton,20,20,1800,30,1.5,95,66,0.684,4,7,9,4,20.0,1,0,1,0
Ben Foster,GK,West Brom,37,37,3330,55,1.49,152,99,0.645,6,12,19,10,27.0,1,1,0,0
Paulo Gazzaniga,GK,Tottenham,1,1,90,0,0.0,3,3,1.0,1,0,0,1,100.0,0,0,0,0
David de Gea,GK,Manchester Utd,37,37,3330,28,0.76,141,116,0.809,24,6,7,18,48.6,1,1,0,0
Heurelho Gomes,GK,Watford,24,24,2128,40,1.69,98,62,0.622,7,5,12,5,20.8,3,3,0,0
Lee Grant,GK,Stoke City,3,3,270,7,2.33,14,7,0.5,0,1,2,1,33.3,0,0,0,0
Ben Hamer,GK,Leicester City,4,3,275,7,2.29,13,7,0.5379999999999999,0,1,2,1,33.3,1,1,0,0
Joe Hart,GK,West Ham,19,19,1710,39,2.05,88,53,0.602,3,6,10,4,21.1,5,4,1,0
Tom Heaton,GK,Burnley,4,4,305,4,1.18,13,9,0.6920000000000001,1,1,1,0,0.0,0,0,0,0
Wayne Hennessey,GK,Crystal Palace,27,27,2430,41,1.52,128,90,0.688,8,6,13,7,25.9,1,1,0,0
Eldin Jakupović,GK,Leicester City,2,2,180,6,3.0,13,8,0.5379999999999999,1,0,1,0,0.0,0,0,0,0
Loris Karius,GK,Liverpool,19,19,1710,14,0.74,42,30,0.7140000000000001,11,5,3,10,52.6,3,2,1,0
Orestis Karnezis,GK,Watford,15,14,1292,24,1.67,52,31,0.596,4,3,7,4,28.6,3,3,0,0
Hugo Lloris,GK,Tottenham,36,36,3240,35,0.97,120,87,0.725,22,7,7,15,41.7,3,2,1,0
Jonas Lössl,GK,Huddersfield,38,38,3420,57,1.5,154,101,0.6559999999999999,9,10,19,10,26.3,6,4,2,0
Alex McCarthy,GK,Southampton,18,18,1620,26,1.44,64,39,0.609,3,8,7,4,22.2,1,1,0,0
Simon Mignolet,GK,Liverpool,19,19,1710,24,1.26,57,35,0.614,10,7,2,7,36.8,3,2,1,0
Boaz Myhill,GK,West Brom,1,1,90,1,1.0,3,2,0.667,0,1,0,0,0.0,0,0,0,0
David Ospina,GK,Arsenal,5,4,381,3,0.71,14,11,0.7859999999999999,3,0,1,2,50.0,0,0,0,0
Jordan Pickford,GK,Everton,38,38,3420,58,1.53,175,120,0.6859999999999999,13,10,15,10,26.3,5,3,1,1
Nick Pope,GK,Burnley,35,34,3115,35,1.01,151,120,0.7879999999999999,13,11,11,11,32.4,5,3,1,1
Sergio Romero,GK,Manchester Utd,1,1,90,0,0.0,4,4,1.0,1,0,0,1,100.0,0,0,0,0
Mathew Ryan,GK,Brighton,38,38,3420,54,1.42,172,123,0.6920000000000001,9,13,16,10,26.3,3,1,2,0
Kasper Schmeichel,GK,Leicester City,33,33,2965,47,1.43,135,90,0.659,11,10,12,8,24.2,3,1,2,0
Julián Speroni,GK,Crystal Palace,11,11,990,14,1.27,42,29,0.69,3,5,3,2,18.2,1,1,0,0
Michel Vorm,GK,Tottenham,1,1,90,1,1.0,4,4,0.75,0,1,0,0,0.0,0,0,0,0
