Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Patrick van Aanholt,DF,Crystal Palace,28,25,2184,5,1,0,0,7,0,0.21,0.04,0.25,0.21,0.25,3.4,3.4,1.7,0.14,0.07,0.21,0.14,0.21
Nathan Aké,DF,Bournemouth,38,37,3353,2,3,0,0,5,0,0.05,0.08,0.13,0.05,0.13,2.1,2.1,1.8,0.06,0.05,0.1,0.06,0.1
Toby Alderweireld,DF,Tottenham,14,13,1178,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.04,0.02,0.06,0.04,0.06
Trent Alexander-Arnold,DF,Liverpool,19,18,1573,1,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,1.2,1.2,2.4,0.07,0.14,0.21,0.07,0.21
Daniel Amartey,DF,Leicester City,8,6,487,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethan Ampadu,DF,Chelsea,1,0,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serge Aurier,DF,Tottenham,17,16,1429,2,2,0,0,2,2,0.13,0.13,0.25,0.13,0.25,0.7,0.7,2.5,0.04,0.16,0.2,0.04,0.2
César Azpilicueta,DF,Chelsea,37,37,3330,2,6,0,0,1,0,0.05,0.16,0.22,0.05,0.22,1.3,1.3,3.4,0.04,0.09,0.13,0.04,0.13
Eric Bailly,DF,Manchester Utd,13,11,1001,1,0,0,0,2,0,0.09,0.0,0.09,0.09,0.09,1.0,1.0,0.2,0.09,0.02,0.11,0.09,0.11
Leighton Baines,DF,Everton,22,22,1909,2,3,2,2,1,0,0.09,0.14,0.24,0.0,0.14,1.9,0.4,2.2,0.09,0.1,0.19,0.02,0.12
Phil Bardsley,DF,Burnley,13,13,1125,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.05,0.06,0.0,0.06
Kyle Bartley,DF,Swansea City,5,2,235,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.1,0.09,0.2,0.1,0.2
Moritz Bauer,DF,Stoke City,15,15,1306,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,0.02,0.06,0.08,0.02,0.08
Jan Bednarek,DF,Southampton,5,5,426,1,0,0,0,1,0,0.21,0.0,0.21,0.21,0.21,0.1,0.1,0.0,0.02,0.0,0.02,0.02,0.02
Héctor Bellerín,DF,Arsenal,35,34,3051,2,3,0,0,5,0,0.06,0.09,0.15,0.06,0.15,2.2,2.2,3.4,0.06,0.1,0.16,0.06,0.16
Yohan Benalouane,DF,Leicester City,1,1,90,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.08,0.0,0.08,0.08,0.08
Ryan Bertrand,DF,Southampton,35,35,3135,0,4,0,0,2,0,0.0,0.11,0.11,0.0,0.11,1.7,1.7,2.7,0.05,0.08,0.13,0.05,0.13
Daley Blind,DF,Manchester Utd,7,4,362,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.03,0.14,0.18,0.03,0.18
Gaëtan Bong,DF,Brighton,25,25,2236,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.02,0.03,0.04,0.02,0.04
Miguel Britos,DF,Watford,12,10,797,1,0,0,0,3,1,0.11,0.0,0.11,0.11,0.11,0.8,0.8,0.7,0.09,0.07,0.17,0.09,0.17
Bruno,DF,Brighton,25,23,2016,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.2,0.0,0.05,0.06,0.0,0.06
Sam Byram,DF,West Ham,5,2,248,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.12,0.05,0.18,0.12,0.18
Gary Cahill,DF,Chelsea,27,24,2086,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.02,0.0,0.02,0.02,0.02
Craig Cathcart,DF,Watford,7,5,523,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.04,0.01,0.05,0.04,0.05
Calum Chambers,DF,Arsenal,12,10,866,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,0.11,0.0,0.11,0.11,0.11
Ben Chilwell,DF,Leicester City,24,20,1853,0,2,0,0,2,2,0.0,0.1,0.1,0.0,0.1,0.1,0.1,1.8,0.01,0.09,0.09,0.01,0.09
