Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Marcus Rashford,FW,Manchester Utd,35,17,1813,6,5,0,0,3,0,0.3,0.25,0.55,0.3,0.55,4.2,4.2,4.4,0.21,0.22,0.43,0.21,0.43
Nathan Redmond,FW,Southampton,31,22,1945,1,3,0,0,3,0,0.05,0.14,0.19,0.05,0.19,2.5,2.5,3.3,0.12,0.15,0.27,0.12,0.27
Richarlison,FW,Watford,38,32,2823,5,4,0,0,4,0,0.16,0.13,0.29,0.16,0.29,9.8,9.8,3.2,0.31,0.1,0.41,0.31,0.41
Hal Robson-Kanu,FW,West Brom,21,8,827,2,0,0,0,2,1,0.22,0.0,0.22,0.22,0.22,2.2,2.2,0.5,0.25,0.06,0.3,0.25,0.3
Jay Rodriguez,FW,West Brom,37,31,2812,7,1,1,1,2,0,0.22,0.03,0.26,0.19,0.22,8.4,7.7,1.3,0.27,0.04,0.31,0.24,0.28
Salomón Rondón,FW,West Brom,36,32,2767,7,3,0,0,4,0,0.23,0.1,0.33,0.23,0.33,6.9,6.9,1.7,0.22,0.05,0.28,0.22,0.28
Diafra Sakho,FW,West Ham,14,0,306,2,0,0,0,2,0,0.59,0.0,0.59,0.59,0.59,1.5,1.5,0.0,0.47,0.01,0.49,0.47,0.49
Bakary Sako,FW,Crystal Palace,16,4,478,3,0,0,0,0,0,0.56,0.0,0.56,0.56,0.56,1.7,1.7,1.1,0.33,0.2,0.53,0.33,0.53
Mohamed Salah,FW,Liverpool,36,34,2907,32,10,1,2,1,0,0.99,0.31,1.3,0.96,1.27,22.3,20.8,8.1,0.69,0.25,0.94,0.64,0.89
Alexis Sánchez,FW,Arsenal,19,17,1503,8,3,1,1,4,0,0.48,0.18,0.66,0.42,0.6,6.9,6.2,5.4,0.41,0.32,0.73,0.37,0.69
Alexis Sánchez,FW,Manchester Utd,12,12,1043,2,3,0,1,1,0,0.17,0.26,0.43,0.17,0.43,3.5,2.6,1.9,0.3,0.16,0.47,0.22,0.39
Leroy Sané,FW,Manchester City,32,27,2419,10,15,0,0,4,0,0.37,0.56,0.93,0.37,0.93,4.7,4.7,7.8,0.18,0.29,0.47,0.18,0.47
Xherdan Shaqiri,FW,Stoke City,36,36,3039,8,7,0,1,5,0,0.24,0.21,0.44,0.24,0.44,5.6,4.8,6.3,0.17,0.19,0.35,0.14,0.33
Bernardo Silva,FW,Manchester City,35,15,1533,6,4,0,0,0,0,0.35,0.23,0.59,0.35,0.59,3.5,3.5,1.8,0.21,0.1,0.31,0.21,0.31
Josh Sims,FW,Southampton,6,1,163,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.54,0.09,0.63,0.54,0.63
