,Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
33,Sam Baldock,FW,Brighton,2,0,32,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Beni Baningime,MF,Everton,8,1,198,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Phil Bardsley,DF,Burnley,13,13,1125,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.05,0.06,0.0,0.06
36,Ross Barkley,MF,Chelsea,2,2,129,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.37,0.07,0.44,0.37,0.44
37,Ashley Barnes,FW,Burnley,36,21,2165,9,0,0,0,10,0,0.37,0.0,0.37,0.37,0.37,6.7,6.7,1.6,0.28,0.07,0.35,0.28,0.35
38,Harvey Barnes,MF,Leicester City,3,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.92,0.0,1.92,1.92,1.92
39,Gareth Barry,MF,West Brom,25,22,1923,1,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,1.1,1.1,1.9,0.05,0.09,0.14,0.05,0.14
40,Kyle Bartley,DF,Swansea City,5,2,235,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.1,0.09,0.2,0.1,0.2
41,Michy Batshuayi,FW,Chelsea,12,3,360,2,1,0,0,0,0,0.5,0.25,0.75,0.5,0.75,1.1,1.1,0.1,0.27,0.04,0.31,0.27,0.31
42,Moritz Bauer,DF,Stoke City,15,15,1306,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,0.02,0.06,0.08,0.02,0.08
43,Jan Bednarek,DF,Southampton,5,5,426,1,0,0,0,1,0,0.21,0.0,0.21,0.21,0.21,0.1,0.1,0.0,0.02,0.0,0.02,0.02,0.02
45,Héctor Bellerín,DF,Arsenal,35,34,3051,2,3,0,0,5,0,0.06,0.09,0.15,0.06,0.15,2.2,2.2,3.4,0.06,0.1,0.16,0.06,0.16
46,Yohan Benalouane,DF,Leicester City,1,1,90,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.08,0.0,0.08,0.08,0.08
47,Christian Benteke,FW,Crystal Palace,31,24,2240,3,5,1,2,6,0,0.12,0.2,0.32,0.08,0.28,9.5,8.0,3.1,0.38,0.13,0.51,0.32,0.45
48,Saido Berahino,FW,Stoke City,15,3,494,0,1,0,1,0,0,0.0,0.18,0.18,0.0,0.18,2.2,1.5,0.6,0.41,0.11,0.52,0.27,0.38
49,Jóhann Berg Guðmundsson,MF,Burnley,35,32,2833,2,8,0,0,2,0,0.06,0.25,0.32,0.06,0.32,3.7,3.7,4.8,0.12,0.15,0.27,0.12,0.27
50,Ryan Bertrand,DF,Southampton,35,35,3135,0,4,0,0,2,0,0.0,0.11,0.11,0.0,0.11,1.7,1.7,2.7,0.05,0.08,0.13,0.05,0.13
51,Muhamed Bešić,MF,Everton,2,0,46,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
52,Philip Billing,MF,Huddersfield,16,8,764,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.02,0.04,0.06,0.02,0.06
53,Mame Biram Diouf,FW,Stoke City,35,30,2596,7,2,0,0,6,0,0.24,0.07,0.31,0.24,0.31,7.3,7.3,1.0,0.25,0.04,0.29,0.25,0.29
54,Daley Blind,DF,Manchester Utd,7,4,362,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.03,0.14,0.18,0.03,0.18
55,Jeremie Boga,MF,Chelsea,1,1,17,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Yannick Bolasie,MF,Everton,16,11,851,1,0,0,0,0,0,0.11,0.0,0.11,0.11,0.11,1.4,1.4,0.4,0.15,0.04,0.19,0.15,0.19
57,Gaëtan Bong,DF,Brighton,25,25,2236,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.02,0.03,0.04,0.02,0.04
58,Wilfried Bony,FW,Swansea City,15,8,707,2,0,0,0,2,0,0.25,0.0,0.25,0.25,0.25,1.6,1.6,0.2,0.21,0.02,0.23,0.21,0.23
59,Sofiane Boufal,MF,Southampton,26,11,1219,2,2,0,0,1,0,0.15,0.15,0.3,0.15,0.3,1.4,1.4,1.4,0.1,0.1,0.21,0.1,0.21
60,Robbie Brady,MF,Burnley,15,15,1277,1,2,0,0,3,0,0.07,0.14,0.21,0.07,0.21,1.3,1.3,2.1,0.09,0.15,0.24,0.09,0.24
62,Miguel Britos,DF,Watford,12,10,797,1,0,0,0,3,1,0.11,0.0,0.11,0.11,0.11,0.8,0.8,0.7,0.09,0.07,0.17,0.09,0.17
63,Leon Britton,MF,Swansea City,5,4,302,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Izzy Brown,MF,Brighton,13,4,311,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.04,0.2,0.24,0.04,0.24
65,Bruno,DF,Brighton,25,23,2016,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.2,0.0,0.05,0.06,0.0,0.06
66,Chris Brunt,MF,West Brom,26,22,1920,0,7,0,0,5,0,0.0,0.33,0.33,0.0,0.33,1.7,1.7,3.3,0.08,0.15,0.23,0.08,0.23
67,Oliver Burke,FW,West Brom,15,2,367,0,2,0,0,0,0,0.0,0.49,0.49,0.0,0.49,0.5,0.5,0.3,0.12,0.09,0.21,0.12,0.21
69,Sam Byram,DF,West Ham,5,2,248,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.12,0.05,0.18,0.12,0.18
71,Yohan Cabaye,MF,Crystal Palace,31,28,2376,0,1,0,0,7,0,0.0,0.04,0.04,0.0,0.04,2.4,2.4,3.4,0.09,0.13,0.22,0.09,0.22
72,Gary Cahill,DF,Chelsea,27,24,2086,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.02,0.0,0.02,0.02,0.02
73,Dominic Calvert-Lewin,FW,Everton,32,18,1882,4,6,0,0,4,0,0.19,0.29,0.48,0.19,0.48,4.7,4.7,1.7,0.23,0.08,0.31,0.23,0.31
74,Geoff Cameron,MF,Stoke City,20,17,1525,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.02,0.01,0.03,0.02,0.03
75,Tyrese Campbell,FW,Stoke City,4,0,79,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.19,0.0,0.19,0.19,0.19
76,Emre Can,MF,Liverpool,26,24,2091,3,4,0,0,8,0,0.13,0.17,0.3,0.13,0.3,1.8,1.8,3.2,0.08,0.14,0.21,0.08,0.21
77,Étienne Capoue,MF,Watford,23,18,1542,1,0,0,0,3,0,0.06,0.0,0.06,0.06,0.06,1.2,1.2,0.8,0.07,0.05,0.12,0.07,0.12
78,Michael Carrick,MF,Manchester Utd,2,1,109,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.17,0.04,0.22,0.17,0.22
79,André Carrillo,FW,Watford,28,16,1540,1,2,0,0,2,0,0.06,0.12,0.18,0.06,0.18,2.3,2.3,2.3,0.13,0.14,0.27,0.13,0.27
80,Guido Carrillo,FW,Southampton,7,5,450,0,1,0,0,0,0,0.0,0.2,0.2,0.0,0.2,0.6,0.6,0.8,0.12,0.16,0.28,0.12,0.28
81,Andy Carroll,FW,West Ham,16,7,751,3,0,0,0,6,2,0.36,0.0,0.36,0.36,0.36,1.3,1.3,0.2,0.16,0.03,0.19,0.16,0.19
82,Tom Carroll,MF,Swansea City,37,28,2570,0,4,0,0,3,0,0.0,0.14,0.14,0.0,0.14,1.0,1.0,3.6,0.04,0.13,0.16,0.04,0.16
83,Craig Cathcart,DF,Watford,7,5,523,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.04,0.01,0.05,0.04,0.05
85,Nacer Chadli,FW,West Brom,5,2,260,1,0,0,0,1,0,0.35,0.0,0.35,0.35,0.35,0.2,0.2,0.1,0.09,0.04,0.13,0.09,0.13
86,Nathaniel Chalobah,MF,Watford,6,5,447,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.17,0.01,0.17,0.17,0.17
87,Calum Chambers,DF,Arsenal,12,10,866,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,0.11,0.0,0.11,0.11,0.11
88,Ben Chilwell,DF,Leicester City,24,20,1853,0,2,0,0,2,2,0.0,0.1,0.1,0.0,0.1,0.1,0.1,1.8,0.01,0.09,0.09,0.01,0.09
89,Hamza Choudhury,MF,Leicester City,8,4,378,0,1,0,0,1,0,0.0,0.24,0.24,0.0,0.24,0.0,0.0,0.2,0.01,0.04,0.06,0.01,0.06
90,Andreas Christensen,DF,Chelsea,27,23,2086,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.2,0.06,0.01,0.07,0.06,0.07
91,Lee Chung-yong,FW,Crystal Palace,7,1,135,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.07,0.07,0.0,0.07
92,Ciaran Clark,DF,Newcastle Utd,20,19,1746,2,1,0,0,3,0,0.1,0.05,0.15,0.1,0.15,1.9,1.9,0.5,0.1,0.02,0.12,0.1,0.12
93,Tom Cleverley,MF,Watford,23,22,1902,1,2,0,1,2,2,0.05,0.09,0.14,0.05,0.14,1.8,1.0,1.0,0.09,0.05,0.13,0.05,0.1
94,Sam Clucas,MF,Swansea City,29,23,2044,3,1,0,0,2,0,0.13,0.04,0.18,0.13,0.18,2.0,2.0,1.1,0.09,0.05,0.14,0.09,0.14
95,Nathaniel Clyne,DF,Liverpool,3,2,174,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.1
96,Séamus Coleman,DF,Everton,12,12,1035,0,1,0,0,0,0,0.0,0.09,0.09,0.0,0.09,0.9,0.9,0.4,0.07,0.03,0.11,0.07,0.11
97,James Collins,DF,West Ham,13,12,1050,1,0,0,0,3,0,0.09,0.0,0.09,0.09,0.09,0.4,0.4,0.5,0.03,0.05,0.08,0.03,0.08
98,Lewis Cook,MF,Bournemouth,29,25,2237,0,2,0,0,5,0,0.0,0.08,0.08,0.0,0.08,0.6,0.6,1.5,0.02,0.06,0.08,0.02,0.08
99,Steve Cook,DF,Bournemouth,34,31,2767,2,1,0,0,5,0,0.07,0.03,0.1,0.07,0.1,2.3,2.3,0.4,0.08,0.01,0.09,0.08,0.09
100,Francis Coquelin,MF,Arsenal,7,1,169,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.13,0.16,0.03,0.16
101,Jack Cork,MF,Burnley,38,38,3420,2,1,0,0,7,0,0.05,0.03,0.08,0.05,0.08,2.0,2.0,0.9,0.05,0.02,0.08,0.05,0.08
103,Philippe Coutinho,MF,Liverpool,14,13,1109,7,6,0,0,0,0,0.57,0.49,1.06,0.57,1.06,2.6,2.6,4.6,0.21,0.37,0.58,0.21,0.58
104,Martin Cranie,DF,Huddersfield,3,2,180,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Aaron Cresswell,DF,West Ham,36,35,3069,1,3,0,0,7,0,0.03,0.09,0.12,0.03,0.12,0.7,0.7,2.9,0.02,0.08,0.1,0.02,0.1
106,Peter Crouch,FW,Stoke City,31,14,1567,5,2,0,0,4,0,0.29,0.11,0.4,0.29,0.4,4.1,4.1,2.8,0.24,0.16,0.4,0.24,0.4
107,Josh Cullen,FW,West Ham,2,0,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Charlie Daniels,DF,Bournemouth,35,34,3002,1,3,0,0,0,0,0.03,0.09,0.12,0.03,0.12,0.5,0.5,2.2,0.02,0.07,0.08,0.02,0.08
109,Danilo,DF,Manchester City,23,13,1349,3,2,0,0,2,0,0.2,0.13,0.33,0.2,0.33,0.8,0.8,0.3,0.06,0.02,0.08,0.06,0.08
110,Scott Dann,DF,Crystal Palace,17,16,1435,1,0,0,0,4,0,0.06,0.0,0.06,0.06,0.06,2.0,2.0,0.2,0.12,0.01,0.14,0.12,0.14
112,Matteo Darmian,DF,Manchester Utd,8,5,444,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
113,Ben Davies,DF,Tottenham,29,26,2324,2,6,0,0,3,0,0.08,0.23,0.31,0.08,0.31,1.2,1.2,3.1,0.05,0.12,0.17,0.05,0.17
114,Tom Davies,MF,Everton,33,20,1900,2,1,0,0,7,0,0.09,0.05,0.14,0.09,0.14,1.4,1.4,0.7,0.07,0.03,0.1,0.07,0.1
115,Steven Davis,MF,Southampton,23,17,1521,3,0,0,0,0,0,0.18,0.0,0.18,0.18,0.18,0.8,0.8,1.1,0.05,0.07,0.11,0.05,0.11
116,Craig Dawson,DF,West Brom,28,28,2510,2,0,0,0,6,0,0.07,0.0,0.07,0.07,0.07,2.0,2.0,1.2,0.07,0.04,0.12,0.07,0.12
117,Kevin De Bruyne,MF,Manchester City,37,36,3073,7,16,0,0,2,0,0.21,0.47,0.67,0.21,0.67,5.4,5.4,12.5,0.16,0.36,0.52,0.16,0.52
118,Troy Deeney,FW,Watford,29,20,1844,5,2,3,5,1,1,0.24,0.1,0.34,0.1,0.2,7.9,3.9,1.8,0.38,0.09,0.47,0.19,0.28
119,Jermain Defoe,FW,Bournemouth,24,11,1088,4,1,0,0,1,0,0.33,0.08,0.41,0.33,0.41,4.9,4.9,1.1,0.41,0.09,0.49,0.41,0.49
120,Steven Defour,MF,Burnley,24,24,1997,1,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,0.8,0.8,1.3,0.04,0.06,0.09,0.04,0.09
121,Damien Delaney,DF,Crystal Palace,2,1,96,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Fabian Delph,DF,Manchester City,22,21,1741,1,2,0,0,2,0,0.05,0.1,0.16,0.05,0.16,0.2,0.2,1.1,0.01,0.06,0.07,0.01,0.07
123,Mousa Dembélé,MF,Tottenham,28,21,1879,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.7,0.02,0.03,0.05,0.02,0.05
124,Laurent Depoitre,FW,Huddersfield,33,18,1820,6,1,0,0,1,0,0.3,0.05,0.35,0.3,0.35,3.7,3.7,0.3,0.18,0.02,0.2,0.18,0.2
125,Mike van der Hoorn,DF,Swansea City,24,24,1944,1,0,0,0,4,0,0.05,0.0,0.05,0.05,0.05,0.9,0.9,0.3,0.04,0.01,0.06,0.04,0.06
126,Gerard Deulofeu,FW,Watford,7,5,435,1,0,0,0,0,0,0.21,0.0,0.21,0.21,0.21,0.6,0.6,0.6,0.13,0.12,0.25,0.13,0.25
127,Fousseni Diabaté,MF,Leicester City,14,5,587,0,1,0,0,1,0,0.0,0.15,0.15,0.0,0.15,0.4,0.4,0.3,0.06,0.05,0.11,0.06,0.11
128,Mohamed Diamé,MF,Newcastle Utd,31,23,2041,2,0,0,0,3,0,0.09,0.0,0.09,0.09,0.09,1.5,1.5,0.5,0.07,0.02,0.09,0.07,0.09
129,Brahim Díaz,FW,Manchester City,5,0,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.93,0.0,0.93,0.93,0.93
130,Eric Dier,MF,Tottenham,34,32,2824,0,2,0,0,4,0,0.0,0.06,0.06,0.0,0.06,2.2,2.2,2.1,0.07,0.07,0.14,0.07,0.14
131,Virgil van Dijk,DF,Liverpool,14,14,1260,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.2,0.11,0.02,0.12,0.11,0.12
132,Virgil van Dijk,DF,Southampton,12,11,994,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.12,0.0,0.12,0.12,0.12
133,Abdoulaye Doucouré,MF,Watford,37,37,3324,7,3,0,0,10,0,0.19,0.08,0.27,0.19,0.27,3.1,3.1,2.3,0.08,0.06,0.14,0.08,0.14
134,Aleksandar Dragović,DF,Leicester City,11,7,769,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.0,0.02,0.02,0.02
135,Danny Drinkwater,MF,Chelsea,12,5,527,1,0,0,0,0,0,0.17,0.0,0.17,0.17,0.17,0.1,0.1,0.1,0.02,0.01,0.04,0.02,0.04
137,Shane Duffy,DF,Brighton,37,37,3292,0,1,0,0,8,0,0.0,0.03,0.03,0.0,0.03,2.3,2.3,0.7,0.06,0.02,0.08,0.06,0.08
138,Paul Dummett,DF,Newcastle Utd,20,19,1602,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.01,0.02,0.04,0.01,0.04
139,Lewis Dunk,DF,Brighton,38,38,3420,1,1,0,0,7,0,0.03,0.03,0.05,0.03,0.05,2.7,2.7,0.3,0.07,0.01,0.08,0.07,0.08
140,Nathan Dyer,MF,Swansea City,24,16,1307,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.8,0.06,0.06,0.12,0.06,0.12
142,Tom Edwards,DF,Stoke City,6,6,481,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.05,0.05,0.0,0.05
144,Mohamed Elneny,MF,Arsenal,13,11,867,0,1,0,0,3,1,0.0,0.1,0.1,0.0,0.1,0.3,0.3,0.7,0.03,0.08,0.11,0.03,0.11
145,Christian Eriksen,MF,Tottenham,37,37,3218,10,10,0,0,0,0,0.28,0.28,0.56,0.28,0.56,6.8,6.8,12.2,0.19,0.34,0.53,0.19,0.53
146,Jonny Evans,DF,West Brom,28,26,2270,2,2,0,0,7,0,0.08,0.08,0.16,0.08,0.16,1.7,1.7,0.3,0.07,0.01,0.08,0.07,0.08
147,Patrice Evra,DF,West Ham,5,3,228,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Cesc Fàbregas,MF,Chelsea,32,25,2307,2,4,0,0,5,2,0.08,0.16,0.23,0.08,0.23,2.3,2.3,6.8,0.09,0.27,0.36,0.09,0.36
150,Marouane Fellaini,MF,Manchester Utd,16,5,683,4,0,0,0,1,0,0.53,0.0,0.53,0.53,0.53,2.9,2.9,0.1,0.42,0.02,0.44,0.42,0.44
151,Kiko Femenía,DF,Watford,23,19,1713,1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,0.4,0.4,1.8,0.02,0.1,0.12,0.02,0.12
152,Leroy Fer,MF,Swansea City,20,15,1397,1,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,1.3,1.3,1.3,0.09,0.08,0.17,0.09,0.17
153,Edimilson Fernandes,MF,West Ham,14,9,845,0,1,0,0,1,0,0.0,0.11,0.11,0.0,0.11,0.3,0.3,0.5,0.03,0.05,0.09,0.03,0.09
154,Federico Fernández,DF,Swansea City,30,30,2676,1,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,0.8,0.8,0.8,0.03,0.03,0.05,0.03,0.05
155,Fernandinho,MF,Manchester City,34,33,2881,5,3,0,0,7,0,0.16,0.09,0.25,0.16,0.25,2.6,2.6,2.3,0.08,0.07,0.16,0.08,0.16
156,Sam Field,MF,West Brom,10,7,537,1,0,0,0,3,0,0.17,0.0,0.17,0.17,0.17,0.3,0.3,0.2,0.06,0.03,0.08,0.06,0.08
157,Roberto Firmino,FW,Liverpool,37,32,2763,15,7,1,1,1,0,0.49,0.23,0.72,0.46,0.68,11.6,10.9,5.8,0.38,0.19,0.56,0.35,0.54
158,Darren Fletcher,MF,Stoke City,27,25,2219,1,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08,0.3,0.3,1.1,0.01,0.04,0.06,0.01,0.06
159,Phil Foden,MF,Manchester City,5,0,49,0,1,0,0,0,0,0.0,1.84,1.84,0.0,1.84,0.0,0.0,0.4,0.0,0.74,0.74,0.0,0.74
160,José Fonte,DF,West Ham,8,8,688,0,1,0,0,0,0,0.0,0.13,0.13,0.0,0.13,0.7,0.7,0.1,0.09,0.01,0.1,0.09,0.1
163,Timothy Fosu-Mensah,DF,Crystal Palace,21,17,1596,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5,0.03,0.03,0.06,0.03,0.06
164,Simon Francis,DF,Bournemouth,32,31,2705,0,1,0,0,9,2,0.0,0.03,0.03,0.0,0.03,0.5,0.5,1.9,0.02,0.06,0.08,0.02,0.08
165,Ryan Fraser,MF,Bournemouth,26,23,2004,5,3,0,0,0,0,0.22,0.13,0.36,0.22,0.36,2.2,2.2,3.8,0.1,0.17,0.27,0.1,0.27
