,Player,Pos,Squad,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
0,Patrick van Aanholt,DF,Crystal Palace,28,25,2184,5,1,0,0,7,0,0.21,0.04,0.25,0.21,0.25,3.4,3.4,1.7,0.14,0.07,0.21,0.14,0.21
1,Rolando Aarons,MF,Newcastle Utd,4,1,139,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.12,0.0,0.12,0.12,0.12
2,Tammy Abraham,FW,Swansea City,31,15,1726,6,1,0,0,0,0,0.31,0.05,0.37,0.31,0.37,6.4,6.4,0.8,0.33,0.04,0.38,0.33,0.38
3,Charlie Adam,MF,Stoke City,11,5,411,0,0,0,1,2,1,0.0,0.0,0.0,0.0,0.0,1.4,0.6,1.4,0.3,0.32,0.62,0.13,0.45
5,Ibrahim Afellay,MF,Stoke City,6,1,166,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Benik Afobe,FW,Bournemouth,17,5,611,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.0,0.31,0.01,0.31,0.31,0.31
7,Sergio Agüero,FW,Manchester City,25,22,1963,21,6,4,4,2,0,0.96,0.28,1.24,0.78,1.05,17.3,14.3,6.2,0.79,0.28,1.07,0.65,0.93
8,Nathan Aké,DF,Bournemouth,38,37,3353,2,3,0,0,5,0,0.05,0.08,0.13,0.05,0.13,2.1,2.1,1.8,0.06,0.05,0.1,0.06,0.1
9,Marc Albrighton,MF,Leicester City,34,30,2538,2,7,0,0,5,1,0.07,0.25,0.32,0.07,0.32,1.5,1.5,4.4,0.05,0.16,0.21,0.05,0.21
10,Toby Alderweireld,DF,Tottenham,14,13,1178,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.04,0.02,0.06,0.04,0.06
11,Trent Alexander-Arnold,DF,Liverpool,19,18,1573,1,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,1.2,1.2,2.4,0.07,0.14,0.21,0.07,0.21
12,Joe Allen,MF,Stoke City,36,36,3139,2,6,0,0,8,0,0.06,0.17,0.23,0.06,0.23,2.4,2.4,2.7,0.07,0.08,0.15,0.07,0.15
13,Dele Alli,MF,Tottenham,36,34,2958,9,10,0,0,7,0,0.27,0.3,0.58,0.27,0.58,9.2,9.2,7.7,0.28,0.23,0.51,0.28,0.51
14,Marcos Alonso,MF,Chelsea,33,33,2855,7,2,0,0,6,0,0.22,0.06,0.28,0.22,0.28,4.2,4.2,1.4,0.13,0.04,0.18,0.13,0.18
15,Daniel Amartey,DF,Leicester City,8,6,487,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Ethan Ampadu,DF,Chelsea,1,0,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Nordin Amrabat,FW,Watford,3,3,198,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.06,0.08,0.02,0.08
18,Michail Antonio,FW,West Ham,21,16,1354,3,1,0,0,1,0,0.2,0.07,0.27,0.2,0.27,2.2,2.2,0.9,0.15,0.06,0.21,0.15,0.21
19,Scott Arfield,FW,Burnley,18,15,1333,2,1,0,0,3,0,0.14,0.07,0.2,0.14,0.2,1.5,1.5,0.5,0.1,0.03,0.13,0.1,0.13
20,Marko Arnautović,FW,West Ham,31,28,2313,11,6,0,0,5,1,0.43,0.23,0.66,0.43,0.66,10.6,10.6,4.3,0.41,0.17,0.58,0.41,0.58
21,Harry Arter,MF,Bournemouth,13,11,960,1,0,0,0,4,0,0.09,0.0,0.09,0.09,0.09,0.6,0.6,0.2,0.06,0.02,0.08,0.06,0.08
22,Christian Atsu,MF,Newcastle Utd,28,19,1784,2,2,0,0,1,0,0.1,0.1,0.2,0.1,0.2,3.2,3.2,2.5,0.16,0.13,0.29,0.16,0.29
23,Pierre-Emerick Aubameyang,FW,Arsenal,13,12,1057,10,4,1,2,0,0,0.85,0.34,1.19,0.77,1.11,7.9,6.3,1.1,0.67,0.09,0.76,0.54,0.63
24,Serge Aurier,DF,Tottenham,17,16,1429,2,2,0,0,2,2,0.13,0.13,0.25,0.13,0.25,0.7,0.7,2.5,0.04,0.16,0.2,0.04,0.2
25,Charlie Austin,FW,Southampton,24,10,1037,7,0,1,1,2,0,0.61,0.0,0.61,0.52,0.52,7.8,7.1,0.2,0.69,0.02,0.71,0.62,0.64
26,André Ayew,FW,West Ham,18,9,895,3,2,0,1,2,0,0.3,0.2,0.5,0.3,0.5,2.6,1.8,0.3,0.26,0.03,0.29,0.19,0.21
27,André Ayew,FW,Swansea City,12,10,950,0,2,0,0,3,0,0.0,0.19,0.19,0.0,0.19,2.3,2.3,1.0,0.22,0.1,0.32,0.22,0.32
28,Jordan Ayew,FW,Swansea City,36,33,2852,7,2,1,1,2,1,0.22,0.06,0.28,0.19,0.25,6.3,5.6,1.2,0.2,0.04,0.24,0.18,0.21
29,César Azpilicueta,DF,Chelsea,37,37,3330,2,6,0,0,1,0,0.05,0.16,0.22,0.05,0.22,1.3,1.3,3.4,0.04,0.09,0.13,0.04,0.13
30,Eric Bailly,DF,Manchester Utd,13,11,1001,1,0,0,0,2,0,0.09,0.0,0.09,0.09,0.09,1.0,1.0,0.2,0.09,0.02,0.11,0.09,0.11
31,Leighton Baines,DF,Everton,22,22,1909,2,3,2,2,1,0,0.09,0.14,0.24,0.0,0.14,1.9,0.4,2.2,0.09,0.1,0.19,0.02,0.12
32,Tiemoué Bakayoko,MF,Chelsea,29,24,2126,2,2,0,0,4,2,0.08,0.08,0.17,0.08,0.17,3.2,3.2,0.6,0.14,0.02,0.16,0.14,0.16
