Player,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR,MP,PKmiss,FantPts
Lucas Moura,13,3,9.900000000000004,9.900000000000004,3.3000000000000007,82,29,39,86,27,35,35,5,0,63,0,278.5
Lukas Rupp,0,0,0.30000000000000004,0.30000000000000004,0.5,3,1,5,2,2,1,8,0,0,5,0,7.5
Lys Mousset,6,4,4.999999999999999,4.999999999999999,3.1,49,14,30,17,12,7,3,2,0,70,0,166.5
Marcus Rashford,30,11,25.7,20.20000000000001,8.9,195,83,56,93,151,18,16,8,1,90,2,597.0
Martinelli,3,0,2.4,2.4,0.2,12,5,9,10,20,13,3,1,0,14,0,54.5
Mason Greenwood,4,0,2.8000000000000007,2.8000000000000007,0.30000000000000004,25,13,5,4,8,10,3,0,0,24,0,97.5
Matěj Vydra,3,1,3.5000000000000004,3.5000000000000004,0.30000000000000004,15,9,5,4,2,2,1,1,0,21,0,71.5
Mbwana Samatta,1,0,1.0,1.0,0.1,8,2,1,4,0,2,0,0,0,3,0,20.0
Michael Obafemi,3,1,2.5,2.5,0.8999999999999999,13,5,8,9,2,3,4,1,0,20,0,62.5
Michail Antonio,4,5,9.499999999999998,9.499999999999998,4.0,77,33,51,58,82,23,26,5,0,67,0,183.5
Michy Batshuayi,8,2,6.800000000000002,6.800000000000002,0.4,54,17,15,9,1,5,4,0,0,38,0,170.0
Miguel Almirón,1,1,3.2,3.2,0.6,32,10,18,38,37,24,18,3,0,36,0,79.0
Mohamed Salah,66,23,52.500000000000014,46.300000000000026,21.099999999999998,349,156,55,73,169,31,19,3,0,98,1,1240.5
Moise Kean,1,2,3.0,3.0,0.4,23,9,19,10,9,5,5,0,0,20,0,51.0
Neal Maupay,8,2,9.200000000000001,8.5,1.6000000000000003,75,29,27,35,8,12,4,3,0,26,0,172.0
Nicolas Pépé,4,6,4.1000000000000005,3.4000000000000004,3.2,41,14,10,22,79,12,6,3,0,23,0,127.5
Odion Ighalo,0,0,0.5,0.5,0.1,3,1,0,0,0,0,0,0,0,2,0,5.0
Oliver McBurnie,4,1,7.399999999999999,7.399999999999999,1.7999999999999998,41,18,18,17,8,16,14,3,0,36,0,119.5
Olivier Giroud,11,5,12.899999999999993,12.899999999999993,5.0,91,32,33,17,6,9,6,1,0,63,0,264.0
Onel Hernández,0,1,0.5,0.5,0.7000000000000001,9,3,5,7,13,17,8,0,0,17,0,38.5
Oumar Niasse,8,2,9.2,9.2,2.4000000000000004,51,25,40,30,13,9,7,2,0,43,0,160.0
Patrick Cutrone,2,0,2.4000000000000004,2.4000000000000004,0.0,11,3,4,9,5,4,2,0,0,12,0,41.0
Pedro,13,5,11.2,11.2,3.8000000000000007,111,46,30,48,99,34,32,4,0,38,0,312.5
Pedro Neto,2,2,0.8,0.8,2.0000000000000004,8,4,9,11,21,2,4,1,0,20,0,52.0
Pierre-Emerick Aubameyang,48,10,37.599999999999994,31.500000000000007,6.499999999999998,172,75,24,43,126,32,20,3,1,74,2,783.5
