,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
22,Joe Hart\Joe-Hart,eng ENG,GK,Burnley,31,1987,19,19,1710,41,2.16,117,78,.658,3,3,13,4,21.1,2,1,1,0,Matches
23,Tom Heaton\Tom-Heaton,eng ENG,GK,Burnley,32,1986,19,19,1710,27,1.42,82,59,.683,8,4,7,4,21.1,1,1,0,0,Matches
24,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,31,1987,18,17,1575,26,1.49,65,42,.646,4,3,10,5,29.4,4,3,1,0,Matches
25,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,26,1992,32,31,2835,42,1.33,139,105,.748,16,7,8,7,22.6,7,7,0,0,Matches
26,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,31,1986,33,33,2970,33,1.00,122,94,.754,21,2,10,12,36.4,5,3,2,0,Matches
27,Jonas Lössl\Jonas-Lossl,dk DEN,GK,Huddersfield,29,1989,31,30,2777,54,1.75,137,87,.635,3,5,22,5,16.7,5,4,1,0,Matches
28,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,28,1989,25,25,2250,44,1.76,116,77,.638,5,8,12,4,16.0,2,2,0,0,Matches
29,Will Norris\Will-Norris,eng ENG,GK,Wolves,24,1993,1,0,,0,,0,0,,0,0,0,1,,0,0,0,0,Matches
30,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,30,1988,37,37,3330,46,1.24,138,98,.688,15,9,13,8,21.6,4,3,0,1,Matches
31,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,24,1994,38,38,3420,46,1.21,128,86,.656,15,9,14,14,36.8,5,2,3,0,Matches
32,Sergio Rico\Sergio-Rico,es ESP,GK,Fulham,24,1993,29,29,2610,56,1.93,161,110,.677,6,3,20,5,17.2,4,4,0,0,Matches
33,John Ruddy\John-Ruddy,eng ENG,GK,Wolves,31,1986,1,1,90,0,0.00,3,3,1.000,1,0,0,1,100.0,0,0,0,0,Matches
34,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,26,1992,34,34,3060,55,1.62,140,93,.664,8,8,18,6,17.6,8,8,0,0,Matches
35,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,31,1986,38,38,3420,48,1.26,139,96,.691,15,7,16,10,26.3,5,5,0,0,Matches
36,Julián Speroni\Julian-Speroni,ar ARG,GK,Crystal Palace,39,1979,1,1,90,4,4.00,9,5,.556,0,0,1,0,0.0,0,0,0,0,Matches
37,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,19,1999,2,2,180,5,2.50,13,9,.615,1,0,1,1,50.0,0,0,0,0,Matches
38,Michel Vorm\Michel-Vorm,nl NED,GK,Tottenham,34,1983,2,2,180,4,2.00,13,9,.692,0,0,2,0,0.0,0,0,0,0,Matches
